num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,49152,random,1000,6.922678,5.542,2.2779755971338096,5.068,5.09,9.6725,5.078,10.1421,24.868,1
3,49152,random,1000,7.4458,5.845,2.3519543961313283,5.072,5.102,9.9595,5.082,10.146,18.174,1
4,49152,random,1000,7.448266,6.117,2.2204655476932067,5.08,5.508,9.7915,5.09,10.156,15.892,0
5,49152,random,1000,6.366398,5.118,2.1707140016300794,5.07,5.09,6.3375,5.0799,10.116,37.472,218
6,49152,random,1000,5.8252939999999995,5.092,1.6987023256460076,5.066,5.082,5.104,5.074,10.1062,15.252,229
7,49152,random,1000,7.321762,6.1129999999999995,2.1405253327293408,5.074,5.5015,9.706,5.09,10.146,17.398,1
8,49152,random,1000,6.844076,6.106,1.8938501330756219,5.074,5.096,7.8149999999999995,5.082,10.134,12.262,1
9,49152,random,1000,6.90437,5.639,2.1460157657311765,5.072,5.098,9.626,5.0819,10.13,17.912,1
10,49152,random,1000,7.79857,9.465,2.233702560823672,5.074,5.556,9.8025,5.092,10.148,15.45,0
11,49152,random,1000,6.77795,5.638,2.0450149749446207,5.07,5.1055,9.596,5.084,10.1242,17.576,1
12,49152,random,1000,7.030786,5.529,2.289977052528061,5.072,5.096,9.75,5.082,10.148,15.224,0
13,49152,random,1000,16.149392,16.102,0.6334640787567004,15.656,16.082,16.124,15.938,16.138,25.394,154
14,49152,random,1000,16.298492,16.108,1.715469622570438,16.07,16.088,16.128,16.078,16.14,63.394,34
15,49152,random,1000,16.372126,16.11,1.1567626999813176,16.066,16.088,16.128,16.076,17.953599999999994,26.372,57
16,49152,random,1000,16.644056,16.112,1.5562336341269547,16.066,16.092,16.132,16.076,21.1081,24.89,136
17,49152,random,1000,16.190352,16.108,0.5901370025492197,16.07,16.088,16.128,16.078,16.142,23.552,34
18,49152,random,1000,16.20737,16.112,0.6638432518019317,16.064,16.09,16.132,16.078,16.338,25.57,110
19,49152,random,1000,16.208776,16.11,0.8427910052335054,16.068,16.09,16.13,16.078,16.31,35.294,70
20,49152,random,1000,16.186724,16.108,0.6260902561395064,16.068,16.088,16.128,16.076,16.14,26.83,25
21,49152,random,1000,16.215182,16.108,0.7452359300701138,16.066,16.088,16.126,16.076,16.14,24.106,26
22,49152,random,1000,16.234172,16.108,1.6220053834312265,16.064,16.09,16.128,16.076,16.14,62.78,25
23,49152,random,1000,16.94049,16.854,0.6537532847009315,16.69,16.808,16.92,16.72,17.016299999999998,26.894,28
24,49152,random,1000,17.089554,16.718,1.3080386455232056,16.654,16.694,16.748,16.67,21.726,25.924,203
25,49152,random,1000,18.403772,18.049999999999997,0.8052626627206628,17.712,17.85,18.8505,17.796,18.928,28.56,11
26,49152,random,1000,20.586028,20.674,0.8220194323513058,19.6,20.5875,20.72,19.676,20.9221,29.162,269
27,49152,random,1000,20.903054,20.796,1.900359826073092,19.834,20.77,20.818,20.748,20.84,76.862,51
28,49152,random,1000,22.128538,22.356,0.8480731516954341,21.462,21.5215,22.402,21.478,22.580099999999998,32.616,15
29,49152,random,1000,22.479614,22.4,2.010293721785912,21.51,22.374,22.428,21.5638,22.442,81.402,115
30,49152,random,1000,22.86557,22.432,2.1800985520835514,22.38,22.404,22.456,22.39,26.612,72.772,84
31,49152,random,1000,22.913536,22.454,1.5205387435954318,22.396,22.428,22.478,22.412,27.4521,33.93,92
32,49152,random,1000,22.61106,22.474,1.542815624905469,22.422,22.446,22.498,22.432,22.6921,66.518,94
33,49152,random,1000,22.61884,22.498,1.0382994713435003,22.444,22.468,22.522,22.454,22.728,48.422,116
34,49152,random,1000,22.597312,22.514,0.6924620352960343,22.468,22.4875,22.538,22.476,22.548,30.706,23
35,49152,random,1000,22.654506,22.544,0.6860873820876316,22.488,22.512,22.566,22.496,22.776,30.744,190
36,49152,random,1000,22.64909,22.556,0.7250549721315016,22.508,22.53,22.58,22.516,22.7321,31.296,51
37,49152,random,1000,22.6807,22.562,1.4675251916707215,22.506,22.54,22.586,22.518,22.612099999999998,64.618,40
38,49152,random,1000,22.702442,22.582,0.8687252109430968,22.528,22.552,22.606,22.538,22.8122,38.802,112
39,49152,random,1000,22.751522,22.605,1.4967121041264544,22.55,22.574,22.628,22.558,22.836,63.832,152
40,49152,random,1000,22.728428,22.616,1.040662452073272,22.572,22.592,22.642,22.58,22.654,47.936,22
