num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,49152,sequential,1000,8.185352,9.79,2.3737014164613273,5.07,5.125500000000001,10.118,5.08,10.142,20.562,1
3,49152,sequential,1000,7.715894,6.678,2.2361441396693054,5.074,5.534,10.104,5.09,10.1421,15.26,0
4,49152,sequential,1000,7.479116,5.96,2.3383735410240516,5.07,5.1,10.0785,5.08,10.14,14.778,0
5,49152,sequential,1000,8.168302,9.644,3.5638901556919285,5.076,5.5075,10.106,5.092,10.152,95.094,1
6,49152,sequential,1000,6.74,5.464,2.1989096979775815,5.07,5.09,9.626,5.078,10.14,15.244,0
7,49152,sequential,1000,5.458368,5.092,1.1990726382366366,5.072,5.084,5.1,5.076,9.6541,13.992,151
8,49152,sequential,1000,7.27085,6.003,2.156819877849211,5.07,5.5095,9.6745,5.09,10.1441,15.636,0
9,49152,sequential,1000,6.131256,5.102,1.8066704515723349,5.074,5.09,5.988,5.08,10.1083,14.996,181
10,49152,sequential,1000,7.434552,6.082,2.2036418267487567,5.074,5.496,9.720500000000001,5.09,10.146,17.122,1
11,49152,sequential,1000,7.693642,6.628,2.2298012039743016,5.078,5.534,10.08,5.092,10.16,14.906,0
12,49152,sequential,1000,6.997552,5.758,2.192494968177004,5.066,5.096,9.696,5.08,10.154,18.1,1
13,49152,sequential,1000,16.331704,16.104,1.1074153263744768,15.38,16.082,16.126,15.9479,16.180899999999998,24.202,149
14,49152,sequential,1000,16.167092,16.108,0.5723947267919747,16.066,16.088,16.126,16.076,16.138,24.324,19
15,49152,sequential,1000,16.158756,16.108,0.46282216976374935,16.066,16.088,16.128,16.076,16.144,22.808,48
16,49152,sequential,1000,16.164418,16.106,0.5182013526785876,16.068,16.086,16.126,16.076,16.138,23.252,22
17,49152,sequential,1000,16.175848,16.108,0.5532012296592412,16.066,16.088,16.128,16.076,16.144,23.608,49
18,49152,sequential,1000,16.169506,16.106,0.5469490590879897,16.064,16.088,16.126,16.076,16.138,22.396,21
19,49152,sequential,1000,16.187126,16.108,0.7155686232490763,16.068,16.088,16.128,16.076,16.3061,31.994,64
20,49152,sequential,1000,16.167464,16.11,0.5238949767373712,16.068,16.092,16.128,16.078,16.146,22.714,15
21,49152,sequential,1000,16.658714,16.114,1.5747258172785519,16.066,16.092,16.134,16.078,21.12,24.102,173
22,49152,sequential,1000,16.165614,16.108,0.5201792166373252,16.068,16.088,16.126,16.076,16.138,22.872,24
23,49152,sequential,1000,16.253108,16.11,1.7227118448644962,16.064,16.09,16.132,16.076,16.3421,67.172,127
24,49152,sequential,1000,16.162944,16.108,0.5513420198813862,16.066,16.088,16.126,16.076,16.138,24.506,13
25,49152,sequential,1000,17.983714,18.064,0.664023651396254,17.048,18.04,18.09,17.082,18.104,25.978,183
26,49152,sequential,1000,19.9652,19.884,0.6691359076173262,19.836,19.862,19.908,19.848,19.924,29.82,20
27,49152,sequential,1000,21.31529,21.532,1.8209808013757256,20.608,20.668,21.574,20.62,21.598,74.516,12
28,49152,sequential,1000,22.624514,23.086,1.246985851370222,18.696,22.244,23.132,18.7798,23.2962,31.676,70
29,49152,sequential,1000,23.517564,23.116,1.700739381665618,21.384,23.086,23.15,22.236,27.3261,35.74,306
30,49152,sequential,1000,23.139784,23.122,0.6596328955569916,22.26,23.092,23.15,22.306,23.348,30.886,190
31,49152,sequential,1000,23.386888,23.11,1.5163281486902862,22.286,23.084,23.148,22.304,28.112099999999998,31.944,317
32,49152,sequential,1000,23.241112,23.13,0.6925217901885008,23.072,23.098,23.152,23.084,23.364,30.894,125
33,49152,sequential,1000,23.746256,23.136,1.6422513973555073,23.07,23.1,23.158,23.086,28.136,32.206,222
34,49152,sequential,1000,23.234094,23.13,0.6410217969056186,23.072,23.098,23.154,23.084,23.362,29.334,149
35,49152,sequential,1000,23.212344,23.124,0.6384106404265281,23.076,23.096,23.148,23.084,23.16,30.17,27
36,49152,sequential,1000,23.199942,23.122,0.5996767703228673,23.072,23.096,23.148,23.084,23.162,30.048,43
37,49152,sequential,1000,23.20171,23.122,0.7236947298149696,23.074,23.0975,23.146,23.084,23.158,37.286,20
38,49152,sequential,1000,23.54125,23.126,1.3959952077711872,23.072,23.096,23.15,23.082,28.1081,30.91,101
39,49152,sequential,1000,23.202316,23.122,0.6261135602543154,23.072,23.096,23.148,23.084,23.16,29.974,36
40,49152,sequential,1000,23.230339999999998,23.126,0.6880269947796711,23.076,23.098,23.15,23.084,23.3522,31.63,91
