num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,31457280,random,1000,6.66415,5.6370000000000005,1.967341452287805,5.072,5.231,7.928,5.0839,10.132,20.208,3
3,31457280,random,1000,7.257878,6.088,2.1054074307757076,5.08,5.5195,9.7,5.0919,10.14,15.486,0
4,31457280,random,1000,6.940946,5.894,2.045054856587092,5.076,5.42,9.622,5.088,10.14,21.48,1
5,31457280,random,1000,6.909372,5.871,1.9877718205132164,5.078,5.458,9.5965,5.092,10.1281,15.796,0
6,31457280,random,1000,6.983458,5.941,1.982464600472888,5.076,5.5095,9.618,5.092,10.134,15.856,1
7,31457280,random,1000,11.161418,12.086,1.6729055485143953,8.566,8.614,12.108,8.584,12.124,18.89,4
8,31457280,random,1000,12.213792,12.1,0.8535332235476835,11.878,12.084,12.116,12.072,12.6461,33.82,108
9,31457280,random,1000,12.214656,12.1,0.8686008548862413,12.068,12.084,12.116,12.074,12.6569,32.492,97
10,31457280,random,1000,12.246412,12.1,0.8158317005483543,12.064,12.084,12.116,12.074,12.8408,27.864,106
11,31457280,random,1000,12.133782,12.102,0.39003290392240264,12.058,12.088,12.118,12.072,12.138,18.772,8
12,31457280,random,1000,12.503734,12.098,1.4537224942657847,12.062,12.082,12.114,12.0719,15.423499999999997,25.952,119
13,31457280,random,1000,23.570018,23.126,1.6154406247485817,22.942,23.098,23.15,23.084,28.112,42.714,91
14,31457280,random,1000,23.197752,23.124,0.7014352927861314,23.076,23.096,23.148,23.086,23.162,36.616,26
15,31457280,random,1000,23.207492,23.122,0.8503955141382548,23.072,23.0975,23.148,23.0859,23.16,38.56,14
16,31457280,random,1000,23.264722,23.13,1.0343527252713536,23.078,23.1,23.154,23.086,23.37,46.754,124
17,31457280,random,1000,23.200864,23.122,0.7145150644187155,23.078,23.096,23.146,23.084,23.16,35.354,22
18,31457280,random,1000,23.220762,23.128,0.7422519149596459,23.078,23.098,23.1525,23.086,23.356,35.304,108
19,31457280,random,1000,23.196912,23.124,0.7056266471876053,23.076,23.098,23.148,23.086,23.1601,36.224,17
20,31457280,random,1000,23.18778,23.122999999999998,0.6502915643914803,23.072,23.0975,23.1485,23.084,23.16,35.948,17
21,31457280,random,1000,23.210712,23.126,0.7332473639589526,23.078,23.098,23.15,23.086,23.166,37.702,35
22,31457280,random,1000,23.216666,23.13,0.5762050439701971,23.076,23.1,23.1525,23.084,23.3602,29.876,111
23,31457280,random,1000,23.904194,23.132,1.9408798491799932,23.076,23.1,23.154,23.084,28.1521,44.078,151
24,31457280,random,1000,23.577534,23.128,1.6943637482416094,23.078,23.098,23.152,23.086,28.1102,42.61,84
25,31457280,random,1000,23.20378,23.124,0.7621872952713611,23.076,23.098,23.148,23.084,23.16,38.858,21
26,31457280,random,1000,23.200692,23.122,0.7889392183344838,23.074,23.098,23.148,23.084,23.16,39.722,15
27,31457280,random,1000,23.219402,23.136,0.5717280956988308,23.074,23.1,23.158,23.086,23.364,29.528,182
28,31457280,random,1000,23.205156,23.124,0.8313529234611179,23.076,23.098,23.148,23.086,23.16,40.39,15
29,31457280,random,1000,23.2005,23.124,0.7753734700246185,23.074,23.098,23.148,23.086,23.162,40.844,17
30,31457280,random,1000,23.598174,23.148,1.4020946055837342,23.078,23.108,23.32,23.086,28.118,31.436,83
31,31457280,random,1000,23.240188,23.126,0.9038818590231088,23.076,23.098,23.15,23.084,23.5661,43.502,71
32,31457280,random,1000,23.273016,23.128,1.1109879378021805,23.072,23.0995,23.152,23.086,23.798699999999997,51.732,97
33,31457280,random,1000,23.224014,23.124,0.9639921476156663,23.074,23.098,23.148,23.084,23.162,45.046,28
34,31457280,random,1000,23.227084,23.128,0.6128951308220562,23.076,23.098,23.15,23.086,23.6482,30.49,69
35,31457280,random,1000,23.207388,23.124,0.8206664845934278,23.076,23.098,23.15,23.086,23.164,41.768,35
36,31457280,random,1000,23.205382,23.124,0.8294478535856356,23.076,23.096,23.15,23.086,23.162,42.594,26
37,31457280,random,1000,23.573636,23.136,1.5608112375374616,23.072,23.1,23.156,23.086,28.114,47.44,173
38,31457280,random,1000,23.57368,23.132,1.5581115805029166,23.072,23.1,23.156,23.086,28.1101,45.942,176
39,31457280,random,1000,23.236136,23.124,1.0806580640310586,23.072,23.098,23.15,23.086,23.1681,51.936,48
40,31457280,random,1000,23.29289,23.132,1.114903381217157,23.076,23.1,23.156,23.086,23.740399999999998,45.616,165
