size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
268435456,33554432,random,1000,289.034946,288.26300000000003,4.489488503616879,280.948,286.3335,290.605,283.9429,296.609,339.98,44
272339936,34042492,random,1000,283.611502,282.7,5.479096887142506,273.854,280.8295,285.163,278.2146,291.6827,356.942,52
276301208,34537651,random,1000,287.560574,287.056,4.1850717771986075,277.338,284.708,289.49899999999997,281.8033,295.6837,311.848,35
280320104,35040013,random,1000,288.103284,287.34799999999996,3.9907000265675254,278.122,285.531,289.716,283.3271,295.7065,313.93,46
284397456,35549682,random,1000,285.4886,284.763,4.393236451469294,276.538,282.807,286.97900000000004,280.3402,293.6082,333.438,52
288534112,36066764,random,1000,287.484944,286.641,4.214115935042363,278.096,284.7495,289.05649999999997,282.6234,295.43809999999996,326.666,49
292730936,36591367,random,1000,286.2082,285.471,3.7789684256900546,278.174,283.84950000000003,287.70500000000004,281.3914,293.34659999999997,312.718,47
296988808,37123601,random,1000,292.436728,291.464,4.966760038424978,284.43,289.733,293.887,287.06390000000005,300.3847,345.762,52
301308608,37663576,random,1000,290.795042,289.851,4.586326750603286,282.18,288.077,292.4815,285.7138,298.7676,351.878,45
305691240,38211405,random,1000,290.830468,290.22900000000004,3.8170430648257994,280.572,288.3385,292.334,286.0281,298.2674,314.03,52
310137624,38767203,random,1000,287.837228,287.098,3.9584304697442643,278.666,285.3185,289.49899999999997,283.10179999999997,294.885,311.214,36
314648680,39331085,random,1000,287.61413,287.013,4.1314405046840195,278.884,284.842,289.349,282.2151,295.814,310.166,46
319225352,39903169,random,1000,289.088466,288.452,3.9002930865519585,279.922,286.6655,290.5095,284.1021,296.2595,314.056,51
323868592,40483574,random,1000,291.263716,290.672,5.760356095736937,279.534,287.62649999999996,293.83849999999995,284.1864,301.20120000000003,374.606,30
328579368,41072421,random,1000,299.36757,295.313,10.863065423419556,284.022,290.2285,308.623,287.0091,317.7154,354.694,5
333358664,41669833,random,1000,289.555732,288.589,6.040517959363534,280.696,286.754,290.875,284.1278,297.27230000000003,382.414,52
338207480,42275935,random,1000,290.03195,289.252,4.154488343815506,279.854,287.4125,291.6575,285.1196,297.9301,323.854,50
343126816,42890852,random,1000,288.442844,287.764,4.182159314061599,280.338,285.901,289.984,283.5319,296.20279999999997,333.478,53
348117712,43514714,random,1000,291.416338,290.752,4.535986307468038,284.014,288.6425,293.168,286.21790000000004,298.6707,351.08,35
353181200,44147650,random,1000,296.98862,296.001,4.248491930471715,289.58,294.368,298.453,292.3376,304.3901,332.462,46
358318344,44789793,random,1000,300.794032,291.63300000000004,163.25727762306911,284.594,289.6965,294.2445,287.2624,299.4024,4489.936,31
363530200,45441275,random,1000,293.812574,292.892,4.405642643886319,284.748,291.06100000000004,295.477,288.6156,301.4492,350.556,42
368817872,46102234,random,1000,293.962962,293.27599999999995,4.085161244914692,285.564,291.287,295.7145,288.9177,301.5029,319.986,41
374182448,46772806,random,1000,293.353812,292.439,4.886716528210234,284.752,290.831,294.58050000000003,288.7815,300.8302,364.052,64
379625056,47453132,random,1000,294.754648,293.948,4.541705399079516,286.384,292.0055,296.3865,289.7912,302.3227,359.204,39
385146832,48143354,random,1000,294.324628,293.45799999999997,4.033221235582193,287.204,291.6545,296.0965,289.3574,302.0385,317.674,38
390748920,48843615,random,1000,293.483676,292.597,3.9552288199347005,285.366,291.01300000000003,295.022,288.73010000000005,301.2744,323.756,54
396432496,49554062,random,1000,292.137114,291.23199999999997,4.327224389134207,282.96,289.067,294.1535,286.80740000000003,300.4406,317.736,28
402198736,50274842,random,1000,299.63197,297.754,15.484880555203159,289.588,295.6275,301.097,292.95849999999996,309.3289,744.174,51
408048856,51006107,random,1000,298.617138,297.855,4.741079191582531,289.772,295.44,300.6165,292.8009,307.05879999999996,337.326,34
413984064,51748008,random,1000,293.68839,292.96500000000003,4.669048023456746,284.63,291.1345,295.23699999999997,288.7194,300.9923,372.568,50
420005600,52500700,random,1000,295.903594,295.177,4.175828633449886,287.76,293.1775,297.6565,290.7847,304.0624,325.502,45
426114720,53264340,random,1000,297.850478,296.797,8.3804722799584,289.11,294.81100000000004,299.461,292.3074,305.8159,526.282,43
432312704,54039088,random,1000,296.136968,295.368,4.298539537229957,284.108,293.4335,297.9405,290.5818,303.7038,322.626,38
438600840,54825105,random,1000,300.85941,300.03099999999995,3.9370359841180322,291.432,298.3235,302.65000000000003,295.7998,308.1278,323.688,38
444980432,55622554,random,1000,295.348662,294.627,3.8963298587419577,287.284,292.927,296.90999999999997,290.33770000000004,302.6084,321.016,43
451452824,56431603,random,1000,295.416976,294.631,3.784813504082425,286.632,292.926,297.0555,290.6638,302.5133,322.594,40
458019352,57252419,random,1000,297.798468,296.905,4.143851749314433,289.856,295.081,299.17100000000005,293.0116,305.661,323.48,59
464681400,58085175,random,1000,299.48033,298.628,4.410346606366475,290.98,296.8885,301.063,294.5444,307.2173,360.59,47
471440344,58930043,random,1000,296.047136,295.23400000000004,3.832282434550221,287.37,293.565,297.695,291.2658,303.67150000000004,318.268,47
478297600,59787200,random,1000,297.457138,296.71299999999997,3.949843597587302,288.57,294.9655,298.9505,292.66339999999997,304.39660000000003,328.88,43
485254600,60656825,random,1000,300.52927999999997,299.697,4.155050434075345,292.092,297.86249999999995,302.1515,295.3677,308.6302,328.398,51
492312792,61539099,random,1000,300.562776,299.678,3.9864214159480835,292.634,297.99649999999997,302.1815,295.87579999999997,308.79429999999996,328.506,55
499473648,62434206,random,1000,300.56024,299.731,4.544350423016161,291.308,297.625,302.4445,295.4076,308.2235,347.418,28
506738656,63342332,random,1000,301.742368,301.091,4.090742942106531,293.358,299.048,303.39750000000004,296.8099,309.4354,341.286,42
514109344,64263668,random,1000,299.716494,298.944,5.237342583152003,291.006,297.096,301.39,294.50300000000004,307.3573,409.596,40
521587232,65198404,random,1000,301.772078,300.945,3.9712709157903845,294.014,299.2855,303.477,296.6694,309.4314,324.242,44
529173896,66146737,random,1000,299.81578,299.041,4.068117376205679,292.422,297.126,301.27,295.0382,307.5974,329.126,51
536870912,67108864,random,1000,302.483646,301.562,4.623251943082186,294.1,299.66049999999996,304.0425,297.2564,310.8348,347.65,56
544679872,68084984,random,1000,301.580064,301.028,4.179153278599629,292.788,298.7495,303.5795,296.1999,309.0051,330.19,25
552602424,69075303,random,1000,301.675214,300.86400000000003,4.0318365021146105,293.912,299.0435,303.32899999999995,296.78810000000004,309.4647,330.828,45
560640216,70080027,random,1000,302.744502,301.967,3.940832233766199,294.012,300.12,304.2985,297.9039,310.04409999999996,325.796,43
568794912,71099364,random,1000,302.664084,301.27099999999996,21.869120254588516,294.462,299.5045,303.544,297.2589,308.911,982.038,39
577068224,72133528,random,1000,301.835846,301.13199999999995,4.1589440077432585,293.248,299.246,303.44000000000005,296.8577,309.3596,347.444,45
585461880,73182735,random,1000,305.386558,304.675,4.3598786159917555,296.94,302.7635,306.911,300.2331,312.7342,369.7,42
593977616,74247202,random,1000,302.16279,301.438,3.9473052081523043,293.658,299.666,303.6995,297.36990000000003,309.48290000000003,332.51,46
602617224,75327153,random,1000,304.358318,303.649,3.787727163873336,296.612,301.853,305.969,299.5786,311.5594,324.774,38
611382488,76422811,random,1000,306.029754,305.206,4.287240397004314,296.682,303.289,307.84950000000003,300.8102,314.32,330.158,48
620275256,77534407,random,1000,304.011508,303.158,4.2539123799712275,295.882,301.2935,305.3035,299.01,312.5331,331.098,77
629297360,78662170,random,1000,303.87981,303.174,3.848143303826767,294.324,301.351,305.61,299.1691,311.218,327.556,38
638450704,79806338,random,1000,305.241524,304.528,4.570482403732326,297.176,302.6585,307.00149999999996,300.13370000000003,312.5813,385.484,37
647737184,80967148,random,1000,307.544262,306.782,4.04377035228486,299.722,304.9055,309.35249999999996,302.6004,314.6445,342.96,31
657158736,82144842,random,1000,307.279176,306.572,3.8196440328336307,299.764,304.912,308.756,302.72540000000004,314.244,337.51,47
666717336,83339667,random,1000,307.384396,306.613,3.9297897290438457,299.612,304.813,309.02549999999997,302.372,314.6748,333.16,36
676414960,84551870,random,1000,308.585254,307.498,5.303464257692006,299.292,305.659,309.9125,303.35049999999995,316.78459999999995,364.726,61
686253640,85781705,random,1000,307.824934,307.002,4.042923541498949,300.242,305.264,309.13199999999995,302.8399,315.75629999999995,337.712,67
696235432,87029429,random,1000,306.428272,305.64300000000003,4.009504836142119,298.662,303.7455,308.34749999999997,301.0588,314.6473,329.478,41
706362408,88295301,random,1000,308.263036,307.457,4.211453976871088,301.184,305.725,309.764,303.3408,315.8051,352.248,50
716636688,89579586,random,1000,308.50241,307.71299999999997,3.8717167968299107,299.032,306.033,310.18550000000005,303.49190000000004,316.0773,334.114,43
727060408,90882551,random,1000,309.000316,307.96500000000003,8.45744319599946,297.936,305.954,310.33500000000004,303.878,316.2026,524.75,39
737635744,92204468,random,1000,310.928888,310.21,4.00599038571318,303.294,308.4065,312.285,306.0118,318.7627,333.932,61
748364904,93545613,random,1000,308.493624,307.631,3.952686585838785,299.228,305.916,310.02099999999996,303.6567,316.0591,335.784,49
759250120,94906265,random,1000,309.873194,308.848,5.041465317038976,301.778,307.11150000000004,311.176,304.7496,318.1567,389.806,66
770293672,96286709,random,1000,310.402564,309.69100000000003,3.8153191727946294,301.998,308.166,311.7725,305.7008,317.53000000000003,337.048,56
781497848,97687231,random,1000,309.78204,308.968,3.932432497035866,301.15,307.26649999999995,311.3045,304.85179999999997,317.421,330.922,53
792865000,99108125,random,1000,312.259196,311.488,3.990589519143041,303.572,309.762,313.79200000000003,307.524,319.4996,341.886,42
804397480,100549685,random,1000,312.83916800000003,312.01300000000003,4.344805553655432,304.086,310.17,314.457,307.5344,321.134,343.952,52
816097712,102012214,random,1000,311.916208,311.10699999999997,5.216116287993,303.044,309.2135,313.573,306.81579999999997,319.81510000000003,417.382,45
827968128,103496016,random,1000,313.71197,312.85900000000004,4.805820805306073,305.526,311.12300000000005,315.34299999999996,308.7615,320.92409999999995,398.136,39
840011200,105001400,random,1000,312.450176,311.56899999999996,4.05495851144664,304.068,309.858,314.36,307.28159999999997,319.6044,341.336,30
852229448,106528681,random,1000,313.952356,313.21000000000004,3.9819707548343897,305.182,311.328,315.63849999999996,309.107,321.34459999999996,339.846,38
864625408,108078176,random,1000,319.87478,310.793,211.15018886817663,302.93,309.0485,313.143,306.7017,318.50269999999995,6655.516,39
877201680,109650210,random,1000,315.102492,314.629,4.24516443627653,303.04,312.3815,316.9245,309.7769,322.0696,348.728,31
889960872,111245109,random,1000,312.248472,311.672,3.929480585890569,304.616,309.87300000000005,313.796,307.2692,318.9565,342.926,40
902905648,112863206,random,1000,317.648174,316.799,4.089274581674399,309.808,314.898,319.452,312.5953,325.8143,339.396,43
916038712,114504839,random,1000,314.977602,314.20000000000005,4.471127321954176,307.032,312.0695,316.79200000000003,309.5815,323.1247,352.598,39
929362800,116170350,random,1000,319.617228,318.805,4.197402143799516,311.118,316.87649999999996,321.524,314.3868,327.71209999999996,345.544,34
942880696,117860087,random,1000,316.08501,315.244,4.778238239411318,307.93,313.42650000000003,317.6295,311.0605,323.5642,395.14,43
956595208,119574401,random,1000,315.035628,314.18,4.171379962603312,305.788,312.322,316.659,310.2178,322.8877,351.59,48
970509208,121313651,random,1000,318.199584,317.156,4.710381715620386,309.408,315.092,320.40099999999995,312.605,326.6589,353.85,31
984625592,123078199,random,1000,316.486022,315.731,4.02823554489073,307.862,313.846,318.074,311.6879,323.3995,349.25,34
998947296,124868412,random,1000,317.61754,316.56100000000004,7.333591717288048,307.878,314.655,319.29499999999996,312.1943,325.2651,504.186,33
1013477320,126684665,random,1000,318.168676,317.306,4.205115953598332,308.656,315.601,319.663,313.2407,325.6126,359.434,48
1028218688,128527336,random,1000,318.586292,317.794,4.216031794807865,310.196,315.825,320.2435,313.472,326.7371,348.426,48
1043174472,130396809,random,1000,316.920208,316.23,3.9029384793395745,308.058,314.399,318.424,312.1893,324.4052,342.078,49
1058347800,132293475,random,1000,326.960448,317.73,163.7150482072335,309.652,315.90749999999997,320.197,313.7608,326.3838,4553.066,46
1073741824,134217728,random,1000,317.676128,316.842,3.8386473165474366,309.018,315.142,319.183,313.1659,324.9002,347.126,40
