size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8388608,1048576,random,1000,62.14755,61.713,1.7821804377258248,59.506,61.2715,62.2855,60.5858,66.6502,71.396,95
8510616,1063827,random,1000,62.5218,62.161,2.4565869435888916,59.69,61.6375,62.658,61.042,66.5972,115.936,61
8634408,1079301,random,1000,62.630212,62.308,1.5911291081791243,59.992,61.886,62.8525,61.1059,66.51379999999999,72.722,67
8760000,1095000,random,1000,62.988442,62.683,1.6604755691523294,60.15,62.191,63.191,61.4777,66.94279999999999,75.968,65
8887416,1110927,random,1000,63.296754,63.072,1.5590559332130733,60.984,62.59,63.585,61.98,64.5128,76.614,35
9016688,1127086,random,1000,63.798112,63.435,1.90930492083814,61.182,62.9845,63.929,62.2934,67.6718,88.752,74
9147840,1143480,random,1000,63.900774,63.698,1.405775177179044,61.708,63.2565,64.2045,62.582800000000006,65.0861,73.666,36
9280896,1160112,random,1000,64.599902,64.129,2.300984320511385,61.91,63.683,64.7265,62.9814,68.94149999999999,112.42,89
9415888,1176986,random,1000,64.791764,64.40299999999999,2.4820663773972296,62.208,63.944,64.90650000000001,63.2773,68.6486,118.194,65
9552848,1194106,random,1000,65.0218,64.82,1.490357628846802,62.796,64.3015,65.2625,63.6876,66.3145,76.708,39
9691800,1211475,random,1000,65.660944,65.261,1.9539405765377411,63.226,64.7495,65.742,64.0633,70.05380000000001,90.124,91
9832768,1229096,random,1000,65.775788,65.486,1.8374277803233257,63.238,64.952,65.987,64.3,69.5063,90.422,63
9975792,1246974,random,1000,66.260874,65.822,1.9637110156734054,63.808,65.309,66.3665,64.7296,70.6707,89.128,87
10120888,1265111,random,1000,66.229196,65.984,1.7198205861171778,63.718,65.571,66.43,64.93,67.4468,93.454,45
10268104,1283513,random,1000,66.894234,66.441,2.0667861123198206,64.33,65.905,66.964,65.32939999999999,71.44879999999999,93.406,89
10417456,1302182,random,1000,66.838544,66.60900000000001,1.66178851516465,64.426,66.1735,67.042,65.5131,67.86149999999999,90.898,38
10568984,1321123,random,1000,67.425762,66.979,1.9988972443698925,64.94,66.45349999999999,67.52,65.92,71.8362,90.236,87
10722712,1340339,random,1000,67.4032,67.19,1.6083474467631396,64.82,66.724,67.644,66.03,68.5115,87.446,40
10878672,1359834,random,1000,67.644608,67.36099999999999,1.7614300309947284,65.386,66.9195,67.898,66.2959,68.9263,87.928,43
11036912,1379614,random,1000,68.008548,67.699,1.6606015226757782,64.878,67.222,68.2285,66.6117,72.259,80.682,65
11197448,1399681,random,1000,68.364596,68.068,1.6698958737038105,65.516,67.576,68.54,66.9439,72.37549999999999,81.732,64
11360312,1420039,random,1000,68.886988,68.356,2.074896036291317,66.008,67.834,68.90100000000001,67.2696,73.4654,90.692,116
11525552,1440694,random,1000,69.0722,68.66,1.8241679101893458,66.338,68.195,69.142,67.4966,73.501,80.588,94
11693200,1461650,random,1000,69.296928,68.88900000000001,1.8471917388663626,66.41,68.4135,69.40650000000001,67.6997,73.88029999999999,82.312,92
11863280,1482910,random,1000,69.72719,69.277,2.0604358042908313,66.94,68.761,69.794,68.1099,74.0668,94.906,93
12035832,1504479,random,1000,69.778662,69.449,1.6828072230371207,67.13,68.979,69.973,68.3539,73.6193,81.186,65
12210904,1526363,random,1000,70.127218,69.67099999999999,1.8853055883961192,67.572,69.264,70.18700000000001,68.5789,74.6049,91.854,92
12388512,1548564,random,1000,70.201772,69.99000000000001,1.512855339844261,67.956,69.4995,70.4385,68.8477,71.4956,81.042,42
12568704,1571088,random,1000,70.717302,70.26,1.9479193131252759,67.942,69.8425,70.757,69.1716,75.21900000000001,94.794,94
12751520,1593940,random,1000,70.668946,70.477,1.4373518460743748,67.738,70.014,70.897,69.3775,71.7561,80.738,42
12937000,1617125,random,1000,71.075138,70.752,1.8320673425678717,68.21,70.2815,71.206,69.64739999999999,74.92530000000001,96.002,63
13125168,1640646,random,1000,71.473314,71.036,1.8843243339721534,69.07,70.566,71.539,69.883,76.0271,81.83,88
13316080,1664510,random,1000,71.563294,71.206,1.7592218208568748,69.302,70.802,71.692,70.1315,75.5382,85.204,66
13509768,1688721,random,1000,71.92718,71.471,1.9683973083611865,69.62,71.029,71.939,70.4377,76.4802,94.61,88
13706272,1713284,random,1000,72.169862,71.86099999999999,1.8792347986306517,69.774,71.4055,72.3465,70.7235,76.065,106.028,63
13905632,1738204,random,1000,72.283108,71.944,1.7103169777852585,69.602,71.516,72.39,70.9495,76.51700000000001,84.01,66
14107896,1763487,random,1000,72.332456,72.078,1.5933244223254655,70.034,71.679,72.55850000000001,71.0616,73.38109999999999,83.614,40
14313104,1789138,random,1000,72.854488,72.417,1.7981153234908414,70.406,71.95349999999999,72.948,71.3819,77.2746,81.9,91
14521288,1815161,random,1000,73.357478,72.87899999999999,1.996864102977907,70.744,72.422,73.419,71.7839,77.7912,92.102,92
14732504,1841563,random,1000,73.176726,72.759,1.8316053305805293,70.924,72.3015,73.226,71.6619,77.7191,84.212,86
14946800,1868350,random,1000,73.27294,72.924,1.6945030519279078,70.878,72.5055,73.3845,71.9178,77.24119999999999,85.09,68
15164200,1895525,random,1000,74.799144,74.052,4.420383392489909,71.484,73.474,74.777,72.74080000000001,79.3511,193.468,136
15384768,1923096,random,1000,73.727292,73.471,1.6985351006747622,71.542,73.036,73.8785,72.4016,74.9292,89.056,50
15608552,1951069,random,1000,74.064076,73.759,1.609845805579448,71.548,73.3455,74.177,72.6814,78.1722,85.246,64
15835576,1979447,random,1000,74.650778,74.452,1.6231503071606264,72.224,73.8915,74.95049999999999,73.2139,76.0433,97.302,42
16065912,2008239,random,1000,75.047738,74.318,2.32931469799989,72.284,73.866,74.906,73.2217,79.4406,99.604,160
16299600,2037450,random,1000,77.196722,76.84899999999999,2.015805246919828,73.638,75.9785,77.7675,74.9473,80.96119999999999,88.878,56
16536680,2067085,random,1000,76.029106,75.622,2.0547759013500153,73.19,75.07650000000001,76.3245,74.2751,80.4519,102.716,63
16777216,2097152,random,1000,76.093002,75.752,1.7960490818182837,73.638,75.2045,76.3405,74.56989999999999,78.8291,88.574,57
17021240,2127655,random,1000,75.33098,75.11099999999999,1.5937401517409517,73.258,74.695,75.5065,74.1015,76.29050000000001,99.542,41
17268824,2158603,random,1000,76.83568,76.456,1.8969774835704227,73.902,75.9015,77.068,75.1757,81.079,88.226,68
17520000,2190000,random,1000,75.812712,75.57499999999999,1.612516651389066,73.518,75.1815,75.992,74.5776,76.8322,100.066,43
17774840,2221855,random,1000,76.015138,75.717,2.709018529717054,73.612,75.308,76.1545,74.668,77.0541,145.85,45
18033376,2254172,random,1000,78.425162,78.15700000000001,1.7447525231743104,75.694,77.5035,78.83449999999999,76.6358,80.5451,89.894,42
18295680,2286960,random,1000,76.439976,76.189,1.6978099463832923,74.134,75.7815,76.612,75.12389999999999,77.4343,102.852,43
18561800,2320225,random,1000,76.754234,76.436,1.752867796142868,74.54,76.0075,76.8405,75.4339,80.79809999999999,100.774,65
18831784,2353973,random,1000,79.491296,79.259,2.329780885697056,75.472,77.926,80.618,76.6959,82.9524,104.716,33
19105696,2388212,random,1000,77.551728,77.06299999999999,2.1214414080204205,74.93,76.612,77.5925,75.9457,81.9126,103.268,88
19383600,2422950,random,1000,80.531114,80.122,2.1675112170136237,76.904,79.3715,80.9685,78.3736,85.09169999999999,103.626,85
19665536,2458192,random,1000,82.742816,82.30199999999999,2.753441969758002,78.376,81.2055,83.7105,79.93130000000001,86.556,123.824,41
19951584,2493948,random,1000,77.867332,77.44999999999999,1.8578726556415488,75.184,76.988,77.8925,76.3797,82.3608,90.388,88
20241784,2530223,random,1000,78.92084,78.168,2.470708617273893,75.976,77.65,78.862,77.0057,83.6765,110.936,155
20536208,2567026,random,1000,78.229674,77.89,1.693806697014406,75.81,77.4575,78.40650000000001,76.8018,82.1388,88.848,66
20834912,2604364,random,1000,84.51799,84.18299999999999,2.2403985622245024,79.91,83.28,85.156,82.0046,88.9211,107.484,60
21137968,2642246,random,1000,78.705466,78.363,1.7202117309340856,76.112,77.9175,78.8265,77.2618,83.124,88.782,66
21445424,2680678,random,1000,83.775078,83.533,2.0865353598067116,80.056,82.638,84.414,81.4315,86.76199999999999,106.072,42
21757352,2719669,random,1000,83.583548,83.249,1.9628238293543006,79.648,82.396,84.382,81.22149999999999,86.3966,97.488,41
22073824,2759228,random,1000,86.77871,86.40899999999999,2.5587198758956213,81.1,85.0985,87.95,83.4163,91.351,101.034,37
22394896,2799362,random,1000,79.701862,79.453,1.5977124340687778,77.258,78.961,79.957,78.2659,80.9902,90.782,47
22720632,2840079,random,1000,92.335846,91.155,15.072582394809865,83.692,88.7015,93.802,86.5557,99.05810000000001,508.248,19
23051112,2881389,random,1000,80.171024,79.82,1.780695278563713,77.374,79.3575,80.3525,78.5872,84.302,91.724,66
23386400,2923300,random,1000,89.07206,88.719,2.40236761853272,83.756,87.5355,90.066,86.0651,93.14750000000001,102.192,41
23726560,2965820,random,1000,80.314626,80.06899999999999,1.6571825325141676,77.608,79.5735,80.552,78.8539,81.7139,93.732,52
24071672,3008959,random,1000,97.016474,97.041,3.485001233417417,86.684,95.065,98.90450000000001,91.3639,103.14399999999999,112.084,35
24421808,3052726,random,1000,83.947766,83.716,2.0626550480124135,79.93,82.852,84.5885,81.5743,86.73999999999998,107.264,49
24777024,3097128,random,1000,93.206814,92.86,2.5203477915546486,86.074,91.6435,94.24,89.9515,98.0484,107.616,48
25137416,3142177,random,1000,82.218592,81.846,1.9586535715509643,79.19,81.262,82.466,80.48939999999999,85.9772,103.716,72
25503048,3187881,random,1000,90.579168,89.943,3.5160487212759706,84.318,88.00800000000001,92.6045,85.979,96.9361,122.542,14
25874000,3234250,random,1000,85.492756,85.09299999999999,2.2639752499522596,81.64,84.282,86.047,83.2277,89.9085,111.354,63
26250344,3281293,random,1000,83.300156,82.857,2.022547071472088,80.352,82.26,83.5805,81.4923,87.5157,104.776,84
26632168,3329021,random,1000,103.312138,103.045,2.947193769006047,95.276,101.39099999999999,104.6925,99.2614,108.59469999999999,132.292,40
27019544,3377443,random,1000,89.357472,88.801,3.0239697859738084,83.746,87.146,90.9495,85.6312,94.8762,102.652,22
27412552,3426569,random,1000,86.72765,86.274,2.349213980851431,82.536,85.314,87.4465,84.1619,91.00319999999998,114.61,61
27811272,3476409,random,1000,90.4162,90.133,4.549941146480516,81.78,86.4075,93.95150000000001,84.0187,97.8955,105.384,1
28215800,3526975,random,1000,86.984336,86.536,2.286902984467064,83.15,85.66650000000001,87.525,84.54530000000001,91.6841,109.598,78
28626208,3578276,random,1000,105.836972,105.688,3.482289778481584,96.308,103.54,107.8045,100.7097,111.5893,132.198,21
29042584,3630323,random,1000,104.070538,102.951,5.825220885161087,92.1,99.674,108.196,96.6293,113.2083,168.768,5
29465016,3683127,random,1000,86.613694,86.34899999999999,2.0381059860503754,82.984,85.4325,87.291,84.1892,89.72,109.148,47
29893600,3736700,random,1000,88.286264,87.815,2.5321514997174877,83.758,86.604,89.393,85.2395,92.8732,100.914,38
30328408,3791051,random,1000,132.578618,132.441,3.9963260362317614,121.452,129.95499999999998,134.848,126.6233,138.90869999999998,161.444,20
30769544,3846193,random,1000,88.349266,87.989,2.1834574930297745,84.08,87.155,88.972,85.9039,92.45479999999999,116.8,62
31217096,3902137,random,1000,88.706858,88.316,2.1073694393223485,84.69,87.3835,89.3485,86.291,93.24199999999999,99.07,70
31671160,3958895,random,1000,91.34581,90.31299999999999,3.592696396203734,85.494,88.86149999999999,93.1595,87.2972,98.6184,117.938,29
32131832,4016479,random,1000,109.832116,107.444,8.515984754735467,96.282,102.8185,116.16149999999999,99.3531,125.6891,142.14,3
32599200,4074900,random,1000,129.754344,129.38299999999998,4.494090342847334,118.85,127.00200000000001,132.196,123.2979,136.8476,178.204,19
33073368,4134171,random,1000,90.637982,90.293,2.2831537019006194,86.226,89.3575,91.3165,88.07339999999999,94.55409999999999,115.474,53
33554432,4194304,random,1000,92.976514,92.52799999999999,2.488864789365574,88.486,91.37349999999999,93.89,89.98299999999999,98.0283,106.16,56
34042488,4255311,random,1000,104.833138,104.602,3.7289598220295037,97.114,102.1345,107.101,99.3931,111.2233,132.326,12
34537648,4317206,random,1000,98.46603,98.125,2.688712057403624,92.18,96.76249999999999,99.65950000000001,94.9256,103.7141,113.69,47
35040008,4380001,random,1000,101.035594,100.56700000000001,3.5057023644673877,92.966,98.542,103.033,96.2071,107.20819999999999,115.958,18
35549680,4443710,random,1000,98.066254,97.634,2.709730033848453,91.892,96.255,99.3065,94.518,103.5799,109.342,40
36066760,4508345,random,1000,118.957166,118.824,4.624807343815676,105.9,115.561,122.2745,112.02730000000001,126.5578,136.112,4
36591368,4573921,random,1000,97.497642,97.09,2.6637490622997695,90.964,95.867,98.5435,94.1015,102.5331,122.836,54
37123600,4640450,random,1000,100.156122,99.719,2.6786363982575296,94.022,98.312,101.433,96.6232,105.27709999999999,112.004,38
37663576,4707947,random,1000,102.706266,102.291,3.0987769328758925,95.242,100.75,103.9845,98.8287,108.8505,130.038,53
38211400,4776425,random,1000,105.110028,104.673,4.129543781467762,96.614,102.949,106.674,100.7563,110.3694,192.536,30
38767200,4845900,random,1000,99.68505,99.237,3.2390875180287195,93.088,97.9935,100.775,96.3399,105.332,161.132,58
39331080,4916385,random,1000,104.986072,103.999,4.128297640944536,96.78,102.0835,107.22200000000001,99.8771,112.8319,123.006,17
39903168,4987896,random,1000,159.060202,159.17000000000002,7.417795589432389,139.966,153.615,164.495,146.9357,170.5601,182.398,1
40483568,5060446,random,1000,140.98275,139.00900000000001,12.384709864341753,120.346,130.83,149.882,124.7609,163.3138,181.006,1
41072416,5134052,random,1000,113.46766,113.043,3.872932979314548,105.506,111.214,115.07900000000001,108.5655,119.7368,173.018,39
41669832,5208729,random,1000,112.850946,112.884,4.308650971972815,102.088,109.61749999999999,115.642,106.37480000000001,119.6032,142.794,9
42275928,5284491,random,1000,176.882044,176.57,4.526717972844087,163.396,173.8555,179.469,169.8498,184.8651,195.588,19
42890848,5361356,random,1000,116.304466,115.99,3.3511121502401986,108.506,114.1905,117.91850000000001,111.8138,121.90129999999999,139.904,30
43514712,5439339,random,1000,122.759834,113.676,164.22893931227856,105.418,111.458,116.5235,108.5564,121.66460000000001,4345.824,25
44147648,5518456,random,1000,149.568588,147.78699999999998,12.554350538825483,127.572,139.0725,158.902,132.38539999999998,171.19519999999997,226.784,1
44789792,5598724,random,1000,114.840374,114.273,4.192438916930835,107.068,112.5705,116.394,110.253,120.9348,177.812,40
45441272,5680159,random,1000,190.11569,190.116,5.784561187854791,167.406,187.122,193.5915,179.8366,199.2973,217.7,38
46102232,5762779,random,1000,119.114998,118.71600000000001,3.3966944987021592,110.612,116.931,120.693,114.58109999999999,125.1433,147.92,33
