size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,6.381068,5.094,2.111327416303505,5.066,5.084,6.6775,5.076,10.14,18.724,248
1112,139,sequential,1000,6.36873,5.098,2.063531802177664,5.066,5.088,6.557,5.078,10.1221,16.448,247
1216,152,sequential,1000,7.095324,5.496,3.7376642959759523,5.074,5.094,9.734,5.082,10.1461,99.926,2
1328,166,sequential,1000,6.67696,5.112,2.2062247342412733,5.07,5.09,9.64,5.08,10.138,15.92,0
1448,181,sequential,1000,8.53784,9.743,2.15685953772272,5.078,5.582,10.114,5.124,10.154,16.588,0
1576,197,sequential,1000,5.622672,5.09,3.252332301259177,5.07,5.084,5.098,5.076,9.785699999999991,95.256,129
1720,215,sequential,1000,6.111348,5.092,1.9507178337635003,5.066,5.084,5.526,5.074,10.1321,15.912,203
1872,234,sequential,1000,7.922136,9.606,2.2833235118492876,5.078,5.4815000000000005,10.076,5.092,10.156,16.326,0
2048,256,sequential,1000,6.10021,5.092,1.9270641754327322,5.066,5.084,5.502,5.0759,10.120199999999999,16.494,201
2232,279,sequential,1000,7.87428,9.568999999999999,2.20244727510095,5.072,5.516,9.96,5.098,10.148,14.944,0
2432,304,sequential,1000,7.65661,6.491,2.2371827593199884,5.076,5.486,9.7765,5.098,10.1401,15.622,0
2656,332,sequential,1000,5.771542,5.094,1.592581003430748,5.068,5.086,5.382,5.076,9.758599999999998,17.17,150
2896,362,sequential,1000,7.7724779999999996,9.526,2.2588122844655447,5.074,5.4815000000000005,10.0365,5.094,10.152,16.288,0
3152,394,sequential,1000,9.192636,10.104,1.8351478859392416,5.088,9.642,10.124,5.4199,10.142,16.536,204
3440,430,sequential,1000,7.742412,7.689,2.204507025500595,5.088,5.514,9.756499999999999,5.3118,10.144,15.676,0
3752,469,sequential,1000,7.812974,9.48,2.1998526912471177,5.086,5.516,9.802,5.2879000000000005,10.148,16.376,1
4096,512,sequential,1000,8.233208,9.662,2.1936936852534177,5.072,5.5655,10.106,5.356,10.142,15.786,0
4464,558,sequential,1000,6.502266,5.1,2.1855313350442866,5.066,5.088,9.616,5.078,10.156,16.766,1
4864,608,sequential,1000,7.627066,6.411,2.2102109338287184,5.07,5.482,9.7625,5.092,10.1421,13.246,0
5312,664,sequential,1000,7.66469,6.4830000000000005,2.186083286619253,5.078,5.514,9.74,5.298,10.1481,16.666,2
5792,724,sequential,1000,7.513824,6.003,2.174630798120024,5.08,5.494,9.716,5.1039,10.1321,15.292,0
6312,789,sequential,1000,7.36577,5.76,2.2136608623530196,5.07,5.444,9.6985,5.082,10.136099999999999,13.462,0
6888,861,sequential,1000,7.90507,9.574,2.1968492323438245,5.084,5.524,9.810500000000001,5.3299,10.144,17.156,1
7512,939,sequential,1000,7.890834,9.558,2.2118329904451697,5.078,5.524,10.038,5.2258000000000004,10.15,16.116,0
8192,1024,sequential,1000,7.69856,6.784000000000001,2.3427603591704593,5.086,5.518,9.728,5.3018,10.14,36.134,2
8928,1116,sequential,1000,7.464546,5.888999999999999,2.1415710682871407,5.09,5.506,9.68,5.312,10.124,16.804,1
9736,1217,sequential,1000,6.897368,5.547000000000001,2.1602738992766395,5.068,5.094,9.65,5.076,10.13,16.33,0
10624,1328,sequential,1000,7.866244,9.547,2.198432630419794,5.078,5.526,9.77,5.332,10.148,16.646,1
11584,1448,sequential,1000,8.18838,9.648,2.187623852887356,5.076,5.53,10.082,5.122,10.15,14.854,0
12632,1579,sequential,1000,6.668396,5.13,2.17953173727243,5.068,5.092,9.6645,5.08,10.142,15.21,0
13776,1722,sequential,1000,7.879562,9.553,2.2240225089410126,5.08,5.514,10.049,5.2958,10.154,16.36,0
15024,1878,sequential,1000,6.89044,5.505,2.2296035886593297,5.074,5.096,9.7445,5.082,10.144,13.958,0
16384,2048,sequential,1000,7.781588,9.513,2.18356225062588,5.086,5.522,9.748,5.3318,10.142,16.858,1
17864,2233,sequential,1000,7.733334,7.17,2.17875952999259,5.082,5.53,9.772,5.3359000000000005,10.146,18.654,1
19480,2435,sequential,1000,7.1925,5.648,2.2172162794887713,5.074,5.318,9.7,5.084,10.144,13.942,0
21240,2655,sequential,1000,6.78712,5.538,2.104321352349482,5.068,5.092,9.62,5.078,10.1281,14.078,0
23168,2896,sequential,1000,8.182094,9.64,2.2872758578741688,5.078,5.57,10.068,5.3699,10.156,25.542,3
25264,3158,sequential,1000,7.762984,7.99,2.1809592382580063,5.086,5.54,9.746,5.367900000000001,10.148,18.412,1
27552,3444,sequential,1000,7.673776,7.392,2.048722328917466,5.082,5.568,9.7225,5.4038,10.132,16.314,1
30048,3756,sequential,1000,7.183896,5.605,2.9204902075227435,5.066,5.096,9.736,5.078,10.142,67.312,1
32768,4096,sequential,1000,7.711144,6.786,2.15498014066735,5.092,5.536,9.746,5.406,10.144,16.012,0
35728,4466,sequential,1000,7.397736,5.84,2.1176635344523334,5.09,5.528,9.666,5.1439,10.0862,16.082,1
38968,4871,sequential,1000,6.008596,5.114,1.844225594884972,5.078,5.104,5.5045,5.094,10.152,15.666,176
42488,5311,sequential,1000,6.306138,5.134,1.9717736534136712,5.08,5.112,5.893000000000001,5.0979,10.1321,12.992,232
46336,5792,sequential,1000,7.310872,5.654,2.2716156993429815,5.102,5.1715,9.8,5.134,10.2021,15.81,0
50528,6316,sequential,1000,7.062638,6.039,1.847099019474523,5.56,5.654,8.339,5.604,10.3821,17.646,2
55104,6888,sequential,1000,6.503778,6.436,0.3751013299412889,6.364,6.424,6.45,6.406,6.778699999999997,11.366,53
60096,7512,sequential,1000,6.54993,6.438,0.5369633215674128,6.388,6.426,6.448,6.41,7.145399999999997,11.888,79
65536,8192,sequential,1000,6.66513,6.443,1.0483172115710377,6.396,6.432,6.456,6.418,7.726099999999998,27.21,121
71464,8933,sequential,1000,7.253278,6.824,1.2157749164065539,6.398,6.448,7.415,6.422,10.6184,16.908,101
77936,9742,sequential,1000,6.70981,6.441000000000001,0.8359547094048673,6.394,6.432,6.454,6.416,8.424399999999999,12.188,171
84984,10623,sequential,1000,6.883972,6.444,0.9954847850033536,6.394,6.432,6.8469999999999995,6.416,9.334699999999998,12.904,146
92680,11585,sequential,1000,6.8073500000000005,6.446,0.8956683019998013,6.398,6.434,6.6715,6.418,8.7187,14.588,176
101064,12633,sequential,1000,6.768444,6.44,0.9078275925536752,6.396,6.43,6.456,6.414,8.697499999999994,11.362,202
110216,13777,sequential,1000,6.72879,6.446,0.8436277091298102,6.402,6.436,6.46,6.422,8.3119,12.688,184
120192,15024,sequential,1000,6.541148,6.446,0.4904306723078608,6.402,6.436,6.458,6.424,6.9887,13.672,65
131072,16384,sequential,1000,6.88066,6.466,0.8833976022854735,6.404,6.444,6.8625,6.426,8.940999999999999,12.066,119
142928,17866,sequential,1000,6.903564,6.45,1.0288557537702094,6.412,6.436,6.7435,6.424,9.443899999999996,12.216,166
155872,19484,sequential,1000,7.80713,6.975,1.7246180848636137,6.422,6.688,7.984,6.438,11.464,16.106,174
169976,21247,sequential,1000,6.746892,6.448,0.8739785276554584,6.388,6.436,6.464,6.42,8.182399999999994,17.184,223
185360,23170,sequential,1000,8.47413,6.89,2.3346797168949065,6.394,6.4435,11.438500000000001,6.426,11.476,19.98,1
