size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
262144,32768,random,1000,14.387292,14.34,0.5625894111886408,13.982,14.25,14.4285,14.1097,14.592,23.336,16
265952,33244,random,1000,14.893978,14.332,1.8955890623786078,13.966,14.224,14.433,14.096,19.330199999999998,47.222,113
269824,33728,random,1000,15.01398,14.492,1.579183836413351,14.094,14.3635,14.6285,14.2159,19.3981,23.652,110
273744,34218,random,1000,14.943958,14.404,1.610036664270816,13.974,14.318,14.506,14.1917,19.4142,24.842,118
277728,34716,random,1000,14.500502000000001,14.442,0.5368348793471636,14.062,14.346,14.566,14.216,14.7501,22.248,17
281768,35221,random,1000,14.532944,14.488,0.5068690729578212,14.17,14.41,14.5745,14.299900000000001,14.712,22.548,11
285864,35733,random,1000,14.50649,14.46,0.5597113619614209,14.188,14.382,14.538,14.2579,14.666,22.876,18
290024,36253,random,1000,14.529862,14.483,0.5660741231224661,14.148,14.392,14.5805,14.264,14.722,24.396,9
294240,36780,random,1000,15.079836,14.534,1.6211167856563378,14.15,14.446,14.6545,14.288,19.5125,24.91,116
298520,37315,random,1000,15.088558,14.554,1.5970190639208182,14.168,14.448,14.6785,14.3279,19.5181,26.414,111
302864,37858,random,1000,14.65443,14.584,0.8871321968199748,14.204,14.4835,14.694500000000001,14.378,14.856399999999999,37.772,13
307272,38409,random,1000,14.621522,14.586,0.4948137995369695,14.23,14.493500000000001,14.676,14.35,14.794,22.19,12
311744,38968,random,1000,15.06167,14.666,1.3750429397608595,14.242,14.5695,14.808,14.444,19.576,23.466,83
316272,39534,random,1000,14.658606,14.608,0.5421261564742412,14.334,14.522,14.706,14.416,14.8361,22.808,14
320872,40109,random,1000,14.677596,14.632,0.5349477562210032,14.366,14.552,14.704,14.448,14.822099999999999,22.872,21
325544,40693,random,1000,15.30623,14.786,1.5874530866776513,14.31,14.662,14.938,14.4718,19.738,24.364,109
330280,41285,random,1000,14.74589,14.695,0.577569225383512,14.31,14.61,14.774,14.468,14.9581,23.176,42
335080,41885,random,1000,14.73327,14.694,0.45433217894931105,14.394,14.612,14.774,14.502,14.896,21.104,16
339952,42494,random,1000,14.821172,14.769,0.5434740531639597,14.428,14.68,14.868500000000001,14.556,15.0422,22.732,17
344904,43113,random,1000,14.764568,14.722,0.569742485580877,14.372,14.624,14.808,14.4978,14.948,24.244,13
349920,43740,random,1000,15.341334,14.788,1.6956564850698266,14.508,14.716,14.898,14.624,19.7901,36.106,114
355008,44376,random,1000,14.83214,14.784,0.48207487445892117,14.45,14.7055,14.878,14.5839,15.0461,21.68,20
360168,45021,random,1000,14.940796,14.887,0.5312110235448202,14.474,14.796,15.006,14.658,15.162,21.63,14
365408,45676,random,1000,15.491756,14.948,1.5879178617295038,14.522,14.868,15.102,14.7479,19.918,24.72,109
370728,46341,random,1000,14.926536,14.89,0.43663734709353125,14.586,14.7955,14.9805,14.6999,15.098,23.104,11
376120,47015,random,1000,14.999444,14.948,0.5750394153388038,14.57,14.8595,15.056,14.736,15.200099999999999,24.838,15
381584,47698,random,1000,14.993526,14.946,0.566129074905585,14.704,14.88,15.016,14.7919,15.106,24.028,10
387136,48392,random,1000,14.980658,14.952,0.4303249081363552,14.574,14.876,15.016,14.7639,15.1482,21.316,28
392768,49096,random,1000,15.116216,15.066,0.5272780817742375,14.672,14.954,15.186,14.816,15.364,24.354,12
398480,49810,random,1000,15.196172,15.158,0.526138499005857,14.754,15.058,15.238,14.93,15.4201,24.458,18
404280,50535,random,1000,15.273398,15.21,0.7128161982787208,14.922,15.131499999999999,15.304,15.0199,15.4621,31.98,17
410160,51270,random,1000,15.39773,15.369,0.45044805532996873,14.894,15.272,15.466,15.074,15.6641,22.346,31
416128,52016,random,1000,15.505228,15.462,0.487340078762632,15.082,15.374,15.562,15.212,15.7142,24.018,15
422176,52772,random,1000,15.660074,15.614,0.4779686145768575,15.204,15.534,15.7065,15.4059,15.896,23.39,38
428320,53540,random,1000,16.284318,15.716999999999999,1.6475126028812808,15.354,15.606,15.86,15.4719,20.7024,25.82,117
434544,54318,random,1000,15.965366,15.782,1.0098086648388316,15.296,15.696,15.872,15.537700000000001,16.05,24.15,54
440872,55109,random,1000,15.983896,15.942,0.4455680599864403,15.564,15.854,16.038,15.7119,16.23,23.168,24
447280,55910,random,1000,17.007852,16.074,1.9928951425363917,15.506,15.964,16.262999999999998,15.8138,21.048,25.012,198
453784,56723,random,1000,16.24407,16.114,0.6896518504106073,15.642,16.012,16.2385,15.868,16.9838,25.232,66
460384,57548,random,1000,16.270842,16.214,0.7648836918761559,15.74,16.134,16.3,16.0118,16.464,37.136,30
467088,58386,random,1000,16.817186,16.326,1.5405810343267659,15.912,16.2135,16.465,16.048,21.2902,27.312,106
473880,59235,random,1000,16.469428,16.392,0.5592291498643986,16.03,16.3,16.498,16.1819,16.702,23.41,35
480768,60096,random,1000,16.576384,16.529,0.5908393213451926,16.07,16.438,16.6165,16.291900000000002,16.768,27.014,23
487760,60970,random,1000,16.647137999999998,16.588,0.5774872608919547,16.226,16.5055,16.676,16.404,16.8163,23.53,17
494856,61857,random,1000,16.774132,16.726,0.5211620481735566,16.334,16.619500000000002,16.8245,16.4879,17.01,23.152,20
502056,62757,random,1000,16.827772,16.778,0.5083250361317633,16.392,16.686,16.876,16.5699,17.0141,23.496,15
509360,63670,random,1000,16.91635,16.88,0.42219688737804756,16.508,16.7775,16.98,16.662,17.1262,23.018,9
516768,64596,random,1000,17.491758,16.994999999999997,1.6338835309864743,16.572,16.8955,17.0965,16.768,21.9861,36.284,111
524288,65536,random,1000,17.641472,17.076999999999998,2.7027920360260804,16.548,16.9715,17.208,16.81,22.054,88.01,116
531912,66489,random,1000,18.128306,17.235,1.9792621324506143,16.798,17.1055,17.429000000000002,16.9418,22.298099999999998,27.402,186
539648,67456,random,1000,17.744588,17.268,1.5054243005148351,16.81,17.1635,17.41,17.036,22.1962,27.642,98
547496,68437,random,1000,17.836858,17.369,1.5079205510318587,16.924,17.25,17.502499999999998,17.096,22.3023,27.332,100
555464,69433,random,1000,17.487012,17.454,0.4939900019008259,16.888,17.338,17.558,17.1617,17.732,23.702,22
563536,70442,random,1000,17.721132,17.531,0.9200569021964234,17.056,17.428,17.64,17.316,18.9061,30.362,114
571736,71467,random,1000,17.63054,17.574,0.6855579290432531,17.138,17.47,17.676,17.324,17.84,30.83,16
580056,72507,random,1000,17.734514,17.678,0.8301194505046284,17.256,17.57,17.782,17.4038,17.9282,38.776,13
588488,73561,random,1000,17.799378,17.738,0.6408847684275251,17.372,17.6515,17.836,17.516,17.9961,28.492,17
597048,74631,random,1000,17.907236,17.84,0.6496627417221815,17.462,17.738,17.956,17.616,18.144,27.974,13
605736,75717,random,1000,17.978066,17.932,0.5548106835115367,17.524,17.8135,18.03,17.6837,18.2121,26.316,18
614544,76818,random,1000,18.4721,18.016,1.5012735354452327,17.464,17.876,18.166,17.71,22.9044,26.836,96
623480,77935,random,1000,18.086484,18.046999999999997,0.5265123407755881,17.528,17.944,18.144,17.7859,18.3021,25.844,19
632552,79069,random,1000,18.599438,18.132,1.5128570880042584,17.666,18.03,18.264499999999998,17.8779,23.0902,28.44,98
641752,80219,random,1000,18.276116,18.208,0.8361265587015917,17.606,18.088,18.316,17.9379,18.504,35.46,23
651088,81386,random,1000,18.302364,18.25,0.548729984692016,17.82,18.16,18.35,18.0359,18.492,25.588,18
660560,82570,random,1000,18.388096,18.342,0.581998647085377,17.924,18.236,18.442,18.0899,18.586,26.436,13
670168,83771,random,1000,18.536694,18.407,2.180426772738602,18.014,18.316,18.5125,18.1899,18.66,84.978,27
679912,84989,random,1000,18.526864,18.488999999999997,0.5048911333748698,18.044,18.3735,18.5925,18.2659,18.718,26.534,11
689800,86225,random,1000,18.595322,18.55,0.5292816522262824,18.026,18.45,18.664,18.3076,18.8161,28.116,18
699840,87480,random,1000,18.703462000000002,18.636,0.6639999114747218,18.212,18.526,18.7365,18.402,18.9361,32.012,26
710016,88752,random,1000,19.14337,18.676,1.574707276323478,18.184,18.578,18.788,18.4299,23.624299999999998,35.24,100
720344,90043,random,1000,18.815222,18.768,0.5484019396422696,18.296,18.6575,18.868,18.524,19.060499999999998,28.15,22
730824,91353,random,1000,18.88528,18.824,0.5841437370249771,18.43,18.7395,18.922,18.6119,19.0602,27.138,19
741448,92681,random,1000,19.33434,18.888,1.517650538021041,18.412,18.7895,18.99,18.605800000000002,23.8261,30.126,106
