footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
262080,3276,80,4096,0,random,1000,17.089758,16.102,2.035684271169743,16.034,16.08,16.132,16.054,21.132,25.992,199
294240,3678,80,4096,0,random,1000,16.177044,16.106,0.5174020399408327,16.054,16.086,16.128,16.068,16.3361,23.478,133
330240,4128,80,4096,0,random,1000,16.2158,16.108,1.5463515211707288,16.042,16.086,16.132,16.0679,16.334,63.046,157
370720,4634,80,4096,0,random,1000,16.225226,16.18,0.5273334784759275,16.094,16.156,16.200499999999998,16.1259,16.2301,23.752,11
416080,5201,80,4096,0,random,1000,16.698882,16.608,0.7425724098428784,16.452,16.5595,16.678,16.516,16.8581,29.82,57
467040,5838,80,4096,0,random,1000,17.529942,17.225,1.2474808219115183,17.028,17.184,17.2705,17.122,22.150599999999997,27.56,68
524240,6553,80,4096,0,random,1000,18.07158,18.017,0.6380231917361572,17.672,17.92,18.11,17.774,18.2542,28.218,15
588480,7356,80,4096,0,random,1000,18.63947,18.564,0.787655678941356,18.284,18.508,18.6345,18.4099,18.7681,37.564,23
660560,8257,80,4096,0,random,1000,19.127294,19.042,0.5951222967694221,18.814,18.982,19.166,18.896,19.3061,26.168,19
741440,9268,80,4096,0,random,1000,19.66892,19.6,0.5291353265411353,19.324,19.536,19.696,19.4559,19.8661,26.832,21
832240,10403,80,4096,0,random,1000,20.044178,19.916,1.8682580208173465,19.592,19.81,20.028,19.6998,20.1901,72.162,16
934160,11677,80,4096,0,random,1000,20.41211,20.332,0.6018187448906037,20.076,20.25,20.458,20.1719,20.6261,29.352,12
1048560,13107,80,4096,0,random,1000,21.00746,20.584,1.4310458499379481,20.232,20.514,20.656,20.372,25.502499999999998,28.574,106
1176960,14712,80,4096,0,random,1000,21.070336,21.004,0.6153383267442069,20.634,20.898,21.118,20.784,21.29,29.67,11
1321120,16514,80,4096,0,random,1000,21.233262,21.176,0.6189670714921688,20.86,21.106,21.248,20.982,21.3541,29.824,19
1482880,18536,80,4096,0,random,1000,21.76463,21.573,2.6627973442973083,21.282,21.49,21.666,21.387900000000002,21.862,91.922,42
1664480,20806,80,4096,0,random,1000,21.851168,21.79,0.5496767379945164,21.328,21.6695,21.928,21.5157,22.150199999999998,29.942,15
1868320,23354,80,4096,0,random,1000,22.349348,22.274,0.6456531537062999,21.754,22.1495,22.414,21.9878,22.6962,31.498,35
2097120,26214,80,4096,0,random,1000,24.654296,24.573,0.8387746057334016,23.3,24.3095,24.8285,23.888,25.432399999999998,34.686,36
2353920,29424,80,4096,0,random,1000,29.397078,28.983,1.6288200024915327,26.606,28.473,29.668,27.8445,33.5283,39.96,91
2642240,33028,80,4096,0,random,1000,37.180826,36.985,1.4896748923872647,32.66,36.385000000000005,37.6205,35.585499999999996,39.44239999999999,51.188,59
2965760,37072,80,4096,0,random,1000,47.089102,46.662,2.079147857515047,43.71,46.0125,47.3805,45.1157,51.7168,67.988,88
3328960,41612,80,4096,0,random,1000,59.11934,57.421,23.734007020595023,53.896,56.5155,58.896,55.5036,64.0912,783.142,89
3736640,46708,80,4096,0,random,1000,65.455332,65.128,2.3491556504510394,61.248,64.44149999999999,65.978,63.3719,68.1696,117.008,52
4194240,52428,80,4096,0,random,1000,72.355522,71.086,6.394261051122788,68.1,70.0315,73.735,69.04570000000001,76.9102,206.572,18
4707920,58849,80,4096,0,random,1000,75.32024,74.34,2.897452020415629,71.498,73.138,77.093,72.3219,80.1405,113.028,8
5284480,66056,80,4096,0,random,1000,77.062704,76.05799999999999,2.759114484236042,73.024,74.77,79.1275,74.1877,82.2971,89.914,6
5931600,74145,80,4096,0,random,1000,78.116454,75.82900000000001,4.140061276026389,74.274,75.342,80.6965,75.032,85.7213,138.968,4
6658000,83225,80,4096,0,random,1000,77.787634,75.937,3.1574104526986684,74.512,75.448,80.0695,75.08749999999999,83.9109,99.41,12
7473360,93417,80,4096,0,random,1000,77.068274,76.122,2.633969385480334,74.814,75.8515,76.502,75.5257,83.4183,95.678,161
8388560,104857,80,4096,0,random,1000,80.374854,78.568,4.19757854915907,76.834,78.054,82.162,77.6194,86.9249,160.704,37
