footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3932160,245760,16,4096,0,random,1000,59.920242,59.658,2.1926733897299955,55.34,58.595,60.7415,57.3031,64.2594,73.588,53
4413696,275856,16,4096,0,random,1000,61.25904,60.952,2.2068845737649996,57.316,60.0975,61.903999999999996,59.103899999999996,64.0549,97.802,44
4954208,309638,16,4096,0,random,1000,63.272212,62.959,2.009820833516968,59.792,62.1315,63.88,61.031099999999995,66.3851,77.648,49
5560912,347557,16,4096,0,random,1000,64.512812,64.247,1.853181130099526,61.432,63.4055,65.1665,62.4815,66.7318,77.904,33
6241904,390119,16,4096,0,random,1000,69.344688,67.449,5.673228143149209,62.604,65.7675,71.127,64.4837,80.4983,114.16,65
7006304,437894,16,4096,0,random,1000,82.634824,77.29599999999999,51.69055996057754,66.584,73.7885,82.739,69.6598,91.831,1154.656,39
7864320,491520,16,4096,0,random,1000,70.2335,69.844,1.982161911611623,66.848,69.0985,70.811,68.1746,73.0663,86.422,45
8827392,551712,16,4096,0,random,1000,72.94068,72.613,2.0064440833124304,69.594,71.8835,73.443,70.8497,75.6621,86.332,50
9908416,619276,16,4096,0,random,1000,75.586396,75.082,2.061818695112525,72.512,74.4615,76.0035,73.67320000000001,81.1073,88.962,66
11121824,695114,16,4096,0,random,1000,78.329572,77.971,2.2307893917010917,75.398,77.2575,78.8305,76.30170000000001,80.6524,116.664,44
12483824,780239,16,4096,0,random,1000,81.513042,80.988,2.3145059325799853,77.6,80.14850000000001,82.05,79.0959,87.4319,92.794,83
14012624,875789,16,4096,0,random,1000,83.650352,82.904,6.068330971599758,79.666,82.033,83.876,81.0259,88.7368,224.118,64
15728640,983040,16,4096,0,random,1000,86.433522,85.803,7.047937346227786,82.566,84.9235,86.7595,83.8756,89.18849999999999,279.91,48
17654800,1103425,16,4096,0,random,1000,90.208154,89.613,5.914560511003529,84.842,88.4795,90.76650000000001,87.00189999999999,94.1242,228.074,50
19816832,1238552,16,4096,0,random,1000,95.079358,94.775,2.4954519639416706,88.37,93.4795,96.0985,91.7798,100.1291,107.84,53
22243648,1390228,16,4096,0,random,1000,103.345172,102.994,2.759021708360266,96.894,101.57,104.64,99.8835,108.29610000000001,127.942,39
24967648,1560478,16,4096,0,random,1000,106.589496,106.231,2.9630196907330317,99.718,104.8005,107.96849999999999,102.744,111.2899,141.49,35
28025248,1751578,16,4096,0,random,1000,123.53037,123.789,5.1499397552381705,110.718,119.546,127.1265,115.55330000000001,131.6664,154.78,4
31457280,1966080,16,4096,0,random,1000,138.313606,137.916,7.866474102135185,127.97,134.736,140.85250000000002,131.2991,145.3465,308.166,8
35309600,2206850,16,4096,0,random,1000,129.464586,129.35000000000002,5.12172851013557,117.194,126.6685,131.776,123.2093,136.0165,229.314,16
39633680,2477105,16,4096,0,random,1000,111.003316,110.41499999999999,4.092430699862513,104.314,108.7975,112.281,106.6574,116.8741,186.666,40
44487312,2780457,16,4096,0,random,1000,158.001758,157.799,21.736772265770508,139.232,153.9355,161.281,146.28400000000002,166.1226,812.746,17
49935312,3120957,16,4096,0,random,1000,132.447084,132.06,3.7814211543930005,123.794,130.112,134.351,127.1301,138.4953,174.838,21
56050496,3503156,16,4096,0,random,1000,155.123436,154.882,3.790473093451024,146.596,152.497,157.39600000000002,149.6559,161.74,181.088,15
62914560,3932160,16,4096,0,random,1000,190.204576,188.649,22.01996049588792,174.492,185.06650000000002,193.019,180.4695,199.3465,821.75,7
70619200,4413700,16,4096,0,random,1000,190.832354,189.81799999999998,8.116567711421995,179.428,186.814,193.63049999999998,183.2848,200.4569,353.59,21
79267376,4954211,16,4096,0,random,1000,239.097896,238.41899999999998,8.804571744769463,223.098,235.835,241.5605,232.4,246.5482,470.856,17
88974624,5560914,16,4096,0,random,1000,220.29062,219.232,14.758001670853576,208.546,216.594,222.3785,213.353,228.2911,655.99,23
99870624,6241914,16,4096,0,random,1000,229.924072,229.18,6.741154205834699,217.348,226.8725,231.8195,223.5695,237.0898,328.994,34
112100992,7006312,16,4096,0,random,1000,244.690448,246.019,10.18848300038554,222.72,236.0965,252.6975,228.5619,258.5542,330.136,2
125829120,7864320,16,4096,0,random,1000,277.555526,277.639,6.924374915564242,262.784,272.2825,282.231,267.5941,288.21869999999996,333.036,6
