stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,7864320,62914560,4096,random,1000,172.075026,172.152,5.060393123254941,157.934,168.635,175.344,164.23850000000002,180.04070000000002,204.482,6
16,3932160,62914560,4096,random,1000,218.118788,216.821,45.480094097375854,195.248,212.416,220.655,204.772,226.2082,1601.536,15
24,2621440,62914560,4096,random,1000,217.74761,217.244,7.5142570847313594,203.174,214.393,220.2405,210.4351,224.798,393.496,18
32,1966080,62914560,4096,random,1000,188.723386,187.44,23.476508611707995,175.126,184.74349999999998,190.2515,180.6736,195.13,872.212,18
40,1572864,62914560,4096,random,1000,174.614686,174.384,4.289209869277407,164.23,171.8275,176.979,168.43779999999998,181.5327,212.108,18
48,1310720,62914560,4096,random,1000,231.258646,231.122,10.371496586709757,212.598,224.8945,236.0745,218.9589,245.5788,424.766,9
56,1123474,62914560,4096,random,1000,181.025638,182.55599999999998,21.550782808998765,139.342,165.0565,194.8275,146.278,216.452,249.77,2
64,983040,62914560,4096,random,1000,205.787358,206.411,25.111974920109812,169.234,183.2815,221.761,177.4154,248.1923,382.672,3
72,873813,62914560,4096,random,1000,180.513592,193.707,31.744728474558723,115.522,154.6585,202.358,122.7699,214.9169,397.508,1
80,786432,62914560,4096,random,1000,138.651178,145.104,21.153454593364874,104.224,116.3785,153.34,109.1415,168.12789999999995,224.266,2
88,714938,62914560,4096,random,1000,210.588884,207.838,15.89108173162372,181.548,199.0395,222.469,190.386,235.595,404.882,3
96,655360,62914560,4096,random,1000,163.528182,165.16,17.805464896347164,123.106,150.899,176.354,131.4541,188.7111,321.03,2
104,604947,62914560,4096,random,1000,111.066942,109.527,6.997344284202948,101.078,107.297,113.131,104.9739,122.1943,234.894,56
112,561737,62914560,4096,random,1000,110.585792,109.661,7.416172333543552,101.608,105.8235,113.4325,103.2641,121.1944,235.664,29
120,524288,62914560,4096,random,1000,129.734826,122.985,18.430897400308666,112.19,119.6215,129.6945,116.14850000000001,175.664,208.404,136
128,491520,62914560,4096,random,1000,160.878762,158.44299999999998,15.282396217658718,98.444,151.332,171.647,144.39010000000002,185.6997,215.866,22
136,462607,62914560,4096,random,1000,97.89964,97.274,3.2684961363589515,94.162,96.3755,98.5185,95.1576,102.8844,170.118,79
144,436906,62914560,4096,random,1000,106.972942,97.586,164.9091827448739,94.898,96.75800000000001,99.3355,95.8492,103.7505,4342.872,68
152,413911,62914560,4096,random,1000,97.686708,97.106,3.6126017403071256,93.884,95.98,98.3535,94.98349999999999,102.39989999999999,157.324,61
160,393216,62914560,4096,random,1000,100.984408,99.414,7.902295408947091,94.02,96.8055,102.77850000000001,95.3927,112.5272,260.906,57
168,374491,62914560,4096,random,1000,96.845266,95.86500000000001,2.9137590732902368,93.9,95.212,97.3485,94.56739999999999,101.80109999999999,131.066,85
176,357469,62914560,4096,random,1000,95.2559,94.94399999999999,1.5092890536432868,93.486,94.6135,95.2885,94.1978,98.25259999999999,113.888,76
184,341926,62914560,4096,random,1000,95.864052,94.97999999999999,4.04908762017468,93.692,94.65,95.40650000000001,94.2257,100.3587,156.986,150
192,327680,62914560,4096,random,1000,95.47748,94.785,5.684695199666654,93.44,94.489,95.134,94.0499,99.6226,245.39,88
200,314572,62914560,4096,random,1000,95.717552,95.247,1.9744863706097653,93.638,94.81349999999999,95.7565,94.3039,100.0727,130.656,100
208,302473,62914560,4096,random,1000,96.847848,95.41900000000001,4.720309753932369,93.608,94.868,96.8835,94.256,102.7404,182.486,127
216,291271,62914560,4096,random,1000,96.014828,95.037,5.728657174193219,93.398,94.6655,95.6245,94.12389999999999,100.649,240.536,146
224,280868,62914560,4096,random,1000,95.184728,94.822,1.7951095499473875,93.59,94.534,95.116,94.1278,99.4168,125.268,73
232,271183,62914560,4096,random,1000,95.704566,94.941,3.3108413447421574,93.826,94.6105,95.448,94.178,99.8785,151.996,144
240,262144,62914560,4096,random,1000,95.407388,94.759,5.619593451488819,93.522,94.49549999999999,95.068,94.154,99.3146,236.832,76
248,253687,62914560,4096,random,1000,95.49273,94.85,3.2876010170864025,93.642,94.56949999999999,95.2065,94.2139,99.6852,168.46,114
256,245760,62914560,4096,random,1000,147.91735,149.206,20.810471659628387,104.662,135.615,158.5195,112.3712,184.14,222.496,7
264,238312,62914560,4096,random,1000,95.259588,94.734,4.185658384336492,93.362,94.398,95.1025,93.952,99.2723,217.258,103
272,231303,62914560,4096,random,1000,95.060684,94.676,2.278144858462723,93.156,94.405,94.982,94.006,99.35669999999999,150.91,75
280,224694,62914560,4096,random,1000,95.359782,94.773,3.47578439400801,93.46,94.499,95.126,94.1159,99.6524,169.746,107
288,218453,62914560,4096,random,1000,95.234446,94.72999999999999,4.759503742298871,93.334,94.472,94.9985,94.0979,98.91229999999999,215.948,56
296,212549,62914560,4096,random,1000,95.102408,94.753,1.5984865193953586,93.308,94.4675,95.0825,94.0778,99.1043,113.866,75
304,206955,62914560,4096,random,1000,96.582964,94.86,22.413686694650433,93.432,94.5395,95.19999999999999,94.1839,99.8303,784.35,165
312,201649,62914560,4096,random,1000,95.210828,94.736,2.206489080071886,93.464,94.478,95.062,94.0938,99.5626,144.282,91
320,196608,62914560,4096,random,1000,95.119308,94.74,1.796393513345779,93.27,94.5,95.0065,94.14370000000001,99.4405,128.282,77
328,191812,62914560,4096,random,1000,95.337264,94.688,5.5108259051126325,93.474,94.424,94.967,94.0237,99.4477,231.268,74
336,187245,62914560,4096,random,1000,105.849304,95.481,19.478270018420385,93.606,94.73849999999999,104.7335,94.1139,150.49339999999998,175.654,199
344,182891,62914560,4096,random,1000,98.016202,95.566,6.608691886572384,93.61,94.766,99.014,94.1439,109.996,158.144,71
352,178734,62914560,4096,random,1000,95.469096,94.811,3.4594759355330873,93.384,94.526,95.15100000000001,94.156,99.67739999999999,161.862,109
360,174762,62914560,4096,random,1000,95.24457,94.769,1.8826420382388533,93.168,94.5075,95.096,94.1439,99.5029,117.444,91
368,170963,62914560,4096,random,1000,96.344376,94.818,23.52231720748263,92.96,94.518,95.094,94.0618,99.705,808.566,78
376,167325,62914560,4096,random,1000,95.28479,94.848,1.680712800992311,93.67,94.552,95.156,94.1418,99.7064,108.052,98
384,163840,62914560,4096,random,1000,94.87877,94.249,5.784064246730867,92.744,93.952,94.546,93.5437,95.57549999999999,235.664,58
392,160496,62914560,4096,random,1000,96.245994,94.858,19.540771355838164,93.448,94.582,95.18,94.1899,99.9098,694.052,152
400,157286,62914560,4096,random,1000,99.578154,95.024,8.50366653466708,93.356,94.6,100.427,94.1453,119.5193,133.08,161
408,154202,62914560,4096,random,1000,95.166888,94.754,1.670167380394712,93.506,94.4555,95.07,94.052,99.53620000000001,115.494,88
416,151236,62914560,4096,random,1000,95.036454,94.758,2.4012630155720043,93.324,94.4555,95.042,94.003,95.8261,156.71,56
424,148383,62914560,4096,random,1000,95.192126,94.84700000000001,1.549815481969435,93.454,94.61,95.1405,94.2696,99.4584,118.14,74
432,145635,62914560,4096,random,1000,95.34246,94.827,1.6907281123675533,93.636,94.574,95.162,94.2478,99.6353,105.188,107
440,142987,62914560,4096,random,1000,95.101744,94.795,1.6682405176978794,93.64,94.5015,95.0645,94.1157,95.9529,114.806,52
448,140434,62914560,4096,random,1000,95.774542,94.906,4.265112100222392,93.692,94.628,95.218,94.22789999999999,99.65650000000001,139.406,102
456,137970,62914560,4096,random,1000,95.41075,94.848,5.404721576623611,93.27,94.5475,95.0845,94.1818,99.3373,239.182,74
464,135591,62914560,4096,random,1000,95.339956,94.8,4.56493443550556,93.688,94.5215,95.0945,94.1939,99.6981,225.854,66
472,133293,62914560,4096,random,1000,95.737254,94.773,6.644168040050494,93.586,94.4975,95.0885,94.0579,99.7973,239.128,93
480,131072,62914560,4096,random,1000,96.214728,94.82499999999999,5.777365856708251,93.332,94.498,95.192,94.044,100.18599999999999,138.916,140
488,128923,62914560,4096,random,1000,96.593018,94.81899999999999,8.257303486522979,93.572,94.554,95.2025,94.1539,100.408,245.344,137
