footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6144,192,32,4096,0,sequential,1000,6.900002,5.582,2.146846756289557,5.068,5.1315,9.586,5.08,10.040099999999999,18.074,3
6880,215,32,4096,0,sequential,1000,7.093374,5.624,2.1450688577592394,5.068,5.383,9.642,5.082,10.058,17.454,1
7712,241,32,4096,0,sequential,1000,7.048674,5.604,2.1528009228764136,5.068,5.1175,9.654,5.08,10.102,13.532,0
8672,271,32,4096,0,sequential,1000,6.774734,5.492,2.3615904655064073,5.068,5.09,9.6485,5.076,10.136,36.724,1
9728,304,32,4096,0,sequential,1000,6.345842,5.102,1.95880203707686,5.068,5.086,6.046,5.076,10.0148,13.104,242
10944,342,32,4096,0,sequential,1000,7.614804,6.197,2.1382104221505873,5.098,5.5275,9.686,5.3459,10.1001,15.562,0
12288,384,32,4096,0,sequential,1000,6.672598,5.482,2.127311982447959,5.064,5.09,9.598500000000001,5.076,10.096,15.754,0
13792,431,32,4096,0,sequential,1000,7.463992,5.941000000000001,2.1351005311727627,5.068,5.512,9.6685,5.092,10.120099999999999,14.034,0
15456,483,32,4096,0,sequential,1000,7.315316,5.718999999999999,2.1648180342156396,5.064,5.4655000000000005,9.674,5.09,10.0921,16.394,1
17376,543,32,4096,0,sequential,1000,7.803696,7.634,5.885075440512597,5.084,6.009,7.83,5.384,10.0382,168.02,11
19488,609,32,4096,0,sequential,1000,8.101136,7.718999999999999,1.4860919900554295,5.084,7.5675,10.046,5.5912,10.136,15.942,2
21888,684,32,4096,0,sequential,1000,6.566026,5.48,2.0265077095389548,5.068,5.09,9.568,5.076,10.034,14.712,0
24576,768,32,4096,0,sequential,1000,6.573684,5.478,2.0633636600797587,5.066,5.09,9.556,5.076,10.0521,15.712,0
27584,862,32,4096,0,sequential,1000,7.45679,5.979,2.1446408781883264,5.07,5.52,9.662,5.1,10.1223,18.342,1
30944,967,32,4096,0,sequential,1000,6.972778,5.621,2.099798735461436,5.068,5.32,9.6105,5.08,10.104199999999999,18.622,1
34752,1086,32,4096,0,sequential,1000,7.719222,7.377,2.137296575435278,5.074,5.5355,9.718,5.3159,10.132,20.274,2
39008,1219,32,4096,0,sequential,1000,8.241628,9.74,2.1733644606219857,5.182,5.728,10.238,5.474,10.316,18.734,1
43776,1368,32,4096,0,sequential,1000,7.863418,8.236,2.2436011953106996,5.168,5.6695,9.898,5.276,10.302,20.092,3
49152,1536,32,4096,0,sequential,1000,7.91952,7.67,2.0578112558650186,5.302,5.802,9.912,5.524,10.4103,20.968,2
55168,1724,32,4096,0,sequential,1000,10.676322,10.502,3.818365303360314,10.344,10.49,10.518,10.47,10.542,130.434,53
61920,1935,32,4096,0,sequential,1000,10.530072,10.496,0.3732846638374744,10.448,10.482,10.51,10.466,10.532,16.064,18
69504,2172,32,4096,0,sequential,1000,10.54219,10.508,0.426880567511475,10.452,10.4955,10.52,10.482,10.536,16.702,12
78016,2438,32,4096,0,sequential,1000,10.555878,10.508,0.73354862599742,10.454,10.4955,10.52,10.484,10.534,30.776,16
87552,2736,32,4096,0,sequential,1000,10.535487999999999,10.508,0.3568449357412322,10.448,10.496,10.52,10.478,10.536,16.052,10
98304,3072,32,4096,0,sequential,1000,10.581754,10.514,0.41962676524038134,10.456,10.5,10.532,10.484,10.746,18.096,190
110336,3448,32,4096,0,sequential,1000,11.893466,10.518,2.942436003123343,10.464,10.502,15.486,10.486,15.546,70.958,2
123840,3870,32,4096,0,sequential,1000,11.193118,10.512,1.7624013244730907,10.468,10.496,10.526,10.484,15.536,21.832,139
139008,4344,32,4096,0,sequential,1000,10.622166,10.514,1.3146082988568966,10.464,10.498,10.532,10.484,10.748,49.54,192
156032,4876,32,4096,0,sequential,1000,10.574404,10.515,0.3442171207395272,10.474,10.5,10.532,10.486,10.75,17.126,187
175136,5473,32,4096,0,sequential,1000,10.588178,10.514,0.8074636597877813,10.45,10.5,10.528,10.486,10.729099999999999,31.37,64
196608,6144,32,4096,0,sequential,1000,10.635248,10.518,0.6128650341192962,10.466,10.502,10.534,10.488,11.170499999999999,20.516,121
