stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,12288,98304,4096,sequential,1000,7.04697,6.448,2.109319377272047,6.39,6.434,6.8845,6.416,10.120199999999999,62.624,161
16,6144,98304,4096,sequential,1000,7.830362,7.792,0.48436252540015107,7.742,7.782,7.804,7.766,7.818,18.23,18
24,4096,98304,4096,sequential,1000,9.201802,9.154,0.4866416267325155,9.106,9.142,9.168,9.128,9.186,16.882,26
32,3072,98304,4096,sequential,1000,10.53755,10.504,0.4319468619999358,10.454,10.49,10.518,10.47,10.532,16.93,8
40,2457,98304,4096,sequential,1000,11.93451,11.864,1.0728652924928812,11.818,11.848,11.88,11.832,11.92759999999999,44.402,50
48,2048,98304,4096,sequential,1000,14.17507,13.23,2.0047748555190235,13.164,13.21,13.2505,13.194,18.256,24.772,203
56,1755,98304,4096,sequential,1000,14.625244,14.584,0.5062070822045797,14.542,14.566,14.6,14.55,14.616,22.25,12
64,1536,98304,4096,sequential,1000,16.465802,15.942,1.6004202441089508,15.894,15.92,15.962,15.904,20.9541,30.41,105
72,1365,98304,4096,sequential,1000,16.024946,15.98,0.5233937658380334,15.916,15.962,15.998,15.946,16.016,22.876,10
80,1228,98304,4096,sequential,1000,16.155488,16.018,2.2882593027217197,15.954,15.994,16.038,15.976,16.25,86.938,171
88,1117,98304,4096,sequential,1000,16.58809,16.024,1.5422288058487268,15.958,15.994,16.224,15.972,21.006,24.188,104
96,1024,98304,4096,sequential,1000,16.10221,16.022,0.7185885062686026,15.588,16.002,16.044,15.984,16.066,28.536,65
104,945,98304,4096,sequential,1000,16.125592,16.084,0.4773870336696588,16.028,16.066,16.104,16.052,16.116,23.586,9
112,877,98304,4096,sequential,1000,16.162756,16.082,0.8280990668564532,16.03,16.06,16.104,16.042,16.3041,37.674,130
120,819,98304,4096,sequential,1000,12.508018,12.462,0.6351075414961354,12.048,12.2515,12.638,12.0919,12.922,21.83,15
128,768,98304,4096,sequential,1000,16.39977,16.11,1.2091145972194735,16.072,16.09,16.13,16.078,21.0842,25.232,58
136,722,98304,4096,sequential,1000,6.989352,5.88,1.9831001634699026,5.236,5.524,9.874500000000001,5.382,10.1542,14.894,0
144,682,98304,4096,sequential,1000,7.594194,6.101,2.1934017948834175,5.25,5.6655,9.82,5.4538,10.214,26.468,3
152,646,98304,4096,sequential,1000,8.546084,8.611,0.7523539735027958,7.43,7.975,8.946,7.487900000000001,9.547099999999999,14.53,7
160,614,98304,4096,sequential,1000,6.757878,5.66,2.0579692948959987,5.246,5.284,9.746,5.262,9.994499999999999,20.396,1
168,585,98304,4096,sequential,1000,7.581382,6.104,2.11872955447386,5.256,5.6875,9.828,5.3299,10.2061,15.884,0
176,558,98304,4096,sequential,1000,7.457002,5.905,2.1511903299875237,5.072,5.502,9.668,5.112,10.086,17.032,2
184,534,98304,4096,sequential,1000,7.530884,6.018000000000001,2.187322911703726,5.264,5.7015,9.83,5.3359000000000005,10.2081,29.17,1
192,512,98304,4096,sequential,1000,7.529046,5.9670000000000005,2.17650404082412,5.07,5.502,9.666,5.096,10.1022,16.734,2
200,491,98304,4096,sequential,1000,7.026696,5.536,2.2942075476852253,5.066,5.09,9.927,5.076,10.134,15.008,0
208,472,98304,4096,sequential,1000,5.512854,5.368,0.6599381736777143,5.2,5.3135,5.4645,5.2599,6.2301,18.192,151
216,455,98304,4096,sequential,1000,5.640178,5.4,0.7371675496875268,5.188,5.32,5.62,5.254,6.8065,15.226,140
224,438,98304,4096,sequential,1000,6.334392,5.484,1.7255685025500995,5.092,5.316,6.404999999999999,5.252,9.734,22.908,176
232,423,98304,4096,sequential,1000,6.81143,5.57,2.1135676528853584,5.07,5.096,9.626,5.078,10.042,16.626,1
240,409,98304,4096,sequential,1000,7.187072,5.816,2.0808150427315875,5.078,5.502,9.6215,5.2597,10.104099999999999,18.878,2
248,396,98304,4096,sequential,1000,7.349066,5.871,2.1621919743116655,5.08,5.502,9.6765,5.2539,10.132,19.122,3
256,384,98304,4096,sequential,1000,16.188114,16.108,0.8896532593802633,16.07,16.09,16.128,16.078,16.1381,29.896,13
264,372,98304,4096,sequential,1000,7.48771,5.922,2.149040241097839,5.082,5.532,9.668,5.322,10.086,17.246,3
272,361,98304,4096,sequential,1000,7.67686,6.305,2.290121580452281,5.084,5.536,9.71,5.3259,10.11,31.16,2
280,351,98304,4096,sequential,1000,7.855628,9.551,2.215172689353961,5.084,5.5315,9.7705,5.332,10.1381,17.486,4
288,341,98304,4096,sequential,1000,7.607672,6.175,2.1705999586742366,5.078,5.53,9.7,5.318,10.114,17.45,2
296,332,98304,4096,sequential,1000,7.720238,9.493,2.1880216420460887,5.088,5.5235,9.726,5.318,10.134,17.452,2
304,323,98304,4096,sequential,1000,7.595428,6.096,2.1821662875506354,5.09,5.524,9.678,5.3379,10.108,17.948,4
312,315,98304,4096,sequential,1000,7.858002,9.556,2.2145054270157667,5.08,5.5395,9.742,5.3459,10.136099999999999,17.938,4
320,307,98304,4096,sequential,1000,7.455324,5.904,2.102749236922315,5.098,5.526,9.66,5.3239,10.0761,15.572,0
328,299,98304,4096,sequential,1000,7.49253,5.985,2.1138845680564176,5.074,5.5275,9.664,5.322,10.072199999999999,14.978,0
336,292,98304,4096,sequential,1000,7.850214,9.528,2.747129256033169,5.08,5.5135000000000005,9.7645,5.3198,10.146,60.146,1
344,285,98304,4096,sequential,1000,7.590756,6.18,2.165294095263501,5.072,5.528,9.666,5.32,10.0961,17.438,3
352,279,98304,4096,sequential,1000,6.584362,5.455,2.074059054587867,5.064,5.09,9.561,5.076,10.0941,14.638,0
