stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,3072,98304,4096,random,1000,12.993596,12.956,0.5520860329439351,12.698,12.894,13.018,12.782,13.086,22.494,25
33,2978,98304,4096,random,1000,14.20324,14.172,0.47897132683693283,13.874,14.052,14.26,13.95,14.3821,21.37,17
34,2891,98304,4096,random,1000,13.947402,13.846,1.1544821399256928,13.476,13.728,14.042,13.608,14.1461,46.986,11
35,2808,98304,4096,random,1000,14.282348,14.182,0.6484622534814114,13.826,14.004,14.4105,13.92,14.626,20.942,20
36,2730,98304,4096,random,1000,13.813706,13.788,0.5255569385515328,13.536,13.696,13.852,13.6039,13.914,20.246,9
37,2656,98304,4096,random,1000,14.20501,14.104,0.6310930758377645,13.75,13.97,14.352,13.8719,14.5461,23.612,12
38,2586,98304,4096,random,1000,14.334158,14.178,1.1518340595488297,13.726,13.956,14.272,13.802,15.588499999999998,40.006,115
39,2520,98304,4096,random,1000,14.565538,14.497,0.7150921810391884,14.128,14.296,14.658,14.188,14.856,27.5,23
40,2457,98304,4096,random,1000,12.967572,12.896,0.5719313195220649,12.71,12.832,13.0,12.774,13.1,20.41,31
41,2397,98304,4096,random,1000,14.950214,14.4,1.591700168885972,14.17,14.306,14.524,14.241900000000001,19.368299999999998,23.0,111
42,2340,98304,4096,random,1000,14.533528,14.219000000000001,1.1650381053866878,13.91,14.132,14.374500000000001,14.01,17.497499999999995,22.748,93
43,2286,98304,4096,random,1000,14.750758,14.57,0.8346623572958629,14.224,14.432,14.7005,14.3299,16.1006,25.934,98
44,2234,98304,4096,random,1000,14.142306,14.03,1.8997766051600682,13.892,13.986,14.074,13.932,14.148,67.854,17
45,2184,98304,4096,random,1000,15.152092,14.808,4.672220443794514,14.558,14.766,14.848,14.6639,14.940499999999998,151.154,84
46,2137,98304,4096,random,1000,14.522476,14.518,0.5016467910063085,14.118,14.306,14.638,14.196,14.7821,20.594,8
47,2091,98304,4096,random,1000,14.98353,14.836,0.8622331872348508,14.556,14.79,14.886,14.666,15.5627,28.0,114
48,2048,98304,4096,random,1000,13.824412,13.786,0.44709758051515164,13.54,13.71,13.8645,13.618,13.966099999999999,19.774,12
49,2006,98304,4096,random,1000,15.582806,15.056999999999999,1.562486341037876,14.866,14.986,15.138,14.927900000000001,20.0402,23.276,109
50,1966,98304,4096,random,1000,14.948064,14.904,0.5042837475092787,14.674,14.852,14.956,14.762,15.0641,22.34,23
51,1927,98304,4096,random,1000,15.25436,15.188,0.5522558400894579,14.956,15.1,15.310500000000001,15.0159,15.4281,22.934,10
52,1890,98304,4096,random,1000,14.957304,14.892,1.3465015313611632,14.674,14.79,14.972,14.728,15.052,55.166,11
53,1854,98304,4096,random,1000,16.072022,15.538,1.5413914814917122,15.344,15.462,15.692,15.402,20.488,23.956,106
54,1820,98304,4096,random,1000,15.49617,15.468,0.42077273770623114,15.26,15.396,15.528,15.334,15.59,21.762,9
55,1787,98304,4096,random,1000,15.828848,15.657,4.596338342534747,15.366,15.524,15.748,15.434,15.8341,159.976,12
56,1755,98304,4096,random,1000,14.950768,14.894,0.8556461678407382,14.634,14.748,14.964,14.686,15.1741,36.34,17
57,1724,98304,4096,random,1000,16.13929,16.039,1.11682670893823,15.888,15.99,16.124,15.9379,16.288,46.678,32
58,1694,98304,4096,random,1000,16.014232,15.978,0.45847813074602844,15.792,15.9295,16.026,15.8619,16.074,22.584,12
59,1666,98304,4096,random,1000,16.29756,16.214,0.6055339972469108,16.004,16.137500000000003,16.302,16.062,16.496,23.73,22
60,1638,98304,4096,random,1000,16.4587,15.974,1.5378534049431027,15.682,15.86,16.036,15.7559,20.9624,24.808,105
61,1611,98304,4096,random,1000,16.979146,16.47,1.5007134835282994,16.216,16.392,16.63,16.314,21.3902,23.458,100
62,1585,98304,4096,random,1000,16.614712,16.56,0.6802050896751803,16.28,16.4475,16.65,16.346,16.8201,26.912,10
63,1560,98304,4096,random,1000,16.891778,16.84,0.5549611306862604,16.686,16.7935,16.886,16.744,16.9401,25.978,14
64,1536,98304,4096,random,1000,17.07361,16.094,2.0231900864787833,16.032,16.07,16.124,16.05,21.122,26.316,197
65,1512,98304,4096,random,1000,17.139854,17.096,0.4950622479176869,16.966,17.062,17.130499999999998,17.02,17.176,24.88,12
66,1489,98304,4096,random,1000,17.04309,16.994,0.5213009520253944,16.828,16.96,17.026,16.906,17.076,23.128,29
67,1467,98304,4096,random,1000,18.67711,17.302,2.345817407900967,17.11,17.248,22.1605,17.174,22.3101,40.912,1
68,1445,98304,4096,random,1000,16.985698,16.646,4.635044086357592,16.55,16.612,16.688,16.5779,16.8742,153.518,118
69,1424,98304,4096,random,1000,17.228856,17.18,0.40150485104094247,17.01,17.136,17.228,17.09,17.41,22.554,85
70,1404,98304,4096,random,1000,17.043904,16.944,0.5746215491162063,16.832,16.91,17.02,16.868,17.19,24.388,56
71,1384,98304,4096,random,1000,17.26875,17.106,1.7402499358825845,16.994,17.072,17.268,17.034,17.3641,68.942,27
