num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,7.828296,7.768,1.0854827798031847,7.678,7.756,7.782,7.7419,7.838,33.782,76
3,32768,random,1000,7.813176,7.768,0.7384538246058958,7.72,7.758,7.782,7.742,7.8281,25.86,66
4,32768,random,1000,7.81951,7.768,0.8803686482700623,7.732,7.758,7.78,7.74,7.814,25.494,51
5,32768,random,1000,7.82353,7.768,0.79935074198296,7.73,7.758,7.782,7.742,7.832,25.488,69
6,32768,random,1000,7.791846,7.768,0.657288137714336,7.73,7.7575,7.78,7.744,7.812,28.54,48
7,32768,random,1000,7.8805879999999995,7.782,2.1721500136818213,7.73,7.768,7.796,7.746,7.826,72.978,40
8,32768,random,1000,7.819716,7.778,0.8227980286436883,7.73,7.766,7.792,7.748,7.8301,29.362,50
9,32768,random,1000,18.98958,18.906,1.2052911741211807,18.58,18.878,18.934,18.846,18.968,39.038,15
10,32768,random,1000,22.589296,22.436,1.484572653778975,22.336,22.394,22.48,22.358,22.538,47.208,27
11,32768,random,1000,22.519276,22.41,1.1632645082439936,22.35,22.38,22.436,22.36,22.4941,42.912,29
12,32768,random,1000,22.552988,22.48,0.9148259125682363,22.352,22.452,22.508,22.434,22.526,39.1,17
13,32768,random,1000,21.973148,21.818,1.6394475503554136,21.764,21.786,21.846,21.772,22.384,64.226,70
14,32768,random,1000,21.965314,21.892,0.8695307200306825,21.84,21.866,21.918,21.848,21.936,37.392,12
15,32768,random,1000,22.706772,21.906,5.339863696042092,21.766,21.866,22.1225,21.82,22.8398,100.012,102
16,32768,random,1000,22.058548,21.898,1.2715967639255874,21.84,21.87,21.924,21.8499,22.2883,44.634,62
17,32768,random,1000,22.67055,22.466,3.5239872570268593,21.844,21.96,22.504,21.862,22.538,73.916,19
18,32768,random,1000,21.971216,21.892,0.9817363065098079,21.842,21.866,21.918,21.848,21.934,38.55,7
19,32768,random,1000,22.666262,22.474,2.1180396623688065,21.842,21.9585,22.516,21.86,23.9915,65.024,79
20,32768,random,1000,22.569952,22.422,2.3941304647780535,21.768,22.3715,22.464,21.804,22.522,65.06,169
21,32768,random,1000,22.535966,21.972,3.753515678239641,21.842,21.892,22.486,21.85,22.5221,82.084,12
22,32768,random,1000,22.295624,21.826,4.147827438440887,21.762,21.7955,21.852,21.772,22.310299999999998,91.866,68
23,32768,random,1000,22.060512,21.892,1.713940833003005,21.764,21.856,21.924,21.8,22.44,65.222,122
24,32768,random,1000,22.008482,21.898,1.0662542275432034,21.842,21.87,21.922,21.848,21.96,38.184,32
25,32768,random,1000,22.228578,21.906,2.3686328908650425,21.842,21.872,21.932,21.85,22.524,65.78,198
26,32768,random,1000,23.639072,22.472,7.164506877211411,21.84,21.914,22.522,21.854,27.249799999999997,103.852,101
27,32768,random,1000,22.57113,22.430999999999997,1.4333647901778952,22.354,22.396,22.46,22.364,22.5382,51.418,45
28,32768,random,1000,22.656462,22.424,1.4348610890608542,22.35,22.394,22.452,22.3679,23.6021,40.492,84
29,32768,random,1000,22.609172,22.484,1.5199913421122162,22.376,22.454,22.51,22.436,22.532,60.04,17
30,32768,random,1000,22.542702,22.484,0.8556025940791642,22.432,22.4575,22.51,22.438,22.53,39.708,6
31,32768,random,1000,22.593672,22.486,1.1468666686112956,22.432,22.46,22.514,22.44,22.5441,41.392,28
32,32768,random,1000,22.585908,22.486,1.2579157330789401,22.43,22.458,22.512,22.438,22.532,49.7,9
33,32768,random,1000,22.452482,22.398,1.7790702646839673,21.766,22.362,22.432,21.792,22.47,64.844,198
34,32768,random,1000,21.98898,21.893,1.1209746758173549,21.84,21.8675,21.918,21.848,21.94,42.694,11
35,32768,random,1000,22.509728,22.468,2.097776021946636,21.842,22.434,22.504,21.86,22.528,65.38,269
36,32768,random,1000,21.90585,21.832,0.9628949372388247,21.782,21.808,21.86,21.788,21.876,38.808,8
37,32768,random,1000,21.95744,21.892,0.8529817725510344,21.84,21.866,21.92,21.848,21.942,37.508,7
38,32768,random,1000,22.562786,22.484,0.9673741194030834,22.43,22.458,22.51,22.438,22.528,40.546,7
39,32768,random,1000,21.993098,21.824,1.6648988842241113,21.764,21.796,21.85,21.774,22.458199999999998,65.3,95
40,32768,random,1000,21.962028,21.852,1.4970317429016844,21.782,21.82,21.878,21.79,21.926099999999998,60.348,13
