num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,7.818926,7.768,1.0197395507065885,7.73,7.756,7.782,7.744,7.822,36.172,52
3,32768,sequential,1000,7.908084,7.772,2.308832453913502,7.704,7.76,7.810499999999999,7.742,7.9681,78.742,190
4,32768,sequential,1000,7.810254,7.768,0.6222969717144742,7.73,7.756,7.78,7.742,7.834199999999999,23.72,78
5,32768,sequential,1000,7.833926,7.766,1.3649629747529588,7.73,7.758,7.78,7.742,7.814,47.1,51
6,32768,sequential,1000,7.793014,7.768,0.5230828533564024,7.728,7.756,7.78,7.742,7.814,21.77,47
7,32768,sequential,1000,7.793844,7.768,0.5263984336745077,7.732,7.758,7.78,7.742,7.814,21.42,53
8,32768,sequential,1000,7.797662,7.768,0.5958126034370324,7.73,7.758,7.782,7.744,7.82,23.488,52
9,32768,sequential,1000,18.599484,18.35,1.6264560433669901,18.124,18.314,18.798,18.282,18.8521,60.736,7
10,32768,sequential,1000,22.075612,21.814,3.1676346100013615,21.762,21.786,21.838,21.77,21.856,73.506,13
11,32768,sequential,1000,21.90846,21.814,0.9757580089817824,21.748,21.784,21.836,21.768,21.8722,40.902,39
12,32768,sequential,1000,22.255322,21.894,3.838291742405183,21.84,21.866,21.92,21.848,21.9441,75.612,23
13,32768,sequential,1000,22.363398,21.891,4.640382299496614,21.766,21.866,21.92,21.844,21.95,99.9,39
14,32768,sequential,1000,22.13912,21.824,3.440832779985075,21.086,21.792,21.85,21.768,21.928,81.372,63
15,32768,sequential,1000,22.111064,21.894,3.1104461994163257,21.842,21.866,21.918,21.848,21.9421,100.144,19
16,32768,sequential,1000,21.949402,21.892,0.7968236833694003,21.838,21.866,21.918,21.848,21.938,35.362,7
17,32768,sequential,1000,21.902884,21.814,1.1268087168763066,21.762,21.79,21.84,21.768,21.858,41.76,7
18,32768,sequential,1000,21.901084,21.818,1.0415399821795026,21.762,21.786,21.8425,21.77,21.872,40.676,11
19,32768,sequential,1000,21.976626,21.892,1.0562408138207786,21.84,21.866,21.918,21.848,21.938,41.662,7
20,32768,sequential,1000,21.920636,21.816,1.5473657383541335,21.764,21.788,21.842,21.77,21.86,62.63,10
21,32768,sequential,1000,21.96097,21.824,1.4634367079235433,21.392,21.792,21.85,21.768,21.926099999999998,51.124,61
22,32768,sequential,1000,22.707782,21.898,5.8514975454151905,21.842,21.87,21.924,21.848,22.4762,81.176,62
23,32768,sequential,1000,22.340518,21.83,4.463856554933079,21.766,21.8,21.858,21.776,22.5905,100.506,105
24,32768,sequential,1000,22.49971,21.83,5.30774862058475,21.762,21.802,21.856,21.78,21.9001,79.692,47
25,32768,sequential,1000,22.034498,21.834,2.559024713338947,21.782,21.806,21.8585,21.79,21.878,77.684,14
26,32768,sequential,1000,21.969412,21.892,1.0041041417021361,21.84,21.866,21.918,21.848,21.936,40.586,7
27,32768,sequential,1000,21.892516,21.818,1.003294891037716,21.762,21.79,21.842,21.772,21.862,41.798,7
28,32768,sequential,1000,22.044042,21.84,1.4375800049063379,21.468,21.81,21.868,21.788,22.7742,42.782,110
29,32768,sequential,1000,22.320426,21.894,4.072707789574801,21.84,21.8675,21.92,21.848,21.962,82.122,35
30,32768,sequential,1000,22.668954,21.898,5.68778898601499,21.842,21.87,21.924,21.848,22.528699999999997,92.032,70
31,32768,sequential,1000,21.931938,21.833,1.2503706534171886,21.784,21.808,21.86,21.788,21.8761,42.476,7
32,32768,sequential,1000,22.179544,21.898,2.951841883734725,21.842,21.87,21.922,21.848,22.0883,74.652,54
33,32768,sequential,1000,22.090048,21.838,2.37643164957065,21.778,21.81,21.864,21.79,22.5793,82.58,79
34,32768,sequential,1000,21.936748,21.826,1.2055801424940509,21.528,21.798,21.848,21.77,21.88,45.844,30
35,32768,sequential,1000,21.933354,21.834,1.175193101370796,21.782,21.806,21.86,21.79,21.8781,42.838,13
36,32768,sequential,1000,21.986264,21.894,1.013982075755757,21.842,21.868,21.92,21.848,21.9481,38.586,21
37,32768,sequential,1000,22.016144,21.896,1.2259640578480002,21.84,21.868,21.922,21.85,21.96,42.732,35
38,32768,sequential,1000,22.035904,21.884,2.1343274276343713,21.784,21.856,21.916,21.8119,21.942,80.154,17
39,32768,sequential,1000,21.960446,21.836,1.3548997772863094,21.782,21.808,21.862,21.79,21.894,45.398,29
40,32768,sequential,1000,21.98538,21.892,1.219586834812367,21.84,21.866,21.918,21.848,21.936,40.938,7
