num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,8388608,random,1000,7.809362,7.768,0.8266252901565051,7.732,7.758,7.78,7.744,7.82,30.548,58
3,8388608,random,1000,7.83467,7.766,1.5056041787412264,7.532,7.756,7.778,7.737900000000001,7.816,50.162,102
4,8388608,random,1000,7.8078959999999995,7.562,3.400884863537582,7.532,7.552,7.576,7.538,7.616,69.172,55
5,8388608,random,1000,16.262562,16.018,3.972891149810707,15.434,15.634,16.048499999999997,15.59,16.078,83.702,18
6,8388608,random,1000,15.880142,15.639,1.6474432618870787,15.566,15.608,16.026,15.58,16.0741,58.0,8
7,8388608,random,1000,15.694498,15.619,1.2208581156442933,15.566,15.6,15.634,15.578,15.656,46.79,6
8,8388608,random,1000,15.84648,15.618,3.0195512572889696,15.566,15.598,15.636,15.576,15.6641,73.608,17
9,8388608,random,1000,22.218334,21.896,3.6981763853311564,21.842,21.866,21.92,21.848,21.956,88.718,28
10,8388608,random,1000,22.226176,21.894,3.3420221760558753,21.84,21.87,21.922,21.848,21.9621,72.782,36
11,8388608,random,1000,21.942756,21.828,1.3449450939610026,21.764,21.796,21.854,21.77,21.922,46.996,16
12,8388608,random,1000,21.970126,21.894,0.974708007468813,21.84,21.866,21.918,21.848,21.94,41.22,13
13,8388608,random,1000,22.184308,21.816,4.034575344115331,21.746,21.792,21.844,21.768,21.902,87.274,34
14,8388608,random,1000,21.93016,21.844,1.103131143935625,21.746,21.804,21.8785,21.772,21.928,41.916,7
15,8388608,random,1000,21.942932,21.854,1.090267103848288,21.762,21.816,21.894,21.7739,21.93,42.24,7
16,8388608,random,1000,21.983428,21.892,0.972581202271055,21.84,21.8675,21.92,21.848,21.9421,39.454,16
17,8388608,random,1000,21.968108,21.892,1.031284100154381,21.842,21.866,21.918,21.848,21.9341,42.398,6
18,8388608,random,1000,22.062752,21.872,2.5237466758333293,21.764,21.844,21.908,21.778,21.932,73.506,11
19,8388608,random,1000,21.980996,21.868,1.3666882529548445,21.764,21.842,21.9065,21.7779,21.934,48.762,13
20,8388608,random,1000,21.982466,21.892,1.149839539157447,21.84,21.866,21.918,21.848,21.934,43.886,7
21,8388608,random,1000,21.899296,21.832,0.9117408402302399,21.762,21.798,21.852,21.77,21.922,39.034,17
22,8388608,random,1000,21.915292,21.828,1.0517582527169245,21.764,21.8,21.8545,21.772,21.916,41.082,14
23,8388608,random,1000,22.162228,21.884999999999998,3.6209393905568326,21.772,21.856,21.914,21.81,21.936,94.388,11
24,8388608,random,1000,22.083414,21.892,2.409796152810877,21.778,21.864,21.918,21.846,21.944,72.556,23
25,8388608,random,1000,21.990446,21.892,1.2820204950130998,21.786,21.866,21.918,21.848,21.9341,44.554,8
26,8388608,random,1000,21.97001,21.892,1.0486531348817383,21.842,21.866,21.918,21.848,21.938,42.702,7
27,8388608,random,1000,24.511466,24.31,2.477933893231057,24.0,24.206,24.376,24.152,24.472,75.154,25
28,8388608,random,1000,26.470572,26.334,1.3945696688862042,26.136,26.24,26.452,26.184,26.526,50.298,11
29,8388608,random,1000,26.418178,26.226,2.4923115803063887,25.912,26.094,26.306,26.026,26.450499999999998,77.806,16
30,8388608,random,1000,26.258106,26.034,2.5099167577620767,25.746,25.98,26.098,25.916,26.2802,78.886,56
31,8388608,random,1000,26.180046,26.081,1.309133261276246,25.502,25.93,26.222,25.7659,26.312,46.148,9
32,8388608,random,1000,28.032368,28.208,1.2162987886696752,26.522,27.6035,28.286,26.8819,28.3701,48.612,15
33,8388608,random,1000,26.798288,26.646,1.1045469283706206,26.402,26.602,26.694,26.546,27.348799999999997,46.346,95
34,8388608,random,1000,28.00857,27.886,1.2613466273845642,26.454,27.842,27.932,27.778,27.998,48.354,32
35,8388608,random,1000,28.010868,27.632,3.9861961866690176,26.138,27.558,27.878,26.9816,27.952,98.33,79
36,8388608,random,1000,29.109676,27.596,7.969454384473896,26.076,27.33,28.278,26.5299,33.204799999999985,110.37,80
37,8388608,random,1000,26.526074,26.168,1.4890692360376376,25.828,26.112,26.63,26.0499,27.4341,53.136,74
38,8388608,random,1000,27.257028,27.235,2.565598955647047,25.7,26.9685,27.286,26.1814,27.36,84.114,132
39,8388608,random,1000,26.876536,26.747,2.453679661362621,25.654,26.346,27.096,25.902,27.19,78.066,10
40,8388608,random,1000,27.102978,26.988,1.4825022564760082,26.882,26.952,27.026,26.91,27.074,53.736,9
