size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,7.808094,7.762,0.7881543188959853,7.728,7.75,7.774,7.737900000000001,7.826,32.13,72
1112,139,random,1000,7.963268,7.866,2.085471363261309,7.828,7.856,7.878,7.842,7.92,70.378,59
1216,152,random,1000,7.93187,7.856,1.4573165224296836,7.81,7.844,7.868,7.83,7.9060999999999995,48.504,52
1328,166,random,1000,7.8924,7.854,0.6900661818516651,7.81,7.842,7.866,7.828,7.9140999999999995,25.248,61
1448,181,random,1000,7.877546,7.844,0.6863788529768482,7.798,7.832,7.856,7.82,7.8900999999999994,23.872,50
1576,197,random,1000,7.886812,7.838,0.7804661299736434,7.796,7.828,7.85,7.8139,7.892,23.856,59
1720,215,random,1000,7.8651539999999995,7.832,0.6645381458059659,7.79,7.822,7.844,7.806,7.884,22.932,58
1872,234,random,1000,7.864152,7.828,0.610368536743701,7.78,7.816,7.84,7.802,7.882,21.814,58
2048,256,random,1000,7.841898,7.806,1.9458621958610742,7.576,7.622,7.828,7.6,7.854,50.624,4
2232,279,random,1000,7.81358,7.806,1.4009433399826854,7.576,7.624,7.824,7.594,7.85,50.128,3
2432,304,random,1000,7.758458,7.624,1.440181709921909,7.564,7.604,7.806,7.586,7.838,50.326,4
2656,332,random,1000,7.997974,7.808,2.9373305380930512,7.564,7.796,7.82,7.61,7.856,58.556,133
2896,362,random,1000,7.818344,7.601,3.052171499855231,7.564,7.59,7.614,7.576,7.672,60.31,82
3152,394,random,1000,7.73889,7.612,1.4682576123815319,7.558,7.592,7.794,7.576,7.822,52.09,3
3440,430,random,1000,8.346828,7.804,3.7594798857591227,7.746,7.79,7.822,7.776,10.138499999999997,59.486,180
3752,469,random,1000,7.824996,7.798,0.44535604407034823,7.758,7.788,7.81,7.774,7.854,18.528,65
4096,512,random,1000,7.81652,7.794,0.433989119859192,7.75,7.782,7.806,7.77,7.842099999999999,17.958,50
4464,558,random,1000,7.906268,7.588,3.7742701974951,7.548,7.576,7.602,7.564,7.762099999999999,64.288,91
4864,608,random,1000,7.7719,7.612,2.202861781871489,7.56,7.6,7.63,7.584,7.82,57.002,156
5312,664,random,1000,7.820354,7.612,2.619350246606665,7.558,7.594,7.672,7.576,7.8281,57.414,197
5792,724,random,1000,7.789626,7.616,2.1723115913178233,7.556,7.598,7.798,7.58,7.828,58.166,4
6312,789,random,1000,7.834142,7.6,2.9814422788137116,7.56,7.588,7.614,7.572,7.7921,58.644,107
6888,861,random,1000,7.772372,7.594,2.661324773710861,7.552,7.582,7.606,7.57,7.654,58.53,68
7512,939,random,1000,7.71131,7.592,2.194916879521411,7.554,7.582,7.604,7.568,7.6421,59.122,60
