size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
38968,4871,sequential,1000,8.051534,7.647,4.103934901593899,7.57,7.612,7.8165,7.59,8.3322,86.56,51
39528,4941,sequential,1000,7.880626,7.828,1.6605986583241683,7.568,7.644,7.852,7.596,7.898,50.16,8
40104,5013,sequential,1000,7.846612,7.818,1.401590305631728,7.576,7.796,7.836,7.604,7.8701,50.288,199
40688,5086,sequential,1000,7.932032,7.616,3.8396333970314926,7.568,7.604,7.628,7.588,7.6922,66.866,83
41280,5160,sequential,1000,7.948816,7.614,3.7773819966867124,7.568,7.602,7.626,7.588,7.684,61.166,74
41880,5235,sequential,1000,8.01391,7.614,4.220197061173226,7.566,7.6,7.628,7.584,7.796,66.678,88
42488,5311,sequential,1000,7.645496,7.614,0.6292955162964621,7.56,7.602,7.628,7.584,7.664,22.186,46
43112,5389,sequential,1000,7.742764,7.614,2.2300947448202453,7.57,7.602,7.626,7.586,7.674,58.712,63
43736,5467,sequential,1000,7.770484,7.614,2.5056077050719083,7.572,7.6015,7.628,7.584,7.678,66.908,70
44376,5547,sequential,1000,7.764276,7.628,0.7263325373262434,7.568,7.608,7.832,7.586,8.0482,23.348,36
45016,5627,sequential,1000,7.833012,7.614,2.98714609110864,7.568,7.602,7.628,7.586,7.678,58.23,63
45672,5709,sequential,1000,7.657484,7.612,0.7263325221113789,7.57,7.6,7.626,7.586,7.662,23.462,46
46336,5792,sequential,1000,7.638356,7.614,0.46637380907786175,7.572,7.604,7.628,7.586,7.664,19.364,43
47008,5876,sequential,1000,7.636872,7.616,0.4210521161335025,7.572,7.602,7.628,7.588,7.664,17.772,48
47696,5962,sequential,1000,7.64305,7.614,0.48517031621455964,7.564,7.602,7.628,7.586,7.664,17.472,45
48392,6049,sequential,1000,7.633776,7.612,0.43647607630795665,7.558,7.6,7.624,7.586,7.662,17.804,53
49096,6137,sequential,1000,7.646812,7.614,0.5051912497805705,7.558,7.602,7.628,7.586,7.672,20.272,59
49808,6226,sequential,1000,7.64407,7.614,0.5123547310901603,7.572,7.602,7.626,7.5879,7.6601,18.41,48
50528,6316,sequential,1000,7.636186,7.616,0.4133517594991959,7.572,7.602,7.63,7.588,7.66,17.634,36
51264,6408,sequential,1000,8.001892,7.618,3.898572235808106,7.562,7.604,7.642,7.588,7.838,59.728,166
52016,6502,sequential,1000,7.636066,7.614,0.40203621822513047,7.564,7.602,7.628,7.588,7.67,16.802,56
52768,6596,sequential,1000,7.993434,7.614,4.0945755375223545,7.568,7.602,7.628,7.588,7.758699999999999,66.724,97
53536,6692,sequential,1000,7.807954,7.612,2.837959972002193,7.56,7.602,7.628,7.586,7.6781,64.638,72
54312,6789,sequential,1000,7.766796,7.614,2.4747792877157564,7.56,7.602,7.628,7.586,7.67,65.844,56
55104,6888,sequential,1000,7.713954,7.618,1.5231859063125517,7.57,7.604,7.638,7.586,7.832,53.478,171
55904,6988,sequential,1000,7.818292,7.62,2.58556227676361,7.574,7.606,7.6545,7.588,7.84,57.796,205
56720,7090,sequential,1000,7.947144,7.616,3.723375229864211,7.572,7.604,7.632,7.588,7.818,58.602,113
57544,7193,sequential,1000,7.92628,7.616,3.515762077357423,7.57,7.604,7.6365,7.5879,7.8980999999999995,66.704,164
58384,7298,sequential,1000,7.80812,7.616,3.105847169491802,7.56,7.604,7.63,7.588,7.674,66.73,59
59232,7404,sequential,1000,7.8455259999999996,7.615,3.3234384601678006,7.556,7.602,7.628,7.586,7.674,66.268,65
60096,7512,sequential,1000,7.6338,7.612,0.416079716316874,7.568,7.6,7.626,7.586,7.6601,17.73,46
60968,7621,sequential,1000,7.632594,7.612,0.378227999470668,7.562,7.602,7.626,7.5879,7.66,16.106,46
61856,7732,sequential,1000,7.643006,7.612,0.5139279578986824,7.568,7.602,7.624,7.586,7.6601,18.08,57
62752,7844,sequential,1000,7.805152,7.618,2.5967403823850987,7.572,7.6035,7.636,7.588,7.8221,57.15,120
63664,7958,sequential,1000,7.635952,7.614,0.43937167542430994,7.566,7.602,7.626,7.586,7.6601,18.466,49
64592,8074,sequential,1000,7.744234,7.614,2.2213103756632093,7.564,7.602,7.628,7.586,7.678,59.122,63
65536,8192,sequential,1000,7.732032,7.622,1.4850616657658116,7.57,7.606,7.778499999999999,7.588,7.834,52.41,3
66488,8311,sequential,1000,7.74139,7.614,2.1605885676960477,7.566,7.602,7.626,7.586,7.6821,56.942,73
67456,8432,sequential,1000,7.84583,7.614,3.331877623142182,7.564,7.602,7.626,7.588,7.6761,67.158,69
68432,8554,sequential,1000,7.950924,7.638,3.2514221633476494,7.57,7.612,7.816,7.59,7.8461,58.278,7
69432,8679,sequential,1000,7.934054,7.614,3.7117815597676853,7.566,7.602,7.628,7.586,7.7904,58.656,90
70440,8805,sequential,1000,7.845054,7.612,3.3682889804379523,7.558,7.6,7.624,7.586,7.672,67.6,69
71464,8933,sequential,1000,7.879946,7.614,3.584589209502936,7.56,7.6,7.626,7.586,7.6800999999999995,67.068,71
72504,9063,sequential,1000,7.9185799999999995,7.816,2.200012228467243,7.572,7.8,7.83,7.608,7.8641,60.088,173
73560,9195,sequential,1000,7.987976,7.616,3.999145584350341,7.568,7.602,7.636,7.586,7.8682,73.072,168
74632,9329,sequential,1000,7.987164,7.636,3.5211545513479634,7.574,7.61,7.816,7.59,7.846,66.74,8
75712,9464,sequential,1000,7.865838,7.612,3.39046299863324,7.572,7.6015,7.626,7.586,7.674,58.162,62
76816,9602,sequential,1000,7.889378,7.816,1.499084167903343,7.58,7.798,7.834,7.608,7.9501,51.956,221
77936,9742,sequential,1000,7.646428,7.614,0.5405590040438258,7.564,7.602,7.628,7.586,7.664,18.832,45
79064,9883,sequential,1000,7.844848,7.612,3.0786249457269803,7.564,7.602,7.626,7.588,7.678,58.036,70
80216,10027,sequential,1000,7.644526,7.614,0.5174294894964924,7.56,7.602,7.626,7.586,7.6601,17.978,48
81384,10173,sequential,1000,7.803242,7.616,2.5622897928256316,7.568,7.602,7.638,7.586,7.824,57.362,163
82568,10321,sequential,1000,7.8401119999999995,7.818,0.4462318661126011,7.774,7.806,7.83,7.792,7.868,18.658,52
83768,10471,sequential,1000,7.878304,7.614,3.943833462249891,7.572,7.602,7.626,7.586,7.6701,85.356,64
84984,10623,sequential,1000,7.741668,7.612,2.1867374745402244,7.57,7.6,7.626,7.584,7.68,58.274,69
86224,10778,sequential,1000,7.731588,7.614,2.1793955518049555,7.566,7.602,7.628,7.586,7.6661,58.184,50
87480,10935,sequential,1000,7.841674,7.819,0.43637888612564224,7.77,7.808,7.834,7.79,7.872,18.558,49
88752,11094,sequential,1000,7.930638,7.812,2.7251327456543173,7.56,7.786,7.828,7.6,7.8641,64.232,258
90040,11255,sequential,1000,7.765292,7.612,3.105525798511618,7.562,7.6,7.624,7.586,7.662,94.172,57
91352,11419,sequential,1000,7.792946,7.614,2.9057996925006613,7.562,7.602,7.626,7.586,7.674,66.31,67
92680,11585,sequential,1000,7.936746,7.614,4.478211823107145,7.56,7.6,7.628,7.584,7.678,93.232,65
94024,11753,sequential,1000,7.900034,7.792,2.5945860540046914,7.568,7.614,7.8225,7.592,7.88,58.07,17
95392,11924,sequential,1000,7.827832,7.614,3.035343514336726,7.562,7.602,7.63,7.586,7.672,57.548,53
96784,12098,sequential,1000,7.632974,7.614,0.37918268266210525,7.56,7.602,7.626,7.586,7.664,16.302,54
98192,12274,sequential,1000,7.934818,7.614,3.7017448472024364,7.562,7.602,7.628,7.588,7.6821,58.238,69
99616,12452,sequential,1000,7.65121,7.614,0.6339749522971236,7.566,7.602,7.628,7.586,7.664,21.424,47
101064,12633,sequential,1000,7.788026,7.672000000000001,1.5072821656381563,7.562,7.612,7.818,7.59,7.846,51.97,4
102536,12817,sequential,1000,7.643746,7.614,0.5151398145285535,7.568,7.602,7.626,7.586,7.6621,18.444,50
104032,13004,sequential,1000,7.857594,7.802,2.1379938018293365,7.574,7.62,7.8225,7.594,7.8521,57.67,5
105544,13193,sequential,1000,7.757378,7.614,2.397574679015746,7.566,7.602,7.628,7.588,7.682,66.352,71
107080,13385,sequential,1000,7.89325,7.824,0.6466031310696764,7.766,7.8095,7.858,7.79,8.058,22.192,173
108632,13579,sequential,1000,7.902514,7.806,2.0439570357931127,7.574,7.63,7.834,7.596,8.048,50.74,39
110216,13777,sequential,1000,7.904354,7.828,0.6323684183294581,7.774,7.81,7.890499999999999,7.794,8.122,22.39,115
111816,13977,sequential,1000,7.906166,7.826,0.6897176399562844,7.77,7.81,7.9045,7.7939,8.0801,25.016,65
113448,14181,sequential,1000,7.90945,7.826,0.6998329312283266,7.768,7.812,7.8625,7.794,8.1722,25.368,159
115096,14387,sequential,1000,7.919058,7.826,0.8196821698045502,7.768,7.81,7.8765,7.7939,8.120199999999999,23.344,141
116768,14596,sequential,1000,7.947476,7.834,0.923333746069443,7.774,7.814,7.92,7.794,8.1961,25.746,91
118464,14808,sequential,1000,7.896096,7.824,0.7734412363781298,7.766,7.81,7.846,7.794,8.0361,24.022,162
120192,15024,sequential,1000,7.979318,7.844,0.9404635679273273,7.772,7.816,7.996,7.794,8.2784,26.748,54
121936,15242,sequential,1000,7.931348,7.832,0.9953643740526045,7.762,7.814,7.872,7.792,8.112,26.464,133
123712,15464,sequential,1000,7.916444,7.83,0.780849127696397,7.772,7.812,7.876,7.796,8.1021,23.834,133
125512,15689,sequential,1000,7.934676,7.834,0.9405627130825681,7.774,7.814,7.908,7.794,8.116,28.922,81
127336,15917,sequential,1000,7.91965,7.836,0.6646025414020308,7.762,7.814,7.918,7.796,8.1341,23.022,74
129192,16149,sequential,1000,7.940628,7.838,0.734359122593937,7.774,7.816,7.946,7.796,8.2167,24.286,79
