size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
285864,35733,random,1000,24.449288,22.323999999999998,4.42645146970682,19.9,21.471,27.7905,20.8019,30.5685,72.422,10
290024,36253,random,1000,23.113766,22.096,3.910023172111701,20.624,21.741,22.59,21.2639,30.631999999999998,81.456,119
294240,36780,random,1000,22.16452,21.823,2.5820664508793643,20.028,21.403,22.352,20.849700000000002,23.5722,65.69,37
298520,37315,random,1000,23.968316,23.326,2.9757279420217384,21.718,22.868000000000002,23.908,22.3719,28.126799999999996,65.688,80
302864,37858,random,1000,22.36297,21.99,2.6759792705019514,20.356,21.5855,22.482,21.139400000000002,23.7623,71.27,49
307272,38409,random,1000,24.118678,23.822,2.3719177663245845,22.102,23.3945,24.385,22.8216,25.437199999999997,69.146,33
311736,38967,random,1000,23.094046,22.494,2.6876013847085076,20.81,22.0635,23.112,21.5518,26.8654,63.332,75
316272,39534,random,1000,24.765154,24.476,2.5436043220656845,22.868,24.04,24.9565,23.5317,26.0941,81.014,39
320872,40109,random,1000,23.312438,23.036,2.2503558958115524,21.282,22.626,23.518,22.099800000000002,24.6543,64.456,42
325544,40693,random,1000,24.413094,24.027,2.3433053781484094,22.06,23.637500000000003,24.5705,23.0169,26.1914,58.642,63
330280,41285,random,1000,23.316058,23.012,2.216543860003523,21.274,22.572,23.560499999999998,21.988,24.7959,54.024,41
335080,41885,random,1000,25.202034,24.86,2.0388026915960404,23.424,24.4755,25.3365,24.009600000000002,26.7643,49.744,55
339952,42494,random,1000,26.321228,24.493000000000002,4.231563365534366,22.262,23.6455,29.078,22.9439,31.8722,74.844,11
344896,43112,random,1000,24.741428,24.43,2.6698208119617286,22.662,24.0175,24.946,23.469099999999997,26.078,83.272,37
349920,43740,random,1000,23.94315,23.467,2.216131366081833,21.838,23.0435,24.078,22.532799999999998,27.150299999999998,52.806,71
355008,44376,random,1000,25.370658,25.097,1.9959474184289356,23.408,24.6395,25.668,24.055600000000002,26.874499999999998,58.604,38
360168,45021,random,1000,24.538562,24.254,1.9116824825451715,22.514,23.8615,24.758499999999998,23.3038,26.2558,51.686,57
365408,45676,random,1000,25.87066,25.579,2.707999447822951,23.658,25.032,26.0965,24.4636,27.462699999999998,84.208,42
370728,46341,random,1000,24.99982,24.68,1.9299708233491455,23.424,24.365,25.072,23.9552,26.1547,46.948,52
376120,47015,random,1000,25.489012,25.346,1.2586346479550898,24.194,25.073500000000003,25.653,24.7099,26.2109,43.854,24
381584,47698,random,1000,25.431916,24.71,2.6223022812403225,23.56,24.419,25.054,23.994,32.056999999999995,53.408,120
387136,48392,random,1000,25.64115,25.484,1.4460249533343696,24.19,25.2,25.7865,24.8398,26.3467,50.186,34
392768,49096,random,1000,25.77751,25.490000000000002,2.0449332830271096,24.028,25.1995,25.8505,24.8334,26.67,68.132,46
398480,49810,random,1000,26.114384,25.576,4.520801997792786,24.372,25.2765,26.0005,24.8419,26.6274,87.386,31
404280,50535,random,1000,25.642458,25.342,3.393715409771202,23.932,24.9875,25.7345,24.5479,26.4625,103.686,24
410160,51270,random,1000,27.17769,25.674999999999997,7.950560746770512,24.238,25.336,26.0205,24.9155,34.550799999999995,112.906,107
416128,52016,random,1000,26.18462,25.855,4.192885584072277,24.55,25.554,26.122,25.110999999999997,26.6483,104.458,30
422176,52772,random,1000,27.053884,26.838,3.0632453879587986,25.546,26.546,27.092,26.1596,27.682,104.922,32
428320,53540,random,1000,29.111614,26.247999999999998,9.229929361540261,24.824,25.92,26.932,25.4337,37.4779,130.554,209
434544,54318,random,1000,27.254798,26.744,5.154305133828284,25.438,26.46,27.0525,26.0755,27.656599999999997,106.026,36
440872,55109,random,1000,27.354538,26.974,4.175700317275618,25.8,26.689500000000002,27.235,26.2775,27.738,102.98,40
447280,55910,random,1000,27.761466,27.108,4.870264499916113,26.03,26.86,27.458,26.5139,28.388499999999997,104.644,53
453784,56723,random,1000,28.434112,27.874000000000002,4.736065070055922,26.602,27.608,28.182499999999997,27.2579,29.2044,108.214,59
460384,57548,random,1000,28.258572,27.603,4.757358464145032,26.488,27.338,27.9245,26.9978,29.149099999999994,108.0,64
467080,58385,random,1000,29.150238,28.342,5.944277262336231,26.85,28.03,28.615000000000002,27.5809,30.0961,107.674,80
473880,59235,random,1000,28.51448,28.048,4.424860303139784,26.98,27.7705,28.3525,27.3799,29.090999999999998,108.11,43
480768,60096,random,1000,29.261682,28.833,4.584627264023328,27.762,28.567500000000003,29.0965,28.2297,29.6466,108.914,35
487760,60970,random,1000,29.136866,28.773,4.226883164144394,27.298,28.4935,29.048,28.1419,29.622,108.796,36
494856,61857,random,1000,29.615594,28.965,5.305160597770074,27.93,28.6755,29.29,28.3274,30.124799999999997,109.628,49
502056,62757,random,1000,29.785314,29.042,5.3197036289725865,27.64,28.741,29.310499999999998,28.3579,30.658799999999996,90.702,61
509360,63670,random,1000,29.669162,29.17,5.158447000911924,27.868,28.864,29.482,28.5059,30.0021,108.87,30
516768,64596,random,1000,30.075862,29.698999999999998,4.068713735865479,28.504,29.375500000000002,30.0,28.9414,30.5042,108.132,26
524288,65536,random,1000,30.15964,29.714,4.320681894612751,28.504,29.444,30.014,29.035700000000002,30.8862,108.986,53
531912,66489,random,1000,30.61894,30.19,4.5476300605444555,28.97,29.914,30.4525,29.544,31.039099999999998,110.83,32
539648,67456,random,1000,30.277886,30.128,1.2438467758553726,29.03,29.898,30.412,29.5839,30.886599999999998,46.346,34
547496,68437,random,1000,31.3118,30.74,5.195365589408277,29.412,30.4615,31.024,30.1,31.624299999999998,109.868,44
555464,69433,random,1000,31.793826,30.652,6.077277334590345,28.956,30.308,31.026,29.8139,37.37669999999999,109.98,115
563536,70442,random,1000,31.56307,31.004,5.28722841225754,29.774,30.741500000000002,31.264,30.3518,31.746199999999998,109.286,36
571736,71467,random,1000,31.448886,31.156,3.2337032912714765,29.97,30.86,31.4465,30.483900000000002,32.0383,110.658,33
580056,72507,random,1000,31.821462,31.216,5.210833618295019,30.128,30.928,31.5625,30.5579,32.4275,111.102,46
588488,73561,random,1000,31.813682,31.403,4.5544569816031055,30.122,31.108,31.692,30.684,32.1905,111.134,34
597048,74631,random,1000,32.03528,31.62,4.374870173460538,30.368,31.35,31.8765,30.9219,32.48759999999999,112.084,43
605736,75717,random,1000,32.137264,31.768,4.1677903285226,30.304,31.4715,32.112,30.983900000000002,32.5804,111.794,30
614544,76818,random,1000,32.507564,31.957,5.443148140514236,30.782,31.695500000000003,32.2305,31.2976,32.674,111.294,31
623480,77935,random,1000,32.319956,32.212,1.203611634635953,31.084,31.8995,32.4945,31.502,33.0,48.098,25
632552,79069,random,1000,32.587576,32.311,3.1184033805567664,31.286,32.0355,32.5985,31.68,33.12,110.394,30
641752,80219,random,1000,32.9956,32.555,4.4991312314532275,31.328,32.23,32.85,31.8798,33.520900000000005,112.714,34
651088,81386,random,1000,33.045052,32.695,4.059403972741554,31.484,32.424,32.920500000000004,32.0779,33.520900000000005,112.08,38
660560,82570,random,1000,33.605708,32.952,5.610890034362972,31.792,32.688,33.25,32.304,34.0621,124.064,49
670168,83771,random,1000,33.996724,33.055,6.41991675140098,31.426,32.796,33.366,32.3837,34.1594,111.63,55
679912,84989,random,1000,33.668622,33.2,4.927495348706839,31.968,32.9255,33.447,32.559400000000004,33.9363,111.194,25
689800,86225,random,1000,33.78854,33.376,3.988509747563168,32.216,33.1,33.659,32.6919,34.2105,111.128,33
699840,87480,random,1000,34.396442,33.637,5.291196695181829,31.866,33.358,33.928,32.9817,37.83019999999999,128.918,82
710016,88752,random,1000,34.426104,33.765,5.796095979000157,32.61,33.5035,34.0565,33.1277,34.547799999999995,116.202,34
720344,90043,random,1000,34.355186,33.898,4.041430950731873,32.838,33.6995,34.191,33.356,34.922,106.634,49
730824,91353,random,1000,34.469678,34.063,4.231917367922597,32.684,33.776,34.322,33.4559,34.8341,114.782,30
741448,92681,random,1000,34.769294,34.214,5.427892374872331,32.572,33.956,34.4985,33.5479,34.972,115.402,33
752240,94030,random,1000,34.51631,34.294,2.6446163864976207,33.266,34.044,34.5505,33.6817,35.0661,94.688,30
763176,95397,random,1000,34.747358,34.474999999999994,3.1337730507120916,33.344,34.201499999999996,34.7465,33.81,35.2084,113.488,27
774280,96785,random,1000,34.890146,34.653999999999996,3.0878305381150883,33.43,34.3895,34.956500000000005,33.987899999999996,35.398,113.978,16
785544,98193,random,1000,36.693218,35.05,8.75360558233961,33.784,34.695499999999996,35.5295,34.2119,40.411899999999996,121.058,109
796968,99621,random,1000,39.27519,39.007000000000005,2.5314989826185985,36.802,38.4175,39.596999999999994,37.713699999999996,40.492,68.86,19
808560,101070,random,1000,39.961668,39.582,3.1375698957356515,37.2,38.9855,40.246,38.2455,41.3829,73.76,21
820320,102540,random,1000,39.850078,39.667,3.0370445234394166,35.364,39.183499999999995,40.179,36.742,41.142500000000005,76.836,111
832248,104031,random,1000,36.797498,36.55,2.330991928636255,35.216,36.252,36.861,35.8798,37.4977,77.726,38
844360,105545,random,1000,36.883464,36.564,2.7837058930862657,35.368,36.31,36.893,35.9134,37.4388,99.302,35
856640,107080,random,1000,37.125456,36.852,2.1363500442520125,35.478,36.533,37.1745,36.1118,37.699,67.018,30
869096,108637,random,1000,37.159602,36.962,2.0006147777833405,35.514,36.668,37.2645,36.2439,37.8001,68.72,23
