size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
268435456,33554432,random,1000,322.80172,321.412,5.6961377900576915,315.004,319.901,323.1285,317.98,336.3325,384.04,100
272339936,34042492,random,1000,322.326058,321.019,5.536888364180137,315.16,319.541,322.6365,317.5766,336.1586,386.836,95
276301208,34537651,random,1000,323.304602,321.53099999999995,22.448737471485106,314.104,319.89700000000005,323.084,317.9019,335.707,1014.252,98
280320104,35040013,random,1000,323.64842,322.408,5.177357050235731,315.126,320.951,324.166,318.7314,337.477,351.326,105
284397456,35549682,random,1000,323.294644,321.996,5.684235434052123,316.104,320.5845,323.691,318.4288,336.6241,405.644,98
288534112,36066764,random,1000,325.06353,323.626,5.645816674053189,316.808,322.0895,325.2285,320.1442,339.6642,357.448,111
292730936,36591367,random,1000,325.481504,323.419,7.303875598114794,317.046,322.00300000000004,325.3725,319.964,339.50219999999996,382.398,128
296988808,37123601,random,1000,324.882078,323.46799999999996,5.4166248123969485,316.252,322.1255,325.18850000000003,319.99170000000004,338.5562,352.952,106
301308608,37663576,random,1000,324.455168,323.26300000000003,5.26949812014524,316.928,321.68100000000004,324.811,319.5731,338.4235,352.706,100
305691240,38211405,random,1000,324.365702,323.12300000000005,5.421436082477815,316.23,321.591,324.551,319.601,338.00289999999995,385.576,104
310137624,38767203,random,1000,325.44009,323.515,16.033206290566334,317.446,322.071,325.224,320.1191,338.2028,796.8,104
314648680,39331085,random,1000,324.801872,323.56399999999996,5.278328705332545,317.61,322.0495,325.1965,320.221,338.3772,378.04,97
319225352,39903169,random,1000,325.30105,323.578,16.676338988145677,316.37,322.232,325.0605,320.1039,338.5501,826.804,99
323868592,40483574,random,1000,324.807068,323.733,4.84618623211824,316.806,322.0965,325.3555,320.082,337.8863,344.984,99
328579368,41072421,random,1000,325.880154,324.662,5.089659584586279,317.514,323.27,326.1085,321.1608,339.4461,353.286,104
333358664,41669833,random,1000,325.522692,324.38300000000004,5.012289022231097,316.212,322.8015,325.9945,320.7695,339.0705,352.164,101
338207480,42275935,random,1000,326.82895,325.327,5.7467087940371115,318.496,323.933,326.9895,322.0544,340.55519999999996,370.048,109
343126816,42890852,random,1000,327.099272,325.456,6.091174696493215,319.396,323.961,327.1665,321.88190000000003,342.87829999999997,359.87,109
348117712,43514714,random,1000,326.552118,325.203,5.3036925899947445,318.664,323.829,326.81,321.90790000000004,340.5497,354.968,101
353181200,44147650,random,1000,326.219402,325.041,5.015479837103563,317.952,323.618,326.612,321.4758,339.5049,375.574,102
358318344,44789793,random,1000,327.250774,325.724,6.383177638895355,319.638,324.289,327.4325,322.1873,341.1752,402.542,107
363530200,45441275,random,1000,326.675364,325.399,5.177827047752797,319.352,324.025,326.9505,321.7851,340.714,357.484,100
368817872,46102234,random,1000,327.111324,325.84299999999996,5.08118743846444,319.318,324.48199999999997,327.39050000000003,322.59590000000003,340.4105,366.476,101
374182448,46772806,random,1000,327.191454,325.846,5.603863072847446,319.456,324.4545,327.442,322.5078,340.4126,398.766,103
379625056,47453132,random,1000,328.144542,326.56,6.0240720422490135,321.294,325.2375,328.2665,323.0345,342.1313,377.796,107
385146832,48143354,random,1000,328.095034,326.64099999999996,5.529839125290681,320.116,325.3565,328.2565,323.2634,342.0104,360.112,114
390748920,48843615,random,1000,327.92197,326.582,5.430216504559131,320.808,325.186,328.2,323.1594,341.3743,381.998,103
396432496,49554062,random,1000,339.474108,336.78,9.176224751880973,327.764,334.8405,339.64200000000005,332.357,355.56309999999996,419.706,142
402198736,50274842,random,1000,336.799612,334.97299999999996,7.208286693418244,326.53,332.9955,337.241,330.54139999999995,352.32289999999995,404.752,119
408048856,51006107,random,1000,324.866152,322.082,10.606411764372124,313.062,320.1155,324.336,316.6947,340.96020000000004,415.128,146
413984064,51748008,random,1000,334.621724,331.956,9.234945194020405,322.912,329.70550000000003,335.1535,327.2715,352.8608,383.416,120
420005600,52500700,random,1000,323.957748,322.37800000000004,6.128078457238784,316.356,320.9495,324.0685,319.0455,337.2487,376.71,113
426114720,53264340,random,1000,337.035646,335.68100000000004,6.0643328638662135,326.622,334.0095,337.3275,331.5188,352.2147,413.944,105
432312704,54039088,random,1000,337.337142,335.72299999999996,6.910384875458311,327.562,334.11699999999996,337.48449999999997,331.9852,352.253,427.458,107
438600840,54825105,random,1000,334.54635,333.153,5.636213054444899,325.456,331.55,334.967,329.8146,348.8365,393.174,102
444980432,55622554,random,1000,336.922912,334.094,9.529269607451955,327.962,332.364,336.40250000000003,330.1852,356.96999999999997,412.468,131
451452824,56431603,random,1000,333.80231200000003,332.36199999999997,5.7025781703054665,323.534,330.7815,334.06100000000004,328.5994,348.7188,381.32,109
458019352,57252419,random,1000,334.875578,332.978,10.188160595624622,326.0,331.637,334.892,329.2806,349.3932,593.698,112
464681400,58085175,random,1000,335.147388,333.806,5.578882155374816,326.108,332.077,335.68,330.02750000000003,349.80060000000003,369.056,104
471440344,58930043,random,1000,335.504022,332.24699999999996,10.707514359704557,325.782,330.5965,334.44100000000003,328.6047,353.2306,412.654,148
478297600,59787200,random,1000,334.20643,332.211,7.564545421804177,324.256,330.679,334.1805,328.66159999999996,349.4401,414.66,119
485254600,60656825,random,1000,333.82542,332.419,5.823513334333077,324.648,330.916,334.074,328.8838,348.4783,398.51,103
492312792,61539099,random,1000,333.785032,332.283,6.003808660959593,325.796,330.832,334.015,328.8258,347.9797,403.478,102
