stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,16384,524288,4096,sequential,1000,8.452552,8.368,2.125025998615262,8.136,8.314,8.414,8.2399,8.486,72.402,25
33,15887,524288,4096,sequential,1000,9.61795,9.352,3.515226453376584,9.078,9.294,9.406,9.214,9.5001,68.762,24
34,15420,524288,4096,sequential,1000,9.423126,9.344,1.4980027491164227,9.108,9.294,9.404,9.216,9.492,50.158,9
35,14979,524288,4096,sequential,1000,9.974508,9.558,4.8440036880317985,9.284,9.49,9.624,9.396,9.734,107.708,28
36,14563,524288,4096,sequential,1000,9.797662,9.376,4.59608523607355,9.098,9.318,9.436,9.222,9.5641,77.376,43
37,14169,524288,4096,sequential,1000,9.958834,9.798,2.9518706422763064,9.458,9.738,9.858,9.648,9.958,88.58,22
38,13797,524288,4096,sequential,1000,9.942456,9.79,2.5650676708851603,9.522,9.732,9.852,9.6419,9.9561,69.526,18
39,13443,524288,4096,sequential,1000,10.024068,9.99,0.6451064390421891,9.644,9.9255,10.054,9.8279,10.1461,22.894,9
40,13107,524288,4096,sequential,1000,9.393342,9.378,0.44662816722163395,9.076,9.316,9.432500000000001,9.2239,9.516,19.17,12
41,12787,524288,4096,sequential,1000,10.245024,10.214,0.5753621198801613,9.936,10.1535,10.278,10.058,10.376,21.646,8
42,12483,524288,4096,sequential,1000,10.246322,10.216,0.5686071740968754,9.83,10.146,10.288,10.0419,10.384,20.768,9
43,12192,524288,4096,sequential,1000,10.466502,10.426,0.6721835751896611,10.114,10.356,10.494,10.252,10.608,24.512,13
44,11915,524288,4096,sequential,1000,10.252428,10.224,0.5972075834362066,9.86,10.15,10.292,10.0399,10.3962,22.044,12
45,11650,524288,4096,sequential,1000,10.677116,10.646,0.59661573636712,10.278,10.57,10.7285,10.4479,10.8321,22.214,6
46,11397,524288,4096,sequential,1000,10.682956,10.668,0.463951912854599,10.338,10.59,10.736,10.475800000000001,10.8601,20.93,9
47,11155,524288,4096,sequential,1000,10.858174,10.828,0.6126764253063163,10.376,10.752,10.912,10.638,11.0221,26.238,5
48,10922,524288,4096,sequential,1000,10.239066,10.208,0.5664335323677355,9.858,10.128,10.286,10.0078,10.414,21.054,12
49,10699,524288,4096,sequential,1000,11.05028,11.022,0.5732130413648933,10.642,10.938,11.104,10.8239,11.218,21.832,9
50,10485,524288,4096,sequential,1000,11.16987,11.049,2.2171792473579837,10.482,10.956,11.134,10.8139,11.2601,61.54,17
51,10280,524288,4096,sequential,1000,11.305096,11.271,0.6489442930479314,10.684,11.17,11.36,11.012,11.502,23.09,23
52,10082,524288,4096,sequential,1000,11.142348,11.118,0.6029860089778394,10.576,11.024,11.204,10.858,11.3361,22.374,22
53,9892,524288,4096,sequential,1000,11.58127,11.558,0.6050234081623821,11.012,11.4475,11.652,11.2819,11.8141,23.024,14
54,9709,524288,4096,sequential,1000,11.631206,11.59,0.6855671286255285,11.05,11.478,11.71,11.306,11.870199999999999,23.472,12
55,9532,524288,4096,sequential,1000,11.873034,11.84,0.705643918831718,11.182,11.72,11.956,11.52,12.104,24.112,14
56,9362,524288,4096,sequential,1000,11.230276,11.212,0.5694221047319443,10.546,11.102,11.318,10.905800000000001,11.4621,21.234,25
57,9198,524288,4096,sequential,1000,12.138722,12.11,0.6504503796696658,11.514,11.993500000000001,12.238,11.776,12.404,24.966,17
58,9039,524288,4096,sequential,1000,12.225458,12.196,0.6004259267632682,11.534,12.0735,12.324,11.858,12.514,23.344,15
59,8886,524288,4096,sequential,1000,12.664516,12.635,0.6791434735029128,11.906,12.506,12.76,12.28,12.9162,24.314,20
60,8738,524288,4096,sequential,1000,12.445222,12.428,0.6472931663158196,11.612,12.282,12.5645,12.0216,12.748099999999999,25.626,15
61,8594,524288,4096,sequential,1000,13.39418,13.37,0.715516056302601,12.54,13.224,13.484,13.0279,13.6601,25.864,16
62,8456,524288,4096,sequential,1000,13.637048,13.61,0.7634994598040794,12.846,13.4755,13.72,13.258,13.888,27.66,14
63,8322,524288,4096,sequential,1000,14.44221,14.334,2.23192765944082,13.694,14.201,14.434,14.0158,14.568,65.712,19
64,8192,524288,4096,sequential,1000,13.67359,13.548,2.2427902621645344,13.142,13.465499999999999,13.612,13.3179,13.704,63.816,26
65,8065,524288,4096,sequential,1000,14.939696,14.906,0.6406823530123656,14.462,14.816,14.99,14.646,15.1481,25.334,24
66,7943,524288,4096,sequential,1000,14.76892,14.728,0.6464249026412541,14.356,14.656,14.804,14.4879,14.944,25.76,43
67,7825,524288,4096,sequential,1000,14.971214,14.906,0.9780807595368473,14.546,14.8235,15.002,14.6719,15.152099999999999,32.16,16
68,7710,524288,4096,sequential,1000,14.842308,14.68,2.4997909456408363,14.116,14.5455,14.81,14.3699,14.9901,74.692,21
