footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4096,128,32,4096,0,sequential,1000,7.818276,7.766,1.1591116977029228,7.732,7.756,7.78,7.742,7.812,41.058,41
4576,143,32,4096,0,sequential,1000,7.842934,7.768,1.8080134192444945,7.73,7.756,7.78,7.742,7.814,61.81,40
5152,161,32,4096,0,sequential,1000,7.80582,7.766,0.7417636853910853,7.73,7.756,7.78,7.742,7.814,26.19,47
5792,181,32,4096,0,sequential,1000,7.81938,7.768,0.8202654222646246,7.732,7.758,7.78,7.744,7.818099999999999,25.456,59
6496,203,32,4096,0,sequential,1000,7.876778,7.766,3.019309960794909,7.73,7.754,7.78,7.744,7.8121,102.45,47
7296,228,32,4096,0,sequential,1000,7.8008239999999995,7.768,0.6250893646013647,7.734,7.758,7.78,7.744,7.816,22.754,55
8192,256,32,4096,0,sequential,1000,7.799808,7.766,0.5564250137547124,7.73,7.756,7.778,7.742,7.814,19.24,57
9184,287,32,4096,0,sequential,1000,7.8089319999999995,7.564,4.446943910768554,7.506,7.552,7.578,7.538,7.6301,132.826,70
10304,322,32,4096,0,sequential,1000,7.588086,7.564,0.4928342461702496,7.526,7.552,7.576,7.54,7.612,19.378,48
11584,362,32,4096,0,sequential,1000,7.594716,7.573,0.43105664729496657,7.528,7.56,7.588,7.542,7.618,17.852,34
12992,406,32,4096,0,sequential,1000,7.595932,7.562,0.5783127674822968,7.526,7.55,7.574,7.538,7.606,19.994,44
14592,456,32,4096,0,sequential,1000,7.592044,7.562,0.6243527772457286,7.526,7.55,7.574,7.538,7.608,23.9,49
16384,512,32,4096,0,sequential,1000,7.592922,7.57,0.44894613769421216,7.526,7.558,7.584,7.542,7.616099999999999,18.104,41
18368,574,32,4096,0,sequential,1000,7.598054,7.564,0.5605369307500931,7.53,7.554,7.576,7.54,7.612,19.522,57
20640,645,32,4096,0,sequential,1000,7.734998,7.63,2.2177718060656693,7.526,7.566,7.652,7.542,7.688,58.54,18
23168,724,32,4096,0,sequential,1000,7.763932,7.656,0.7946542535963416,7.544,7.642,7.678,7.6239,8.108,28.098,172
25984,812,32,4096,0,sequential,1000,7.666856,7.642,0.5142394904298166,7.586,7.628,7.656,7.61,7.69,20.406,38
29184,912,32,4096,0,sequential,1000,7.672754,7.634,0.5576449366392197,7.55,7.618,7.654,7.588,7.728,18.89,120
32768,1024,32,4096,0,sequential,1000,7.851616,7.828,0.47788862099664825,7.642,7.8,7.856,7.7439,7.926,19.312,47
36768,1149,32,4096,0,sequential,1000,7.9843020000000005,7.9510000000000005,0.7672059317665223,7.776,7.9115,7.988,7.858,8.0482,29.488,20
41280,1290,32,4096,0,sequential,1000,7.974426,7.95,0.4907077588836645,7.78,7.914,7.9885,7.862,8.05,19.414,13
46336,1448,32,4096,0,sequential,1000,8.051036,8.02,0.5640486979309833,7.83,7.976,8.06,7.924,8.12,19.41,13
52000,1625,32,4096,0,sequential,1000,8.079166,8.046,0.6757900210839137,7.856,7.994,8.094,7.928,8.1601,22.402,4
58368,1824,32,4096,0,sequential,1000,8.049116,8.026,0.48612175110860956,7.838,7.982,8.076,7.916,8.142199999999999,20.044,10
65536,2048,32,4096,0,sequential,1000,8.039434,8.018,0.46401334466589217,7.846,7.972,8.0645,7.91,8.136,19.25,7
73536,2298,32,4096,0,sequential,1000,8.024814,8.004,0.4488058467668309,7.804,7.958,8.05,7.894,8.1221,18.506,11
82560,2580,32,4096,0,sequential,1000,8.026992,8.004,0.45538162936636384,7.81,7.958,8.0545,7.894,8.126,18.482,8
92672,2896,32,4096,0,sequential,1000,8.054792,8.016,0.5566132508726747,7.856,7.962,8.0765,7.9,8.1741,19.428,9
104032,3251,32,4096,0,sequential,1000,8.04394,8.008,0.5586228924202229,7.786,7.9615,8.064,7.908,8.138,19.5,8
116768,3649,32,4096,0,sequential,1000,8.039082,8.004,0.5539767752745087,7.83,7.954,8.058,7.8979,8.1381,19.652,13
131072,4096,32,4096,0,sequential,1000,8.011038,7.986,0.5128421098014335,7.784,7.946,8.026,7.894,8.0981,20.484,18
