footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4032,56,72,4096,24,random,1000,7.806116,7.768,0.7464955151225613,7.73,7.758,7.78,7.742,7.822,27.778,57
4536,63,72,4096,24,random,1000,7.794932,7.766,0.5174592693840467,7.73,7.756,7.778,7.742,7.8141,19.332,55
5112,71,72,4096,24,random,1000,7.792484,7.768,0.4449623323622138,7.708,7.758,7.78,7.744,7.82,18.244,57
5760,80,72,4096,24,random,1000,7.906554,7.562,4.059857077357844,7.526,7.552,7.578,7.538,7.6381,66.78,72
6480,90,72,4096,24,random,1000,7.60025,7.564,0.7447183809783178,7.528,7.552,7.576,7.538,7.6101,27.24,46
7272,101,72,4096,24,random,1000,7.587198,7.564,0.46891842071012874,7.526,7.554,7.576,7.54,7.61,19.324,51
8136,113,72,4096,24,random,1000,7.595446,7.562,0.7155286145796562,7.528,7.552,7.576,7.54,7.608,28.464,43
9144,127,72,4096,24,random,1000,7.594486,7.562,0.5289544409536653,7.53,7.552,7.576,7.538,7.608,18.822,46
10296,143,72,4096,24,random,1000,7.733298,7.564,2.6184728249747278,7.53,7.552,7.576,7.54,7.630199999999999,57.762,78
11520,160,72,4096,24,random,1000,7.673248,7.562,2.173964799495485,7.526,7.552,7.574,7.538,7.6121,58.296,64
12960,180,72,4096,24,random,1000,7.94372,7.562,4.266688752945838,7.526,7.55,7.576,7.538,7.6181,71.622,59
14544,202,72,4096,24,random,1000,7.587064,7.562,0.45965999087500664,7.53,7.554,7.576,7.54,7.6101,19.266,52
16344,227,72,4096,24,random,1000,7.688,7.564,2.284668930090336,7.528,7.552,7.576,7.538,7.614,62.116,51
18360,255,72,4096,24,random,1000,7.782904,7.562,3.0880130996625788,7.528,7.552,7.576,7.54,7.622,61.316,66
20592,286,72,4096,24,random,1000,8.086938,7.564,4.775022724781336,7.528,7.552,7.578,7.538,7.770099999999999,58.552,112
23112,321,72,4096,24,random,1000,7.701652,7.564,2.596464202189056,7.528,7.554,7.576,7.54,7.614,75.098,59
25992,361,72,4096,24,random,1000,7.926524,7.706,3.062902806656951,7.656,7.6935,7.72,7.673900000000001,7.7681,58.572,68
29160,405,72,4096,24,random,1000,7.943776,7.724,3.0616778545609775,7.652,7.708,7.74,7.684,7.79,58.024,54
32760,455,72,4096,24,random,1000,8.06113,7.8,3.2988698023827907,7.746,7.788,7.818,7.77,7.8641,59.052,53
36720,510,72,4096,24,random,1000,8.35519,7.914,4.232064014842607,7.816,7.898,7.9305,7.866,8.0122,95.416,86
41256,573,72,4096,24,random,1000,13.89513,13.54,4.1450436110658275,13.006,13.514,13.57,13.474,13.616,90.306,26
46296,643,72,4096,24,random,1000,14.131166,13.887,3.160900424869461,13.496,13.828,13.942,13.722,14.1084,64.658,67
51984,722,72,4096,24,random,1000,14.56413,14.076,4.951212977144595,13.554,14.056,14.1,14.0079,14.1561,92.894,83
58320,810,72,4096,24,random,1000,14.129322,14.082,0.6673583381268773,13.822,14.06,14.104,14.032,14.134,25.87,27
65520,910,72,4096,24,random,1000,14.223798,14.086,2.220498452278806,13.994,14.064,14.11,14.034,14.142,64.816,13
73512,1021,72,4096,24,random,1000,14.14008,14.088,0.701695222860884,13.988,14.068,14.112,14.036,14.144,25.552,15
82512,1146,72,4096,24,random,1000,14.134596,14.094,0.6188010662107359,13.994,14.072,14.116,14.038,14.148,24.968,16
92664,1287,72,4096,24,random,1000,14.674586,14.086,5.08761741639243,13.974,14.064,14.11,14.032,14.275399999999994,65.452,58
103968,1444,72,4096,24,random,1000,14.435496,14.09,3.27206816433522,13.978,14.068,14.114,14.034,14.1641,65.316,44
116712,1621,72,4096,24,random,1000,14.389842,14.088,3.7434061073199527,13.984,14.064,14.11,14.032,14.1461,93.128,26
131040,1820,72,4096,24,random,1000,14.76371,14.094,5.337297138125312,13.994,14.07,14.118,14.04,14.456399999999999,67.976,66
