footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1048576,16384,64,4096,0,random,1000,41.132048,40.366,6.074173858703895,39.166,39.962,40.98,39.5372,41.716,128.782,22
1176960,18390,64,4096,0,random,1000,40.836408,40.691,1.386754747699198,39.848,40.404,40.982,40.1179,41.3303,61.254,13
1321088,20642,64,4096,0,random,1000,41.236806,41.079,1.325957878161542,40.022,40.8135,41.394,40.3698,41.8203,55.488,23
1482880,23170,64,4096,0,random,1000,41.778128,41.624,1.3259931891052659,40.672,41.302,41.962500000000006,40.988,42.3741,57.908,13
1664448,26007,64,4096,0,random,1000,43.04775,42.003,7.541003491522806,41.018,41.659499999999994,42.2765,41.356,42.7841,143.326,45
1868288,29192,64,4096,0,random,1000,42.408024,42.286,1.3124168413234378,41.22,41.9495,42.6125,41.619699999999995,42.91,58.2,13
2097152,32768,64,4096,0,random,1000,42.88733,42.647000000000006,1.5964712498355715,41.822,42.292,42.968500000000006,42.0719,43.3061,60.232,35
2353920,36780,64,4096,0,random,1000,42.997594,42.878,1.258906148946718,41.996,42.555499999999995,43.188500000000005,42.3098,43.45,57.57,13
2642240,41285,64,4096,0,random,1000,43.165454,43.053,1.2269643007354694,42.11,42.716,43.376,42.4639,43.61,58.706,12
2965760,46340,64,4096,0,random,1000,43.396952,43.27,1.238245478716382,42.348,42.924,43.592,42.684,43.9022,58.99,15
3328960,52015,64,4096,0,random,1000,43.584584,43.451,1.2249552834248238,42.718,43.124,43.776,42.923899999999996,44.0442,58.09,14
3736640,58385,64,4096,0,random,1000,45.688424,43.797,5.547717351491155,42.818,43.35,44.1485,43.0537,58.382,85.806,156
4194304,65536,64,4096,0,random,1000,44.025616,43.876,1.3874229618321223,42.958,43.416,44.152,43.1979,45.3951,61.024,58
4707904,73561,64,4096,0,random,1000,61.543674,47.257000000000005,39.901336386933046,43.12,45.38,48.434,43.893299999999996,172.8269,282.788,175
5284480,82570,64,4096,0,random,1000,51.095276,49.963,3.571791059846474,46.536,48.8195,51.8525,47.6793,59.008500000000005,70.552,98
5931584,92681,64,4096,0,random,1000,52.977232,52.573,2.413886645829691,48.456,51.573499999999996,53.9465,50.206199999999995,56.6432,73.838,30
6657984,104031,64,4096,0,random,1000,88.551918,83.092,25.446516742446295,59.862,72.211,91.5545,64.2903,151.4489,199.902,116
7473344,116771,64,4096,0,random,1000,115.165254,114.164,9.614851667085876,93.258,108.8925,121.6555,100.3656,130.1905,164.74,10
8388608,131072,64,4096,0,random,1000,140.569426,138.25400000000002,11.166830864398282,120.294,132.04950000000002,148.726,126.3309,160.42119999999997,231.168,2
9415872,147123,64,4096,0,random,1000,193.768088,190.38400000000001,21.225365840411687,156.822,176.4305,208.9115,165.4469,232.0329,272.948,7
10568960,165140,64,4096,0,random,1000,236.353568,235.313,18.435963837673363,191.478,225.4905,247.777,204.0035,265.2684,318.41,16
11863232,185363,64,4096,0,random,1000,273.759868,270.42,14.59666281874114,237.034,264.5645,281.9765,255.41559999999998,298.54290000000003,381.918,29
13316032,208063,64,4096,0,random,1000,289.364944,287.97,13.975326208554113,261.578,282.1625,293.9995,268.76,314.74319999999994,415.148,87
14946752,233543,64,4096,0,random,1000,300.15712,298.99800000000005,13.681972272697779,269.146,293.656,303.996,280.9556,327.4163,422.158,115
16777216,262144,64,4096,0,random,1000,307.213398,305.986,12.267899406721977,280.266,300.765,310.7455,290.3856,331.5708,422.548,93
18831744,294246,64,4096,0,random,1000,322.024152,317.514,14.741903180467517,295.37,312.95550000000003,328.51750000000004,306.63689999999997,346.92939999999993,463.452,38
21137920,330280,64,4096,0,random,1000,324.437504,321.418,11.773849718217537,301.244,317.16900000000004,328.7255,309.7943,346.5291,413.44,55
23726528,370727,64,4096,0,random,1000,331.940552,328.66999999999996,11.298274695651296,312.996,324.748,336.1975,320.3557,354.0484,427.076,58
26632128,416127,64,4096,0,random,1000,340.14423,336.504,11.908143486891833,322.742,333.05949999999996,342.988,328.8519,364.44649999999996,432.638,90
29893568,467087,64,4096,0,random,1000,346.506448,343.914,10.272516478940595,332.446,340.51,348.1325,337.10790000000003,369.5055,462.53,104
33554432,524288,64,4096,0,random,1000,350.551912,347.538,10.862550393406941,334.584,344.627,351.453,341.38489999999996,374.1134,458.298,112
