stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,2097152,16777216,4096,sequential,1000,8.590278,8.522,0.6011602984399589,8.106,8.496,8.554,8.331900000000001,8.940199999999999,19.348,255
16,1048576,16777216,4096,sequential,1000,8.870265999999999,8.782,0.8219666138952106,8.32,8.74,8.826,8.5319,9.4541,24.276,243
24,699050,16777216,4096,sequential,1000,9.787808,9.684,0.9426397980803298,9.068,9.5755,9.8125,9.3538,10.4005,26.538,106
32,524288,16777216,4096,sequential,1000,10.993082,10.849,1.3204317768644291,9.982,10.6375,11.1665,10.3419,11.6882,38.796,22
40,419430,16777216,4096,sequential,1000,12.75926,12.587,1.0812544768201626,11.486,12.377,13.001,12.11,13.5207,28.95,15
48,349525,16777216,4096,sequential,1000,14.334978,14.198,1.2739474296726572,12.73,13.885,14.622,13.4618,15.274299999999998,34.15,18
56,299593,16777216,4096,sequential,1000,16.273312,16.017,1.7696721533058564,15.024,15.7255,16.522,15.3759,17.2065,50.494,18
64,262144,16777216,4096,sequential,1000,19.207246,19.03,1.2866614648808012,17.77,18.6915,19.478,18.317700000000002,20.2284,34.98,21
72,233016,16777216,4096,sequential,1000,20.355292,20.227,1.2768861597656234,18.65,19.829,20.652,19.4019,21.3402,38.438,16
80,209715,16777216,4096,sequential,1000,21.908362,21.758000000000003,1.3542880761304623,19.866,21.324,22.2625,20.7699,23.1223,38.556,17
88,190650,16777216,4096,sequential,1000,23.461084,23.256999999999998,1.6820679110551398,21.524,22.756,23.7895,22.1736,24.818299999999997,45.588,30
96,174762,16777216,4096,sequential,1000,25.686178,25.488,1.6688840925691726,23.322,24.9155,26.107,24.2899,27.1362,44.364,21
104,161319,16777216,4096,sequential,1000,28.778974,28.606,1.9677069899052864,25.924,27.954,29.2535,27.048,30.392,51.744,21
112,149796,16777216,4096,sequential,1000,33.736264,33.434,2.2688473934574795,29.914,32.6115,34.2795,31.5059,36.979099999999995,56.122,54
120,139810,16777216,4096,sequential,1000,38.394454,38.048,2.9275699697550888,34.318,37.142,38.926500000000004,35.9347,40.8082,67.962,33
128,131072,16777216,4096,sequential,1000,40.821058,40.698,3.800084005793436,29.428,39.4615,41.9035,35.775600000000004,43.869099999999996,78.662,85
136,123361,16777216,4096,sequential,1000,56.269534,56.379000000000005,4.236762628282639,42.382,54.015,58.211999999999996,49.6823,61.8254,83.796,50
144,116508,16777216,4096,sequential,1000,63.67326,64.25999999999999,5.445644331995121,47.372,61.5065,66.542,53.5632,69.7319,127.654,73
152,110376,16777216,4096,sequential,1000,72.365522,72.33,5.770552787297503,55.316,68.5275,76.095,63.0419,80.4797,99.558,17
160,104857,16777216,4096,sequential,1000,75.514594,75.655,5.53691092087544,56.316,72.1975,78.708,67.0633,83.0706,130.426,33
