num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,5.635173,5.619,0.3415480671196269,5.586,5.609,5.627,5.598,5.653099999999999,15.099,50
3,32768,random,1000,5.767684,5.619,3.1679481048999745,5.586,5.611,5.629,5.6,5.66205,96.389,66
4,32768,random,1000,5.769124,5.619,2.828750662914096,5.585,5.611,5.629,5.60095,5.66,80.853,62
5,32768,random,1000,5.951711,5.621,4.768775588564962,5.584,5.611,5.629,5.601,5.667,105.284,66
6,32768,random,1000,6.069637,6.014,2.9573276626263674,5.59,5.63375,6.026,5.609,6.04805,79.987,5
7,32768,random,1000,6.044296,6.03,0.27356013878767776,5.984,6.02,6.04225,6.006,6.071,13.764,43
8,32768,random,1000,6.044291,6.032,0.2468268174181987,5.984,6.02075,6.045,6.006,6.068,12.472,29
9,32768,random,1000,14.598681000000001,14.573,0.4377140148519325,14.458,14.555,14.59,14.539,14.605,25.837,20
10,32768,random,1000,17.463919,17.435,0.38304716363467384,17.393,17.415,17.456,17.399,17.46905,23.873,6
11,32768,random,1000,17.404492,17.375,0.3765305208999254,17.333,17.357,17.396,17.341,17.411,23.775,7
12,32768,random,1000,16.445270999999998,16.224,1.395569803569723,16.179,16.202,16.246,16.185,17.391,57.0,143
13,32768,random,1000,16.380196,16.218,2.998472878514526,16.178,16.199,16.238,16.184,16.254,99.629,11
14,32768,random,1000,16.302354,16.274,0.390821739820492,16.232,16.254,16.292,16.238,16.306,23.181,6
15,32768,random,1000,16.254172,16.226,0.3816104938087853,16.179,16.204,16.246,16.185,16.29005,23.246,16
16,32768,random,1000,16.243304,16.218,0.3786521002146918,16.177,16.199,16.23725,16.183,16.25,23.879,6
17,32768,random,1000,16.245443,16.218,0.3853631319865647,16.179,16.199,16.238,16.184,16.25405,22.841,5
18,32768,random,1000,16.282314,16.256,0.4048686083089105,16.179,16.236,16.282,16.19195,16.307,25.21,7
19,32768,random,1000,16.254615,16.216,0.5211022532414664,16.172,16.198,16.238,16.183,16.254,26.982,6
20,32768,random,1000,16.257389,16.2255,0.43907846403185913,16.175,16.203,16.244,16.184,16.272,24.524,7
21,32768,random,1000,16.250483,16.222,0.39929745073712297,16.176,16.201,16.24,16.185,16.254,24.435,6
22,32768,random,1000,16.264944,16.23,0.5184148887337832,16.183,16.21,16.25,16.196,16.264,29.516,6
23,32768,random,1000,16.299966,16.274,0.39049701248634505,16.234,16.254,16.292250000000003,16.238,16.305,24.063,5
24,32768,random,1000,16.177939,15.916,3.2642615778959763,15.83,15.891,15.948,15.851,16.248,97.895,210
25,32768,random,1000,15.942767,15.9215,0.34643057436354235,15.88,15.903,15.935,15.883,15.95405,23.458,8
26,32768,random,1000,16.041579,15.879,2.6430417865869327,15.825,15.859,15.897,15.844,15.911,81.11,11
27,32768,random,1000,16.139588,15.879,3.771101373050295,15.84,15.861,15.899,15.847,15.914,89.696,14
28,32768,random,1000,16.014828,15.879,2.549699925506162,15.838,15.859,15.898,15.845,15.913,81.551,8
29,32768,random,1000,16.2309,15.909,3.880912602291712,15.841,15.88775,15.931,15.853,15.952,74.261,17
30,32768,random,1000,15.950817,15.918,0.46382785145653643,15.881,15.899,15.939,15.885,15.95605,24.66,6
31,32768,random,1000,16.012175,15.8675,2.7849559360860527,15.827,15.849,15.887,15.832,15.907,89.298,10
32,32768,random,1000,15.908724,15.879,0.39076180802966737,15.841,15.861,15.898,15.845,15.913,23.482,7
33,32768,random,1000,18.270686,17.806,4.915526238522749,17.706,17.78,17.836,17.742,17.879,98.052,27
34,32768,random,1000,18.228528,17.756,5.1372502695067865,17.643,17.726,17.785,17.692,17.835,97.647,26
35,32768,random,1000,17.839914,17.699,2.4883958411929696,17.597,17.671,17.724,17.639,17.762,81.702,14
36,32768,random,1000,18.000458,17.492,6.0237308934008755,17.223,17.43275,17.56825,17.351,17.7261,124.952,33
37,32768,random,1000,17.709034,17.453,3.618413075925969,17.371,17.42875,17.477,17.397949999999998,17.513,84.817,18
38,32768,random,1000,17.453584,17.4105,0.4117455516983071,17.159,17.359,17.4825,17.2897,17.605,25.627,14
39,32768,random,1000,17.537808,17.373,2.6700831074962696,17.067,17.322,17.44825,17.268,17.6191,89.978,46
40,32768,random,1000,17.855581,17.381,5.034200727464431,17.163,17.326,17.443,17.258,17.55005,90.911,22
