num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,5.650322,5.381,3.6490137620666423,5.347,5.373,5.389,5.361,5.4231,70.119,78
3,32768,random,1000,5.787149,5.381,4.54859791383903,5.347,5.373,5.389,5.362,5.43105,78.512,84
4,32768,random,1000,5.713527,5.381,4.312565623097755,5.348,5.373,5.389,5.361,5.431,87.728,85
5,32768,random,1000,5.688315,5.381,3.9033022360715446,5.347,5.373,5.39,5.361,5.427,69.822,72
6,32768,random,1000,5.721208,5.3815,4.027894300156005,5.349,5.373,5.391,5.361,5.496,79.105,115
7,32768,random,1000,5.717409,5.381,4.2775387062073555,5.347,5.373,5.391,5.363,5.427,78.478,66
8,32768,random,1000,5.732695,5.403,3.8700331616987014,5.348,5.389,5.49,5.375,5.516,78.671,9
9,32768,random,1000,13.810173,12.982,6.803389321310984,12.932,12.966,12.998,12.946,13.026,94.81,38
10,32768,random,1000,16.301302,15.921,4.260502259863537,15.591,15.901,15.937,15.885,15.954,83.193,19
11,32768,random,1000,16.064404,15.921,2.555993531235108,15.881,15.902,15.938,15.885,15.951,82.436,10
12,32768,random,1000,17.059652,15.913,7.1419009210196736,15.543,15.889,15.938,15.565,15.964,74.115,238
13,32768,random,1000,15.845556,15.583,3.1052040295170507,15.542,15.56375,15.60225,15.548,15.90305,62.748,63
14,32768,random,1000,16.11416,15.581,4.813813894263945,15.542,15.562,15.601,15.548,15.617,75.448,25
15,32768,random,1000,15.942068,15.528,4.351334437475791,15.486,15.51,15.547,15.496,15.56,77.99,20
16,32768,random,1000,16.950369,15.584,7.741824274545176,15.542,15.564,15.60325,15.548,15.93305,74.349,75
17,32768,random,1000,16.135994,15.551,4.964000962885032,15.49,15.522,15.855,15.498,15.895,85.615,14
18,32768,random,1000,16.032076,15.6035,3.6201938699301563,15.543,15.575,15.911,15.54995,15.947,65.242,12
19,32768,random,1000,16.097946,15.595,4.26160152743809,15.543,15.57,15.889,15.549,15.946,69.97,15
20,32768,random,1000,16.268168,15.5825,5.620204549565341,15.543,15.563,15.601,15.548,15.629,79.885,37
21,32768,random,1000,16.140343,15.583,4.9570451187840385,15.542,15.562,15.603,15.547,15.899,70.772,63
22,32768,random,1000,16.101239,15.607,4.002236923555535,15.543,15.575,15.911,15.55,15.95,70.182,13
23,32768,random,1000,16.086866,15.905,3.329203726342907,15.544,15.6085,15.931,15.55695,15.952,70.897,11
24,32768,random,1000,18.534465,18.389,2.777042707805549,18.26,18.355,18.424,18.306,18.468,95.627,9
25,32768,random,1000,18.446942,18.4225,0.5078626419605,18.099,18.31075,18.51,18.2139,18.619,28.631,6
26,32768,random,1000,18.230881,18.202,0.3835449720496732,18.093,18.17575,18.23,18.137,18.27,25.216,8
27,32768,random,1000,18.143255,18.113500000000002,0.38611414388378357,18.029,18.089,18.143,18.054,18.17505,24.439,7
28,32768,random,1000,18.063467,18.032,0.42962313129758967,17.936,18.004,18.061,17.968,18.103,27.756,8
29,32768,random,1000,17.991285,17.963,0.35547596956747995,17.859,17.938,17.992,17.899,18.03005,24.071,8
30,32768,random,1000,18.015701,17.891,2.269020793858435,17.808,17.865,17.917,17.831,17.952,80.945,8
31,32768,random,1000,18.415939,17.836,5.650327829769071,17.722,17.81,17.863,17.772,17.899,90.919,23
32,32768,random,1000,17.806036,17.772,0.480583754874683,17.679,17.746,17.798,17.716,17.82905,27.082,7
33,32768,random,1000,17.76983,17.728,0.38328525498209126,17.484,17.663,17.818,17.5949,17.948,24.03,10
34,32768,random,1000,17.726138,17.683500000000002,0.41470808981228685,17.457,17.625,17.76125,17.558,17.891,26.873,13
35,32768,random,1000,17.87477,17.615,3.749645455258422,17.529,17.591,17.641,17.556,17.68105,90.365,15
36,32768,random,1000,17.603899,17.571,0.45393014812675575,17.478,17.549,17.595,17.514,17.625,25.94,7
37,32768,random,1000,17.553331,17.522,0.4005572037955535,17.443,17.502,17.544,17.471,17.57705,25.443,10
38,32768,random,1000,17.501159,17.456,0.46222703896954637,17.185,17.413,17.51,17.3409,17.649,25.179,48
39,32768,random,1000,17.585061,17.439,2.7173002343949486,17.349,17.415,17.463,17.381,17.502,91.076,10
40,32768,random,1000,17.445735,17.411,0.42051007776330457,17.219,17.369,17.45,17.304949999999998,17.56005,26.066,48
