num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,8388608,sequential,1000,5.788056,5.498,4.50545474367586,5.465,5.48975,5.506,5.478,5.54605,105.711,76
3,8388608,sequential,1000,5.769849,5.498,4.127418735192083,5.464,5.489,5.508,5.478,5.542,88.018,58
4,8388608,sequential,1000,9.013753,8.486,5.549361694935032,8.453,8.475,8.498,8.46295,8.53605,91.623,53
5,8388608,sequential,1000,10.226497,9.709,5.866948936015108,9.65,9.694,9.72325,9.673,9.841,111.548,78
6,8388608,sequential,1000,10.917303,10.346,5.726374434610118,10.197,10.326,10.445,10.28485,10.48905,93.135,23
7,8388608,sequential,1000,11.114684,10.577,5.703298224780533,10.43,10.534,10.607,10.459,10.64,93.375,33
8,8388608,sequential,1000,10.920788,10.673,3.659364017430907,10.553,10.647,10.702,10.613,10.738,83.034,13
9,8388608,sequential,1000,15.756205,15.221499999999999,5.177630012034127,15.139,15.202,15.24,15.188,15.262,82.299,21
10,8388608,sequential,1000,15.524082,15.289,3.379115776161673,15.246,15.271,15.307,15.254,15.324,81.383,11
11,8388608,sequential,1000,15.821291,15.343499999999999,5.143963659907937,15.299,15.325,15.363,15.30895,15.383,86.837,21
12,8388608,sequential,1000,15.850836,15.387,5.018876371174442,15.347,15.369,15.406,15.351,15.425,93.198,21
13,8388608,sequential,1000,16.131828,15.474,5.743195058841367,15.434,15.454,15.492,15.44,15.5101,83.508,27
14,8388608,sequential,1000,15.589303,15.456,2.4880945515974044,15.415,15.438,15.475,15.42295,15.49,79.515,8
15,8388608,sequential,1000,15.677851,15.532,2.674053751940538,15.492,15.512,15.551,15.496,15.564,87.555,8
16,8388608,sequential,1000,15.538136,15.51,0.3804880453531446,15.468,15.49175,15.528,15.476,15.542,22.049,7
17,8388608,sequential,1000,15.671315,15.53,2.705471435714017,15.487,15.51175,15.549,15.498,15.563,89.139,11
18,8388608,sequential,1000,15.571399,15.547,0.3686547573667389,15.504,15.528,15.566,15.512,15.583,23.986,5
19,8388608,sequential,1000,15.847605,15.615,3.280973124183832,15.575,15.595,15.633,15.581,15.649,81.322,12
20,8388608,sequential,1000,15.615132000000001,15.591,0.3615890252748266,15.54,15.573,15.609,15.555,15.627,23.748,7
21,8388608,sequential,1000,15.733022,15.595,2.6552676750079156,15.547,15.577,15.615,15.558,15.635,88.298,11
22,8388608,sequential,1000,15.763022,15.613,2.740131044979356,15.566,15.593,15.631,15.577,15.649,86.963,11
23,8388608,sequential,1000,16.578775,15.629,7.432234579803319,15.582,15.608,15.647,15.594,15.66605,106.297,33
24,8388608,sequential,1000,15.950217,15.679,4.047309497441366,15.639,15.66,15.698,15.645,15.7141,110.575,12
25,8388608,sequential,1000,16.380624,15.691,6.210698648326477,15.651,15.671,15.71,15.657,15.73705,110.125,33
26,8388608,sequential,1000,16.326828,15.7,5.841900612401856,15.657,15.682,15.72,15.663,15.7441,87.896,29
27,8388608,sequential,1000,16.471963,15.669,7.176630548918251,15.619,15.648,15.688,15.633,15.71,116.748,31
28,8388608,sequential,1000,16.072568,15.715,4.395947217758343,15.675,15.695,15.734,15.681,15.7501,88.078,16
29,8388608,sequential,1000,15.977107,15.72,3.8147417566882846,15.68,15.701,15.738,15.686,15.75205,92.343,13
30,8388608,sequential,1000,16.042552,15.691,4.274582706254332,15.648,15.671,15.709,15.656,15.728,88.871,17
31,8388608,sequential,1000,16.250826,15.699,5.6202387398772675,15.657,15.68,15.718,15.665,15.738,89.438,24
32,8388608,sequential,1000,15.937703,15.706,3.286662854554831,15.664,15.687,15.724,15.672,15.738,84.806,12
33,8388608,sequential,1000,17.584655,17.217,4.451324443047515,17.139,17.19475,17.242,17.163,17.27805,91.877,19
34,8388608,sequential,1000,18.813066,18.768,0.5009756903146961,18.373,18.677,18.855,18.57195,19.02905,27.639,18
35,8388608,sequential,1000,18.663702,18.635,0.4073002635657147,18.494,18.595,18.674,18.54395,18.72305,25.728,6
36,8388608,sequential,1000,18.585945,18.554,0.4247376579172761,18.419,18.522,18.589,18.48,18.635,27.627,9
37,8388608,sequential,1000,18.805691,18.549,3.4523599570137224,18.214,18.47,18.633,18.390849999999997,18.8001,84.768,26
38,8388608,sequential,1000,18.495763,18.454,0.43967715523078044,18.165,18.396,18.526,18.30895,18.6511,27.101,32
39,8388608,sequential,1000,18.667384,18.414,3.5854883965208404,18.137,18.338,18.494,18.2479,18.6332,90.986,21
40,8388608,sequential,1000,18.54751,18.2945,3.627177039403395,18.189,18.26,18.327,18.225,18.373,92.51,14
