size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,213.479662,212.034,12.822273087127604,201.703,209.7995,214.9025,206.2324,219.93104999999997,433.137,25
73182728,9147841,random,1000,216.31107599999999,215.015,14.224218546249755,206.067,212.78325,217.1435,210.2716,221.48805,448.028,25
79806336,9975792,random,1000,221.353202,218.612,18.12582354455555,209.206,216.615,220.90949999999998,213.958,227.45135,447.049,52
87029424,10878678,random,1000,227.018865,224.623,17.869720479369168,214.784,222.3545,226.8255,219.67855,232.3691,473.569,43
94906264,11863283,random,1000,229.0933,226.79149999999998,17.98461531348319,217.006,224.98675,228.718,222.6184,232.7954,484.653,38
103496016,12937002,random,1000,228.772505,228.1895,6.745165947226994,219.51,226.59924999999998,229.973,224.233,233.5953,348.933,33
112863200,14107900,random,1000,236.470322,230.97899999999998,28.634813939428028,222.829,228.9855,233.5675,226.3742,246.5958,574.292,62
123078192,15384774,random,1000,234.268925,232.488,15.294748447210187,224.208,230.8755,234.1465,228.61595000000003,238.7039,491.678,50
134217728,16777216,random,1000,234.863074,233.183,17.114804053342485,222.756,231.6565,234.72475,229.0899,238.9869,547.885,49
146365464,18295683,random,1000,237.739096,235.515,17.61123922402367,229.01,234.16175,237.1225,232.08905000000001,241.43785,493.896,51
159612672,19951584,random,1000,242.866414,240.29649999999998,18.91363604326204,233.071,238.296,242.84050000000002,235.8239,248.8764,505.679,46
174058856,21757357,random,1000,247.176383,241.71550000000002,29.02336224410024,234.633,239.43475,244.62800000000001,237.31635,272.87219999999996,721.01,73
189812528,23726566,random,1000,246.05205,242.315,20.915499644399482,234.655,240.05075,244.83775,237.67335,252.36155,458.897,52
206992032,25874004,random,1000,239.976215,239.1335,7.94709705832447,232.512,237.637,240.7635,235.8092,244.96995,352.538,44
225726408,28215801,random,1000,244.287454,240.553,22.52862528786977,234.438,239.06275,242.2545,237.0204,248.07985,550.222,70
246156392,30769549,random,1000,242.650625,241.127,13.353062132585608,233.655,239.73149999999998,242.7355,237.8868,247.2714,488.301,54
268435456,33554432,random,1000,249.011499,246.95,6.517093348549851,239.461,244.4655,252.879,242.1982,259.9984,309.666,11
