stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,16384,524288,4096,sequential,1000,6.621898,6.113,6.637156381194014,5.959,6.073,6.151,6.018,6.22605,106.363,26
33,15887,524288,4096,sequential,1000,7.697095,6.859,9.51622018969053,6.657,6.815,6.907,6.76,6.9764,160.566,32
34,15420,524288,4096,sequential,1000,7.151142,6.895,3.733516345234896,6.682,6.84875,6.951,6.7879000000000005,7.0622,71.569,33
35,14979,524288,4096,sequential,1000,7.295682,7.052,3.4721343749909788,6.763,7.0035,7.1,6.95,7.17805,69.94,17
36,14563,524288,4096,sequential,1000,7.668508,6.939,5.835984159766804,6.728,6.891,6.984,6.82795,7.0851,79.181,34
37,14169,524288,4096,sequential,1000,7.617995,7.244,4.213822441268918,7.042,7.2,7.293,7.1349,7.3811,78.343,29
38,13797,524288,4096,sequential,1000,7.373066,7.242,2.4525072557453287,7.068,7.193,7.286,7.1309000000000005,7.3551,66.663,9
39,13443,524288,4096,sequential,1000,7.521564,7.397,2.3894421167991355,7.189,7.34575,7.453,7.278,7.534,70.252,11
40,13107,524288,4096,sequential,1000,6.948166,6.9275,0.3383758718860946,6.712,6.887,6.975,6.819,7.04205,13.832,15
41,12787,524288,4096,sequential,1000,7.580723,7.5655,0.30133043042364527,7.313,7.518,7.611,7.45095,7.68,13.798,14
42,12483,524288,4096,sequential,1000,7.572281,7.554,0.4489881138352833,7.295,7.5,7.59925,7.4319500000000005,7.6741,19.726,9
43,12192,524288,4096,sequential,1000,7.720164,7.708,0.29677333693834,7.44,7.652749999999999,7.76,7.571,7.822,13.802,10
44,11915,524288,4096,sequential,1000,7.562984,7.55,0.30159398647300095,7.236,7.49575,7.603,7.415,7.683,13.76,14
45,11650,524288,4096,sequential,1000,7.8837720000000004,7.869,0.2904631523254867,7.621,7.815,7.922,7.73,8.0,13.861,13
46,11397,524288,4096,sequential,1000,7.884627,7.865,0.4274479542875655,7.619,7.804,7.92225,7.729900000000001,8.008,18.815,7
47,11155,524288,4096,sequential,1000,8.198274,7.986,3.2403575966671148,7.694,7.92675,8.046,7.8389500000000005,8.127,71.421,14
48,10922,524288,4096,sequential,1000,7.602262,7.496,2.1681483534663024,7.248,7.44,7.551,7.363,7.637099999999999,62.664,17
49,10699,524288,4096,sequential,1000,8.114669,8.102,0.30793597386957405,7.752,8.04,8.16,7.93795,8.26,14.419,18
50,10485,524288,4096,sequential,1000,8.130873,8.114,0.40065563244113617,7.8,8.04675,8.173,7.9599,8.27005,17.832,11
51,10280,524288,4096,sequential,1000,8.286874,8.276,0.3245036251364948,7.95,8.21,8.335,8.1029,8.423,14.438,15
52,10082,524288,4096,sequential,1000,8.20502,8.196,0.27899894984392687,7.841,8.127,8.262,8.02,8.3611,14.05,9
53,9892,524288,4096,sequential,1000,8.499808,8.49,0.29735891353625077,8.14,8.41,8.562,8.299900000000001,8.66415,13.921,7
54,9709,524288,4096,sequential,1000,8.521378,8.5115,0.30497187240622525,8.131,8.428,8.589,8.30095,8.695,14.423,14
55,9532,524288,4096,sequential,1000,8.695352,8.692,0.24782460558050148,8.264,8.613,8.768,8.464,8.8791,13.575,18
56,9362,524288,4096,sequential,1000,8.254736,8.242,0.31954517900513757,7.877,8.162,8.319,8.03995,8.42805,14.267,12
57,9198,524288,4096,sequential,1000,8.914362,8.907,0.3210145156769009,8.427,8.817,8.9885,8.663,9.113299999999999,15.222,19
58,9039,524288,4096,sequential,1000,8.970672,8.965,0.31699116362102875,8.492,8.868500000000001,9.05225,8.69,9.185,14.806,21
59,8886,524288,4096,sequential,1000,9.262456,9.25,0.3105202842181343,8.782,9.14875,9.349,9.001800000000001,9.47105,15.129,7
