footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4096,32,128,4096,0,sequential,1000,5.758723,5.499499999999999,3.8720139744698097,5.464,5.49,5.508,5.478,5.54,75.905,62
4480,35,128,4096,0,sequential,1000,5.784238,5.498,4.029521176302001,5.466,5.48875,5.508,5.478,5.5491,95.637,73
5120,40,128,4096,0,sequential,1000,5.729084,5.498,3.6619633240012566,5.464,5.49,5.506,5.478,5.541,77.08,78
5760,45,128,4096,0,sequential,1000,5.762634,5.498,3.905067897915647,5.462,5.49,5.506,5.478,5.542,85.048,76
6400,50,128,4096,0,sequential,1000,5.709707,5.5,3.076823010995594,5.463,5.49,5.508,5.478,5.54105,60.621,64
7296,57,128,4096,0,sequential,1000,5.690227,5.498,3.2861533124709905,5.464,5.489,5.506,5.47795,5.54,77.867,61
8192,64,128,4096,0,sequential,1000,5.821977,5.498,4.072825625170324,5.465,5.489,5.506,5.477,5.54305,72.367,71
9088,71,128,4096,0,sequential,1000,5.74587,5.498,3.740541488304297,5.463,5.49,5.508,5.478,5.544,76.431,65
10240,80,128,4096,0,sequential,1000,5.603848,5.498,2.151539346248275,5.464,5.488,5.506,5.478,5.532,59.549,47
11520,90,128,4096,0,sequential,1000,5.508102,5.498,0.21022092767951156,5.463,5.489,5.506,5.47795,5.53105,10.914,53
12928,101,128,4096,0,sequential,1000,5.514803,5.498,0.3549339520267134,5.464,5.49,5.506,5.478,5.533,14.742,56
14592,114,128,4096,0,sequential,1000,5.508503,5.496,0.21786027423578186,5.465,5.488,5.506,5.478,5.534,11.052,53
16384,128,128,4096,0,sequential,1000,5.50882,5.498,0.21818081140757192,5.466,5.488,5.506,5.478,5.5360499999999995,11.045,55
18304,143,128,4096,0,sequential,1000,5.50294,5.498,0.12349619309804538,5.464,5.488,5.506,5.476,5.534,9.365,52
20608,161,128,4096,0,sequential,1000,5.504598,5.498,0.18331870647630086,5.463,5.488,5.506,5.478,5.53405,11.272,55
23168,181,128,4096,0,sequential,1000,5.617595,5.6615,0.234454443039284,5.463,5.50375,5.675,5.484,5.6930499999999995,11.105,2
25984,203,128,4096,0,sequential,1000,5.637456,5.663,0.24364710541267667,5.465,5.54,5.675,5.488,5.69905,11.483,2
29184,228,128,4096,0,sequential,1000,5.657689,5.662,0.2747198887891015,5.464,5.651,5.674,5.494,5.705,12.406,167
32768,256,128,4096,0,sequential,1000,5.697577,5.685,0.24802218262501052,5.635,5.665,5.706,5.651,5.72405,12.01,6
36736,287,128,4096,0,sequential,1000,7.809043,7.615,0.49676335511185,7.421,7.566,7.6945,7.5059000000000005,8.8936,13.184,180
41216,322,128,4096,0,sequential,1000,9.244553,9.228,0.2534431032748723,9.007,9.171,9.297,9.087,9.377,14.696,3
46336,362,128,4096,0,sequential,1000,9.153357,9.139,0.2639406604205256,8.791,9.076,9.20325,8.97895,9.31705,14.609,16
51968,406,128,4096,0,sequential,1000,9.266577999999999,9.258,0.7913211200461107,8.957,9.161,9.306,9.05,9.355,32.871,3
58368,456,128,4096,0,sequential,1000,9.223736,9.208,0.2802903369311489,8.957,9.163,9.25625,9.0949,9.325099999999999,15.732,8
65536,512,128,4096,0,sequential,1000,9.199578,9.193,0.2637614187139621,8.922,9.129,9.246,9.04,9.31705,14.791,6
73472,574,128,4096,0,sequential,1000,9.231897,9.218,0.3550992591866039,8.987,9.167,9.262,9.100950000000001,9.31405,17.998,7
82560,645,128,4096,0,sequential,1000,9.494294,9.2015,7.6247314233907835,8.98,9.15,9.2485,9.07595,9.307,246.132,17
92672,724,128,4096,0,sequential,1000,9.983561,9.2075,6.066554409768834,8.916,9.155,9.256,9.06295,9.365499999999999,73.397,45
103936,812,128,4096,0,sequential,1000,9.181031,9.172,0.2767180205586581,8.912,9.121,9.22,9.02695,9.283,15.024,19
116736,912,128,4096,0,sequential,1000,9.198669,9.19,0.27780727550105905,8.961,9.13775,9.236,9.058,9.293,15.315,14
131072,1024,128,4096,0,sequential,1000,9.716197,9.694,0.4255441951819494,9.337,9.631,9.766,9.517900000000001,9.865,21.218,12
