footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1048576,65536,16,4096,0,random,1000,29.930024,29.841,0.9909165469538932,28.831,29.66075,30.032,29.41,30.321450000000002,50.375,39
1176976,73561,16,4096,0,random,1000,30.544392,30.49,0.618305745024523,29.579,30.308,30.698,30.02085,30.9882,37.673,19
1321120,82570,16,4096,0,random,1000,31.128449,31.073999999999998,0.74799314378017,30.29,30.877,31.254,30.5669,31.56265,45.585,28
1482896,92681,16,4096,0,random,1000,31.664552,31.5815,1.3272921448323776,30.835,31.391,31.7565,31.1106,32.0401,67.746,15
1664496,104031,16,4096,0,random,1000,32.052312,31.9765,0.9966043542423919,31.244,31.76,32.1665,31.5377,32.4231,50.813,12
1868336,116771,16,4096,0,random,1000,31.752549,31.685,0.8923331732548617,30.93,31.503500000000003,31.8615,31.259900000000002,32.096399999999996,52.736,18
2097152,131072,16,4096,0,random,1000,32.083797,32.015,0.6767614408629077,31.346,31.867,32.17925,31.65995,32.40905,42.346,15
2353968,147123,16,4096,0,random,1000,32.372252,32.2975,0.801166878286205,31.611,32.171,32.444500000000005,31.9578,32.67685,50.966,27
2642240,165140,16,4096,0,random,1000,32.630397,32.577,0.5557689776764693,31.923,32.433749999999996,32.7225,32.22,32.966300000000004,39.082,16
2965808,185363,16,4096,0,random,1000,32.866554,32.804,0.79776892666006,32.244,32.665,32.937,32.48,33.1151,51.504,13
3329008,208063,16,4096,0,random,1000,33.081971,33.034,0.5486527754664394,32.443,32.89575,33.173,32.6779,33.391,38.871,14
3736688,233543,16,4096,0,random,1000,33.274469,33.212,0.6777944528832909,32.617,33.07475,33.3455,32.893,33.5652,45.332,15
4194304,262144,16,4096,0,random,1000,33.441714,33.389,0.5327274732588556,32.827,33.26,33.52475,33.0719,33.7441,38.54,22
4707936,294246,16,4096,0,random,1000,34.972354,33.939499999999995,3.6789221525997107,32.907,33.69,34.36825,33.4108,41.500099999999996,95.843,156
5284480,330280,16,4096,0,random,1000,33.971848,33.853,1.3890519832995125,33.02,33.6585,34.064,33.3929,34.5042,72.93,39
5931632,370727,16,4096,0,random,1000,34.170246,33.760999999999996,3.4123024548723,32.962,33.54,34.1395,33.30495,34.989,97.341,46
6658032,416127,16,4096,0,random,1000,35.976076,35.782,1.004450872755746,34.443,35.39075,36.33475,34.94455,37.3487,46.109,30
7473392,467087,16,4096,0,random,1000,38.236491,37.863,3.3091152357635663,35.682,37.3285,38.52225,36.6688,39.948100000000004,96.171,31
8388608,524288,16,4096,0,random,1000,41.778978,40.9225,4.636145696635993,37.883,39.957,42.695,38.9088,45.7499,104.887,26
9415888,588493,16,4096,0,random,1000,44.048005,43.8815,1.5556746686404743,39.894,42.97575,44.8655,41.9169,46.5049,53.756,20
10568976,660561,16,4096,0,random,1000,65.374896,59.1125,17.60036275507679,48.567,53.76075,74.03175,51.1049,87.1923,188.22,26
11863280,741455,16,4096,0,random,1000,74.597659,70.10499999999999,16.420614361305784,57.083,64.71875,79.64750000000001,60.81975,101.4004,211.44,45
13316080,832255,16,4096,0,random,1000,75.07312,74.5795,3.99318080839931,66.557,72.47375,76.79575,69.6877,82.64699999999999,112.617,43
14946800,934175,16,4096,0,random,1000,95.485036,91.864,21.029687422541347,79.322,89.105,94.40625,85.60125,103.15674999999999,352.354,58
16777216,1048576,16,4096,0,random,1000,113.566226,109.62100000000001,13.801343107338882,93.452,102.07575,122.78150000000001,97.84735,141.30784999999997,157.317,1
18831776,1176986,16,4096,0,random,1000,130.382188,125.7935,20.995795743661766,103.935,118.58625,136.219,112.77120000000001,148.91824999999997,278.05,38
21137968,1321123,16,4096,0,random,1000,130.440298,128.65800000000002,7.343989933363018,116.091,125.8685,132.85,122.0471,144.4705,201.256,67
23726560,1482910,16,4096,0,random,1000,147.312082,142.808,20.36720825954219,126.772,139.1905,149.58724999999998,134.72645,159.6177,323.506,35
26632160,1664510,16,4096,0,random,1000,152.13302,151.17149999999998,6.469634979840236,140.746,148.325,154.3875,144.6621,162.76115000000001,255.375,39
29893600,1868350,16,4096,0,random,1000,160.634022,157.869,13.909172017691555,147.007,154.75150000000002,162.75,151.1525,171.542,309.718,30
33554432,2097152,16,4096,0,random,1000,165.301503,164.578,6.351648510015789,153.984,162.43275,167.22650000000002,159.53095,172.52685,284.308,22
