num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,18.776949,18.509,5.075477110804589,18.48,18.502,18.51,18.48,18.539,173.052,335
3,32768,random,1000,33.141521,18.509,458.63193789818195,18.48,18.502,18.51,18.48,18.539,14521.775,376
4,32768,random,1000,18.639816,18.509,1.4188619324399845,18.48,18.502,18.51,18.48,18.539,38.786,342
5,32768,random,1000,18.700488,18.509,2.290884018767306,18.48,18.488,18.531,18.48,18.539,70.481,10
6,32768,random,1000,25.282827,28.912,5.486474403699835,14.668,18.802,28.976,17.068,29.0582,47.57,3
7,32768,random,1000,17.176104,17.092,0.9089151357018477,16.792,17.072,17.124,16.9432,17.172,32.356,87
8,32768,random,1000,17.071084,17.092,0.9496580454812917,16.16,17.072,17.124,16.172,17.172,33.36,130
9,32768,random,1000,21.589808,21.516,0.9954214439055384,20.728,21.504,21.528,21.496,21.54,37.112,41
10,32768,random,1000,25.078708,25.056,1.1002780587390364,23.652,25.052,25.06,23.664,25.06,44.708,73
11,32768,random,1000,25.069504,25.056,1.036130946030144,23.78,25.056,25.06,24.42,25.06,41.416,119
12,32768,random,1000,25.14142,25.056,1.073809470240591,23.88,25.052,25.06,25.052,25.06,43.984,41
13,32768,random,1000,25.1655,25.056,1.0245325221235728,25.052,25.056,25.06,25.052,25.06,41.504,19
14,32768,random,1000,25.050728,25.056,1.0159144058906222,23.544,25.052,25.06,23.564,25.06,38.876,87
15,32768,random,1000,25.068216,25.056,0.990163845929443,24.116,25.052,25.06,24.584,25.06,40.72,155
16,32768,random,1000,25.140984,25.056,1.0209454997488638,24.168,25.056,25.06,25.052,25.06,39.756,53
17,32768,random,1000,25.162268,25.056,1.0102897829937814,24.228,25.056,25.06,25.052,25.06,37.556,24
18,32768,random,1000,25.10096,25.056,0.9781505410113931,24.268,25.052,25.06,24.288,25.06,39.74,87
19,32768,random,1000,25.119632,25.056,0.9792167860540841,24.308,25.056,25.06,25.052,25.06,41.844,70
20,32768,random,1000,25.140344,25.056,0.9972310702497547,24.352,25.052,25.06,25.052,25.06,41.852,56
21,32768,random,1000,25.164656,25.056,1.005530389908246,25.052,25.056,25.06,25.052,25.06,39.92,19
22,32768,random,1000,25.136212,25.056,1.2733708479356562,24.408,25.052,25.06,24.4318,25.06,52.46,77
23,32768,random,1000,25.138236,25.056,0.9772801178437697,24.436,25.056,25.06,25.052,25.06,41.532,60
24,32768,random,1000,25.158172,25.056,1.00371142418478,24.468,25.056,25.06,25.052,25.06,42.084,28
25,32768,random,1000,25.090636,25.056,0.9673200792083455,24.496,25.052,25.06,24.496,25.06,40.148,171
26,32768,random,1000,25.130068,25.056,0.9641828934533262,24.508,25.052,25.06,25.052,25.06,40.728,60
27,32768,random,1000,25.13036,25.056,1.0307689804660845,24.276,25.052,25.06,24.796,25.06,39.924,120
28,32768,random,1000,25.11494,25.056,0.9682904682123185,24.548,25.052,25.06,24.56,25.06,39.28,101
29,32768,random,1000,25.127092,25.056,0.9548517735467875,24.564,25.052,25.06,24.584,25.06,40.356,76
30,32768,random,1000,25.15012,25.056,0.9941476243994647,24.576,25.052,25.06,25.052,25.06,40.776,44
31,32768,random,1000,25.104612,25.056,0.8438822493136745,24.592,25.052,25.06,24.608,25.06,35.42,104
32,32768,random,1000,25.128276,25.056,0.9482959057957325,24.608,25.052,25.06,24.628,25.06,40.452,76
33,32768,random,1000,25.145796,25.056,0.9766882933702064,24.408,25.056,25.06,25.052,25.06,40.772,51
34,32768,random,1000,22.122025,22.052,0.8933861030395,21.678,22.042,22.055,21.869,22.058,35.759,116
35,32768,random,1000,22.10269,22.052,0.8684552944731804,21.684,22.042,22.055,21.703,22.058,36.177,100
36,32768,random,1000,22.076439,22.045,0.853566597410662,21.52,22.039,22.055,21.542,22.058,36.563,185
37,32768,random,1000,22.048246,22.045,0.8801040157632294,21.529,21.891,22.055,21.554,22.058,35.136,107
38,32768,random,1000,22.041771,21.897,0.8847546107708512,21.705,21.891,22.052,21.872,22.058,34.666,10
39,32768,random,1000,22.085546,22.045,0.8836594717117822,21.714,22.039,22.055,21.736,22.058,36.089,233
40,32768,random,1000,22.110557,22.045,0.8949098526641639,21.742,22.039,22.055,21.897,22.058,33.343,218
