num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,9.089822999999999,8.885,5.670645382028374,8.86,8.879,8.891,8.863,8.897,187.543,52
3,32768,sequential,1000,8.940526,8.885,1.0388629243069074,8.863,8.882,8.885,8.872,8.897,37.485,356
4,32768,sequential,1000,8.923074999999999,8.885,0.6272806599931178,8.86,8.882,8.885,8.872,8.897,22.322,464
5,32768,sequential,1000,31.960186999999998,8.885,728.6173923306942,8.86,8.882,8.888,8.873,8.897,23049.816,92
6,32768,sequential,1000,8.93482,8.885,0.8042922476436158,8.86,8.876,8.894,8.87185,8.907,25.317,8
7,32768,sequential,1000,8.927874,8.885,0.7124955312182709,8.86,8.882,8.885,8.869,8.897,22.916,432
8,32768,sequential,1000,8.941811,8.903,0.7651541859045189,8.86,8.885,8.903,8.87295,8.919,27.732,20
9,32768,sequential,1000,18.934402,18.872999999999998,0.8354267941144361,18.583,18.817,18.905,18.734849999999998,18.954,31.768,43
10,32768,sequential,1000,22.136425,22.052,0.9017736457022256,22.039,22.042,22.055,22.039,22.058,38.225,10
11,32768,sequential,1000,22.07904,21.997,0.8488550814770147,21.975,21.994,21.997,21.99065,22.0,35.434,83
12,32768,sequential,1000,22.069887,21.982,0.8971126212947215,21.963,21.979,21.994,21.966,22.0,37.6,10
13,32768,sequential,1000,22.130798000000002,22.052,0.8297138532495852,22.039,22.042,22.055,22.039,22.058,35.607,11
14,32768,sequential,1000,22.135903,22.052,0.8858708318494981,22.039,22.042,22.055,22.039,22.058,37.06,11
15,32768,sequential,1000,22.135047,22.052,0.8848840096314893,22.039,22.042,22.055,22.039,22.058,37.512,10
16,32768,sequential,1000,22.140394,22.052,0.9143529778658415,22.039,22.042,22.055,22.039,22.058,35.864,11
17,32768,sequential,1000,22.133589,22.052,0.8762691342702164,22.039,22.042,22.055,22.039,22.058,38.016,10
18,32768,sequential,1000,22.068229,21.982,0.8410570453378966,21.963,21.979,21.994,21.966,22.0,33.049,11
19,32768,sequential,1000,22.145221,22.052,0.9251427680635569,22.039,22.042,22.055,22.039,22.058,35.561,12
20,32768,sequential,1000,22.134051,22.052,0.8810798045699498,22.039,22.042,22.055,22.039,22.058,38.016,11
21,32768,sequential,1000,22.137461000000002,22.052,0.9023128442773869,22.039,22.042,22.055,22.039,22.058,36.942,10
22,32768,sequential,1000,22.133511000000002,22.052,0.8536668653497076,22.039,22.042,22.055,22.039,22.058,35.169,11
23,32768,sequential,1000,22.134572000000002,22.052,0.8759154689379133,22.039,22.042,22.055,22.039,22.058,36.532,11
24,32768,sequential,1000,22.086917,21.997,0.8958783433687395,21.978,21.994,21.997,21.984,22.0,35.762,89
25,32768,sequential,1000,22.132031,22.052,0.8457693609080732,22.039,22.042,22.055,22.039,22.058,36.229,11
26,32768,sequential,1000,22.133015,22.052,0.862942900326681,22.039,22.042,22.055,22.039,22.058,36.905,11
27,32768,sequential,1000,22.074412,21.991,0.8964057661313617,21.963,21.979,21.997,21.966,22.0,36.727,11
28,32768,sequential,1000,22.086886,21.994,1.1084738107836347,21.963,21.979,21.997,21.966,22.0,45.705,11
29,32768,sequential,1000,22.141337,22.052,0.8953551341491526,22.039,22.042,22.055,22.039,22.058,36.253,11
30,32768,sequential,1000,22.075671,21.991,0.9068290244796087,21.963,21.979,21.997,21.966,22.0,36.602,11
31,32768,sequential,1000,22.126961,22.052,0.7772494259561399,22.039,22.042,22.055,22.039,22.058,32.439,12
32,32768,sequential,1000,22.135916,22.052,0.8931749517527002,22.039,22.042,22.055,22.039,22.058,36.988,11
33,32768,sequential,1000,22.146059,22.052,0.9597866230995725,22.039,22.042,22.055,22.039,22.058,38.459,12
34,32768,sequential,1000,22.1276,22.052,0.8579956856515052,22.039,22.042,22.055,22.039,22.058,37.424,10
35,32768,sequential,1000,22.081928,21.997,0.8910342624573272,21.978,21.994,21.997,21.984,22.0,37.148,81
36,32768,sequential,1000,22.13775,22.052,0.8936029295474,22.039,22.042,22.055,22.039,22.058,35.937,12
37,32768,sequential,1000,22.133788,22.052,0.8665253332760728,22.039,22.042,22.055,22.039,22.058,36.068,11
38,32768,sequential,1000,22.134051,22.052,0.8779827219592985,22.039,22.042,22.055,22.039,22.058,37.791,13
39,32768,sequential,1000,22.076255,21.994,0.9023670773678067,21.963,21.982,21.997,21.969,22.0,37.542,15
40,32768,sequential,1000,22.081496,21.997,0.8910597148336353,21.978,21.994,21.997,21.984,22.0,37.206,79
