num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,random,1000,8.941243,8.885,0.8493095210896989,8.86,8.882,8.885,8.86,8.897,26.012,369
3,262144,random,1000,16.10027,8.885,225.04288086499673,8.86,8.882,8.891,8.873,8.89715,7125.236,66
4,262144,random,1000,8.95668,8.906,0.8629890356636495,8.863,8.885,8.906,8.882,8.919,24.74,7
5,262144,random,1000,15.964152,15.898,0.8388590247230814,15.876,15.888,15.901,15.885,15.901,30.296,11
6,262144,random,1000,15.96284,15.898,0.8404222045388151,15.885,15.888,15.901,15.885,15.901,32.745,10
7,262144,random,1000,15.962726,15.898,0.7643316477758799,15.885,15.888,15.901,15.885,15.901,27.799,12
8,262144,random,1000,15.960218,15.898,0.76400100786322,15.882,15.888,15.901,15.885,15.901,26.616,24
9,262144,random,1000,10.889603000000001,10.842,0.7527827490440109,10.457,10.794,10.864,10.781,10.903,25.444,31
10,262144,random,1000,15.124825,15.042,0.7861336339741899,14.993,15.015,15.114,15.002,15.127,29.826,7
11,262144,random,1000,15.138118,15.069,0.7740812980119931,15.005,15.03,15.142,15.017,15.142,30.03,7
12,262144,random,1000,15.109853,15.042,0.778779189769101,14.975,15.014,15.075,14.99,15.1,27.183,7
13,262144,random,1000,17.81942,17.737,0.9834451301033139,17.709,17.721,17.755,17.712,17.767,39.436,8
14,262144,random,1000,18.123234,18.052,0.8961352395769355,18.012,18.03325,18.061,18.021,18.077,33.643,9
15,262144,random,1000,18.398725,18.313,0.9367353428143286,18.282,18.298,18.325,18.295,18.338,35.564,9
16,262144,random,1000,34.19625,34.1135,1.0184018597036475,33.024,33.944,34.256,33.65785,34.41715,46.573,35
17,262144,random,1000,43.570316,43.423,1.0771380907806625,43.111,43.335,43.508,43.235949999999995,43.64215,53.898,21
18,262144,random,1000,41.465495,41.314499999999995,1.145079751638554,40.868,41.214,41.415,41.09,41.587,57.907,24
19,262144,random,1000,40.056272,39.914,1.1053269460542767,39.451,39.797,40.028,39.667,40.21,53.665,19
20,262144,random,1000,39.369618,39.205,1.1608726413200396,38.89,39.13,39.309,39.039,39.476,55.707,21
21,262144,random,1000,39.775205,39.628,1.0500222043388436,39.257,39.567,39.706,39.46695,39.858149999999995,49.699,28
22,262144,random,1000,39.625368,39.484,1.102409374508855,39.175,39.399,39.569250000000004,39.284,39.73415,55.704,25
23,262144,random,1000,38.999008,38.854,1.0616085666029098,38.559,38.781,38.939,38.675,39.08715,52.269,22
24,262144,random,1000,38.539489,38.4105,1.0524850871806866,38.083,38.3065,38.49825,38.19485,38.632,50.716,19
25,262144,random,1000,43.949633999999996,43.79,1.190653140484224,43.532,43.721,43.8525,43.620850000000004,43.973,60.547,27
26,262144,random,1000,43.243557,43.096,1.0725977226461119,42.713,43.011,43.196749999999994,42.862,43.372,53.264,23
27,262144,random,1000,42.745401,42.298,3.2595334089779238,41.869,42.21875,42.46425,41.97585,42.9515,90.583,60
28,262144,random,1000,41.65838,41.480000000000004,1.0973878501667917,41.193,41.399,41.603,41.321,41.84215,53.407,33
29,262144,random,1000,42.013389,41.8215,1.2268775555104166,41.566,41.743,41.928,41.6539,42.203,58.131,47
30,262144,random,1000,41.007548,40.802,1.1955111578837836,40.462,40.693,41.051500000000004,40.571,41.30205,57.288,21
31,262144,random,1000,40.687552,40.5045,1.1426240970341572,40.292,40.444,40.62,40.368,40.847,55.133,41
32,262144,random,1000,40.210212999999996,39.952,3.253353453026787,39.23,39.87,40.0775,39.53285,40.313,134.825,101
33,262144,random,1000,43.380179,43.2005,1.1603048704333494,42.944,43.122249999999994,43.311,43.022850000000005,43.56615,58.492,37
34,262144,random,1000,42.708985,42.528,1.1738098808629152,42.143,42.44,42.637,42.322,42.920300000000005,57.403,49
35,262144,random,1000,42.338417,42.149,1.2171395243490915,41.872,42.067,42.258,41.985,42.504,57.822,38
36,262144,random,1000,41.574377,41.4055,1.1176808566707979,41.087,41.311749999999996,41.53375,41.208,41.73,52.275,24
37,262144,random,1000,41.740835000000004,41.556,1.138709608876797,41.333,41.493,41.667,41.4259,41.906,55.009,41
38,262144,random,1000,40.838988,40.641,1.5915696132088255,40.307,40.556,40.735,40.435,40.98115,75.501,46
39,262144,random,1000,40.711363999999996,40.538,1.1211956150070832,40.343,40.47624999999999,40.63875,40.4129,40.807050000000004,53.674,27
40,262144,random,1000,40.463993,40.216,2.775299014082729,39.882,40.139250000000004,40.286,40.037,40.444300000000005,105.203,38
