num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,sequential,1000,9.071642,8.885,1.3848827987242105,8.86,8.885,9.019,8.873,9.39815,33.871,102
3,262144,sequential,1000,9.144185,8.885,3.1496148069577026,8.86,8.885,9.0165,8.872,9.40715,99.892,109
4,262144,sequential,1000,14.561108,8.894,172.97571998351142,8.86,8.885,9.031,8.873,9.41675,5478.871,121
5,262144,sequential,1000,42.892772,15.901,844.047694940318,15.882,15.898,16.116,15.885,16.58445,26707.271,91
6,262144,sequential,1000,16.236715,15.901,2.026503059070828,15.882,15.898,16.131,15.888,16.732,45.426,98
7,262144,sequential,1000,16.211603,15.901,1.8607990413968574,15.885,15.898,16.134,15.888,16.638499999999997,40.604,93
8,262144,sequential,1000,16.24648,15.901,2.0648547728188618,15.882,15.898,16.143,15.885,16.769299999999998,49.741,99
9,262144,sequential,1000,11.058311,10.8605,1.582374008818011,10.512,10.8,11.02475,10.672,11.47315,35.428,82
10,262144,sequential,1000,37.903789,37.6445,2.9850271804033457,32.472,36.786249999999995,38.4635,35.4511,39.5898,71.323,26
11,262144,sequential,1000,41.726076,41.272,2.746267599479692,40.526,41.099,41.51625,40.8677,42.34,73.735,76
12,262144,sequential,1000,39.659342,39.128,3.6166514616189978,38.444,38.953,39.375,38.741949999999996,40.24635,112.337,82
13,262144,sequential,1000,40.417583,39.955,2.6781128657382296,39.315,39.794,40.241,39.602850000000004,41.16945,66.989,70
14,262144,sequential,1000,39.084715,38.656,2.6374478168793716,37.306,38.498,38.89975,38.26485,39.797149999999995,64.101,106
15,262144,sequential,1000,38.047953,37.5945,2.6887515526174415,36.881,37.451,37.8355,37.242,38.70305,63.949,90
16,262144,sequential,1000,37.082811,36.62,3.124555837629,36.052,36.456,36.851,36.2587,37.755300000000005,98.32,89
17,262144,sequential,1000,43.944831,43.4615,2.9299291871102415,42.604,43.2765,43.71275,43.014,44.62845,78.387,81
18,262144,sequential,1000,43.700438,43.229,2.8018797608659707,42.428,43.05525,43.451,42.7949,44.4373,78.062,100
19,262144,sequential,1000,43.687905,43.208,2.828430676553178,42.443,43.044,43.454,42.794850000000004,44.255,69.763,79
20,262144,sequential,1000,42.230569,41.718,3.1208340658396927,40.95,41.566,41.976,41.342,42.872350000000004,92.245,90
21,262144,sequential,1000,42.589344,42.131,2.6337639473183994,41.369,41.973,42.37975,41.77595,43.266749999999995,67.902,87
22,262144,sequential,1000,41.652644,41.184,2.741862172217166,40.459,41.014,41.442,40.811,42.325,67.514,84
23,262144,sequential,1000,40.829206,40.3845,2.557982924533744,39.682,40.237,40.647,40.0487,41.5306,65.824,83
24,262144,sequential,1000,40.064298,39.5925,2.794126186904297,38.869,39.43825,39.831,39.215,40.77135,78.423,103
25,262144,sequential,1000,44.581193,44.106,2.7691224398422394,43.06,43.932249999999996,44.3835,43.69395,45.2416,71.232,73
26,262144,sequential,1000,44.39942,43.906,2.789185001496418,43.02,43.73524999999999,44.194,43.487,45.0781,74.533,79
27,262144,sequential,1000,44.339166,43.863,2.811787061803387,43.057,43.685,44.1205,43.44495,45.0105,71.902,74
28,262144,sequential,1000,43.284576,42.808,2.816194457676431,42.046,42.616,43.069,42.385650000000005,43.91215,69.884,77
29,262144,sequential,1000,43.565376,43.073,2.835061438837964,42.377,42.90175,43.342749999999995,42.698,44.18725,71.996,78
30,262144,sequential,1000,42.853701,42.355,2.910863491795324,41.582,42.19425,42.604,41.94585,43.5073,69.15,84
31,262144,sequential,1000,42.197874,41.736,2.72222401019565,41.047,41.573,41.985749999999996,41.3403,42.895500000000006,69.386,85
32,262144,sequential,1000,41.531595,41.0825,2.6582194860114186,40.352,40.914,41.3195,40.692699999999995,42.252300000000005,67.387,86
33,262144,sequential,1000,45.126643,44.643,2.8447339113839063,43.663,44.446,44.898,44.18455,45.86,72.6,77
34,262144,sequential,1000,44.832433,44.313,3.2615716529241174,43.356,44.127250000000004,44.57,43.851,45.456300000000006,98.764,84
35,262144,sequential,1000,44.74195,44.261,2.880232137635206,43.472,44.073,44.51675,43.81185,45.3296,74.849,77
36,262144,sequential,1000,43.893075,43.415,2.768033618561828,42.598,43.241,43.654,42.98285,44.60505,69.966,93
37,262144,sequential,1000,44.056532,43.581,2.7055762953696325,42.838,43.4075,43.87,43.187,44.6738,69.286,70
38,262144,sequential,1000,43.500093,43.035,2.7761526524852522,42.058,42.844,43.28775,42.60385,44.213,72.821,86
39,262144,sequential,1000,42.983853,42.4785,2.860288863344535,41.782,42.301,42.738749999999996,42.07,43.751149999999996,68.777,93
40,262144,sequential,1000,42.464595,41.985,2.8462439814212654,41.266,41.803,42.246,41.565850000000005,43.062149999999995,71.565,71
