size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
42488,5311,sequential,1000,8.606025,7.698,3.803834136567144,7.659,7.683,8.9105,7.677,8.937,56.484,16
43112,5389,sequential,1000,12.506367000000001,7.702,118.22175036963704,7.665,7.686,8.912,7.677,8.9371,3744.925,23
43736,5467,sequential,1000,26.162104,7.689,572.8180818615687,7.665,7.683,7.698,7.674,8.921,18121.967,122
44368,5546,sequential,1000,7.821455,7.69,3.330866184870914,7.662,7.683,7.699,7.677,7.716,112.003,18
45016,5627,sequential,1000,7.791506,7.689,2.311862741015845,7.665,7.683,7.699,7.675,7.714,78.735,15
45672,5709,sequential,1000,7.755318,7.687,1.2707319097521956,7.662,7.681,7.695,7.674,7.708,43.797,23
46336,5792,sequential,1000,7.722046,7.689,0.5111746760486414,7.665,7.683,7.696,7.674,7.711,17.77,30
47008,5876,sequential,1000,7.72786,7.691000000000001,0.5990446317853712,7.668,7.683,7.699,7.675,7.71305,21.739,11
47696,5962,sequential,1000,8.099285,7.689,2.82677560731465,7.663,7.683,7.701,7.674,8.927,59.661,151
48392,6049,sequential,1000,7.730501,7.689,0.6581050008860221,7.665,7.681,7.695,7.674,7.711,20.577,26
49096,6137,sequential,1000,7.732961,7.689,0.6778425731930926,7.665,7.681,7.698,7.674,7.714,20.355,20
49808,6226,sequential,1000,7.721725,7.689,0.5032914818380009,7.662,7.683,7.696,7.675,7.711,17.684,32
50528,6316,sequential,1000,7.727278,7.69,0.5821451156298159,7.663,7.683,7.699,7.674,7.711,19.539,13
51264,6408,sequential,1000,7.722632,7.69,0.5023632385031764,7.662,7.683,7.698,7.674,7.711,17.874,15
52008,6501,sequential,1000,7.72305,7.686,0.5715349295324614,7.662,7.68,7.695,7.671,7.711,19.129,29
52768,6596,sequential,1000,8.72495,7.71,3.9837933886263808,7.665,7.692,8.91825,7.678,8.946,51.089,17
53536,6692,sequential,1000,7.736848,7.693,0.6815029869466583,7.668,7.686,7.701,7.677,7.716,19.967,21
54312,6789,sequential,1000,7.731364,7.687,0.6836552274165495,7.662,7.68,7.695,7.674,7.711,21.342,25
55104,6888,sequential,1000,7.728629,7.692,0.582274613120033,7.668,7.684,7.699,7.677,7.714,18.768,25
55904,6988,sequential,1000,7.725023,7.692,0.5329109405346653,7.665,7.683,7.699,7.675,7.714,19.26,22
56720,7090,sequential,1000,7.724567,7.689,0.5406703412699173,7.665,7.683,7.698,7.674,7.717,19.112,39
57544,7193,sequential,1000,7.828322,7.687,1.5266646695752573,7.66,7.681,7.696,7.674,8.251,39.727,84
58384,7298,sequential,1000,8.084128,7.69,2.6905798708935698,7.662,7.683,7.701,7.677,8.922,41.239,132
59232,7404,sequential,1000,7.863786,7.69,1.8453595926621538,7.662,7.683,7.699,7.674,8.571,53.092,82
60096,7512,sequential,1000,7.733591,7.69,0.6629635573675203,7.668,7.684,7.698,7.677,7.711,19.873,20
60968,7621,sequential,1000,7.718222,7.687,0.5552307303093731,7.665,7.681,7.695,7.674,7.708,20.801,26
61856,7732,sequential,1000,7.722042,7.692,0.5659231566699274,7.662,7.683,7.699,7.677,7.714,21.633,13
62752,7844,sequential,1000,7.722969,7.69,0.59367083396281,7.662,7.683,7.698,7.675,7.711,21.46,15
63664,7958,sequential,1000,7.714412,7.689,0.4789524503598512,7.662,7.681,7.695,7.674,7.708,19.384,20
64592,8074,sequential,1000,7.717088,7.689,0.49926855232764594,7.662,7.683,7.696,7.674,7.711,18.871,28
65528,8191,sequential,1000,8.366088,7.696,3.422429154500291,7.662,7.684,8.263,7.675,8.925,51.739,13
66488,8311,sequential,1000,7.729972,7.686,0.6763266185142434,7.659,7.68,7.693,7.674,7.71,19.919,41
67448,8431,sequential,1000,7.727818,7.686,0.643342020881453,7.662,7.68,7.695,7.674,7.708,20.255,22
68432,8554,sequential,1000,7.721326,7.689,0.5091532664854196,7.662,7.681,7.695,7.674,7.711,17.74,31
69432,8679,sequential,1000,7.7254059999999996,7.687,0.5730786964775051,7.665,7.681,7.695,7.674,7.711,17.655,33
70440,8805,sequential,1000,7.715983,7.687,0.503677875346052,7.663,7.681,7.695,7.674,7.71,17.646,23
71464,8933,sequential,1000,7.71901,7.686,0.5828541402862717,7.665,7.68,7.693,7.674,7.711,21.123,37
72504,9063,sequential,1000,8.568978,7.702,3.7972332532905977,7.665,7.6855,8.894,7.677,8.93305,56.113,16
73560,9195,sequential,1000,7.716711,7.686,0.5188256291978187,7.665,7.68,7.695,7.674,7.711,18.341,28
74624,9328,sequential,1000,7.726572,7.69,0.6574830635041444,7.662,7.683,7.698,7.674,7.7111,21.16,12
75712,9464,sequential,1000,7.717792,7.69,0.5011968845204977,7.662,7.683,7.699,7.674,7.711,19.354,10
