size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
103496016,12937002,random,1000,150.378469,149.9855,3.3550078459946535,139.477,148.21675,151.885,145.6364,157.2234,166.39,50
105001400,13125175,random,1000,215.31184,199.112,50.826458067448314,181.99,193.65875,209.12725,189.7975,318.88949999999994,544.978,131
106528680,13316085,random,1000,214.067678,196.058,57.19178088140553,177.724,192.03775000000002,205.81099999999998,185.19955,353.36514999999997,572.789,133
108078176,13509772,random,1000,173.990893,172.8125,9.403556436221363,156.027,167.23899999999998,179.39974999999998,162.4444,187.912,282.201,12
109650208,13706276,random,1000,152.647658,152.1655,3.350239111338046,142.833,150.5275,154.00375,148.18115,159.7469,169.661,55
111245104,13905638,random,1000,215.276565,199.7265,50.30903421009916,183.149,194.09650000000002,208.23675,190.39885,317.8452,547.794,148
112863200,14107900,random,1000,215.488484,199.32150000000001,51.73811165724549,182.163,193.99775,209.05625,189.99915000000001,320.66959999999966,545.009,135
114504832,14313104,random,1000,209.316486,196.279,47.341403559746844,176.622,191.6985,205.47549999999998,182.79940000000002,277.29094999999995,566.11,108
116170344,14521293,random,1000,184.489143,183.923,3.152174934131411,177.918,182.58350000000002,185.35225,180.8669,191.85055,211.819,83
117860080,14732510,random,1000,183.314144,182.867,3.022636064438132,176.704,181.3945,184.40525,179.50375,190.29625,195.706,72
119574400,14946800,random,1000,180.851342,180.3985,2.8730406742250887,174.696,179.1125,181.8345,177.22585,187.17329999999998,192.869,71
121313648,15164206,random,1000,185.339323,184.7465,3.7005296751340273,178.173,183.40175,186.19675,181.49485,193.06914999999998,247.862,90
123078192,15384774,random,1000,183.832804,183.2665,3.0125155926201908,176.811,181.978,184.88649999999998,180.1226,191.1896,197.739,76
124868408,15608551,random,1000,181.607416,181.1875,2.8493749445305574,175.342,179.74325000000002,182.691,178.0501,188.1233,192.814,68
126684664,15835583,random,1000,308.190561,308.1165,14.751246495922386,263.515,297.97675000000004,317.8425,284.29045,333.15094999999997,351.284,5
128527336,16065917,random,1000,187.289572,186.249,4.767265049571805,177.785,184.83675,187.96875,182.397,199.7395,224.576,92
130396808,16299601,random,1000,158.533565,158.1635,3.2211040627645295,150.938,156.48575,159.90800000000002,154.31805,165.5677,184.044,53
132293472,16536684,random,1000,218.733437,200.482,57.391592145793105,184.491,194.45225,209.811,191.034,357.0470999999999,545.6,143
134217720,16777215,random,1000,215.945209,199.963,51.044740126303715,183.601,194.631,209.31550000000001,191.24079999999998,309.2174999999997,571.624,141
136169968,17021246,random,1000,216.013901,200.3955,51.04895993871005,182.418,194.81550000000001,209.1935,191.19215,311.3203999999998,546.635,138
138150600,17268825,random,1000,214.576905,196.93349999999998,57.97997673248822,178.157,192.51749999999998,206.193,183.30984999999998,360.21094999999997,555.671,127
140160048,17520006,random,1000,217.37533,200.892,52.087013586031325,183.95,195.02375,210.3315,190.87165,329.16569999999973,545.154,143
142198728,17774841,random,1000,184.474805,183.9485,3.0818344515177256,176.877,182.51575,185.51675,180.8125,191.91915,197.287,74
144267056,18033382,random,1000,185.408047,184.856,3.572744190932909,177.636,183.50324999999998,186.3165,181.80885,192.63074999999998,247.687,79
146365464,18295683,random,1000,171.480764,170.9385,3.1191542795642095,165.367,169.634,172.61925,167.5879,178.19424999999998,193.5,67
148494400,18561800,random,1000,186.730372,186.246,3.110502398453791,180.363,184.8405,187.6685,183.07285000000002,194.31785,212.265,84
150654304,18831788,random,1000,185.06327,184.618,2.9061598838278617,178.819,183.20024999999998,186.023,181.4827,192.00730000000001,197.603,72
152845616,19105702,random,1000,316.73647,317.33399999999995,14.171386386632015,266.145,308.77625,324.626,293.4768,341.01595,380.842,44
155068808,19383601,random,1000,189.197733,188.147,4.903788047308318,180.889,186.59375,190.041,184.05765,202.38595,210.314,92
157324336,19665542,random,1000,164.670535,164.1505,3.278795896561161,157.818,162.627,166.00125,160.4127,171.91835,181.18,61
159612672,19951584,random,1000,216.841987,200.895,50.90145609356648,184.843,195.36975,210.612,191.27550000000002,318.19565,547.032,137
161934296,20241787,random,1000,219.558283,200.99349999999998,57.69878633428402,183.003,195.484,211.17225,191.43695000000002,360.11759999999987,584.171,143
164289680,20536210,random,1000,220.028713,201.262,57.596490604103124,184.536,195.62925,212.9395,191.3138,356.96139999999986,565.088,126
166679328,20834916,random,1000,205.025217,196.917,50.23045561042366,160.224,180.82975,205.744,165.1345,277.99844999999976,550.731,85
169103736,21137967,random,1000,220.170736,201.757,57.58101252198819,185.444,195.59175,212.85250000000002,191.551,352.3116499999998,561.923,137
171563408,21445426,random,1000,186.493851,185.9835,2.91906481363213,180.843,184.72325,187.434,183.03625,193.2782,198.207,79
174058856,21757357,random,1000,174.702615,174.1935,2.9778563392400508,167.716,172.81025,175.97675,171.00005000000002,181.0689,187.907,57
176590600,22073825,random,1000,187.803735,187.25650000000002,3.077988375744167,180.709,185.96125,188.73825,184.21495000000002,195.28179999999998,215.667,78
179159168,22394896,random,1000,182.608144,182.087,3.614933747838993,176.0,180.55725,183.632,178.92425,189.40605,248.318,71
181765096,22720637,random,1000,266.292113,264.631,14.779769633883394,228.229,255.85275,275.2545,244.8724,292.82649999999995,317.322,16
184408936,23051117,random,1000,168.562651,168.086,3.1931041475805793,160.776,166.669,169.64825,164.45669999999998,175.7791,192.092,78
187091224,23386403,random,1000,218.219327,202.6155,51.190753163589285,184.241,196.46925,212.80075,192.71215,309.68674999999996,556.003,131
