size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
103496016,12937002,sequential,1000,9.081199,8.931,0.7458761308700002,8.894,8.918,9.049,8.906,9.61125,21.299,133
105001400,13125175,sequential,1000,9.108471,8.934,0.950188161735191,8.891,8.918,9.058,8.906,9.75375,25.978,124
106528680,13316085,sequential,1000,9.089004,8.928,0.8579518490914041,8.891,8.915,8.964,8.906,9.713949999999999,22.264,219
108078176,13509772,sequential,1000,9.233244,8.958,1.542303851267199,8.894,8.921,9.2105,8.906,9.96205,41.199,94
109650208,13706276,sequential,1000,9.1611,8.928,1.2077090009729294,8.891,8.915,9.061,8.903,10.02315,39.281,168
111245104,13905638,sequential,1000,9.079725999999999,8.928,1.1643681333985718,8.888,8.915,8.99575,8.903,9.507449999999999,37.185,139
112863200,14107900,sequential,1000,9.107931,8.931,1.003192125507213,8.894,8.915,9.049,8.906,9.699549999999999,25.911,125
114504832,14313104,sequential,1000,9.125407,8.933,1.2024626721145355,8.891,8.915,9.064,8.906,9.63825,35.959,133
116170344,14521293,sequential,1000,9.016388,8.922,0.6121709734679984,8.891,8.912,8.936,8.903,9.395299999999999,18.55,139
117860080,14732510,sequential,1000,9.01796,8.922,0.6087160451504656,8.894,8.912,8.94,8.903,9.35805,18.401,160
119574400,14946800,sequential,1000,9.096341,8.928,0.858053866115733,8.891,8.915,9.04375,8.906,9.70165,26.312,117
121313648,15164206,sequential,1000,9.094041,8.931,0.8928330528039267,8.891,8.915,9.046,8.906,9.68015,22.917,113
123078192,15384774,sequential,1000,9.320188,8.933,1.5259100353861272,8.891,8.915,9.06775,8.905850000000001,10.83345,29.65,153
124868408,15608551,sequential,1000,9.076896,8.928,0.8941242034948363,8.888,8.915,8.973,8.906,9.668,29.17,183
126684664,15835583,sequential,1000,9.067227,8.928,0.8130168041281772,8.894,8.915,9.043,8.906,9.5163,22.686,104
128527336,16065917,sequential,1000,9.04449,8.924,0.6936555960892883,8.891,8.91275,8.946,8.906,9.398599999999998,18.817,204
130396808,16299601,sequential,1000,9.039904,8.925,0.6655159820066731,8.897,8.915,8.946,8.905850000000001,9.477,20.355,177
132293472,16536684,sequential,1000,9.016766,8.922,0.6542603318449207,8.891,8.912,8.937,8.903,9.353,20.34,142
134217720,16777215,sequential,1000,9.152101,8.931,1.4497052169372278,8.891,8.9175,9.055,8.906,9.762,38.41,144
136169968,17021246,sequential,1000,9.443864,9.0475,2.155578213598138,8.888,8.924,9.45275,8.909,10.7213,62.419,79
138150600,17268825,sequential,1000,9.066241,8.928,0.8152382119732007,8.888,8.915,9.03,8.906,9.540049999999999,23.578,113
140160048,17520006,sequential,1000,9.022907,8.925,0.6483805114580778,8.894,8.915,8.94,8.905850000000001,9.41915,19.39,151
142198728,17774841,sequential,1000,9.05231,8.925,0.7575351169109941,8.891,8.913,8.943,8.906,9.55025,20.367,153
144267056,18033382,sequential,1000,9.047826,8.925,0.6940094515515209,8.888,8.915,8.949,8.906,9.5293,20.112,214
146365464,18295683,sequential,1000,9.025605,8.924,0.6522773541383463,8.891,8.912,8.94,8.903,9.3683,19.749,161
148494400,18561800,sequential,1000,9.01786,8.924,0.6746416083371227,8.888,8.912,8.94,8.903,9.349,19.961,142
150654304,18831788,sequential,1000,9.020374,8.924,0.6141937610397065,8.891,8.912,8.94,8.903,9.3741,19.072,156
152845616,19105702,sequential,1000,9.031265,8.924,0.7400007066353523,8.891,8.912,8.937,8.903,9.3583,20.152,148
155068808,19383601,sequential,1000,9.065472,8.925,1.0887557597185515,8.888,8.912,8.9525,8.903,9.5383,37.543,208
157324336,19665542,sequential,1000,9.078785,8.928,0.9175054599532605,8.894,8.915,9.024249999999999,8.9059,9.61,26.552,124
159612672,19951584,sequential,1000,9.083712,8.928,0.899979581047427,8.891,8.915,9.033,8.906,9.58915,23.572,128
161934296,20241787,sequential,1000,9.077222,8.925,1.0581993321404728,8.894,8.912,8.9925,8.903,9.543199999999999,33.889,143
164289680,20536210,sequential,1000,9.033194,8.925,0.6478893431481683,8.888,8.915,8.946,8.903,9.44365,19.499,176
