size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,178.270409,177.7995,3.3213136551845137,171.19,176.43325,179.31324999999998,174.3397,185.35279999999997,222.546,73
73182728,9147841,random,1000,169.004375,168.532,3.2487407389269713,159.459,167.0315,170.30325,164.90189999999998,176.1916,183.474,63
79806336,9975792,random,1000,142.191203,141.833,3.935427821460957,131.463,139.55675,144.31175000000002,136.71654999999998,149.43484999999998,159.905,36
87029424,10878678,random,1000,279.649666,265.951,58.36657324253772,196.13,228.33075,325.51975,208.5969,382.83684999999997,462.525,0
94906264,11863283,random,1000,184.716778,184.1235,3.4218706377327264,178.097,182.55325,185.998,180.29095,192.7425,198.934,69
103496016,12937002,random,1000,182.815396,182.2975,3.271758824698268,175.151,180.7985,183.95749999999998,178.80985,190.0575,207.434,75
112863200,14107900,random,1000,156.567094,156.21499999999997,3.351517898712371,147.846,154.43325,157.9775,151.97255,163.65404999999998,170.456,54
123078192,15384774,random,1000,288.499746,288.236,12.686975368048662,253.164,280.12275,294.985,269.3208,314.56174999999996,328.013,34
134217728,16777216,random,1000,164.135397,163.519,4.23230356979481,156.215,161.762,165.4965,159.51454999999999,171.6418,227.231,55
146365464,18295683,random,1000,166.339379,166.032,3.336971403159533,158.291,164.284,167.59475,162.01005,173.91325,190.368,65
159612672,19951584,random,1000,175.407542,173.55599999999998,10.460021063309618,162.639,169.99699999999999,180.233,166.15285,186.03285,343.874,5
174058856,21757357,random,1000,224.465487,205.152,60.78796556163854,188.008,200.158,214.4925,194.17105,339.4158,624.499,155
189812528,23726566,random,1000,222.766226,206.23149999999998,55.305686104978996,188.138,200.895,214.21525,194.4132,313.5814499999999,638.121,153
206992032,25874004,random,1000,222.870197,205.623,54.84798742213291,187.674,201.19275,214.317,195.501,305.91739999999993,612.856,160
225726408,28215801,random,1000,192.102213,191.628,2.9156571249207444,186.317,190.32125000000002,192.92975,188.57185,199.20805,204.339,87
246156392,30769549,random,1000,194.955702,194.357,3.1043732859781366,188.626,192.981,195.95275,191.34095000000002,202.41369999999998,207.753,83
268435456,33554432,random,1000,179.819819,179.3105,3.2893194625584434,172.122,177.818,180.86025,175.75369999999998,187.8998,194.905,74
