size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,8.927678,8.885,0.7213361575355614,8.863,8.882,8.885,8.873,8.894,25.38,210
1112,139,random,1000,8.940631,8.885,1.0065823229184048,8.86,8.876,8.894,8.86,8.897,35.525,7
1216,152,random,1000,13.125538,8.885,132.84719076390897,8.86,8.882,8.885,8.872,8.89115,4209.872,147
1328,166,random,1000,31.979734999999998,8.885,729.5042844149091,8.86,8.876,8.894,8.873,8.907,23077.857,7
1448,181,random,1000,8.920484,8.885,0.5821775162305776,8.86,8.882,8.885,8.87295,8.894,19.803,183
1576,197,random,1000,8.923150999999999,8.885,0.6201627980579737,8.86,8.882,8.885,8.873,8.897,19.418,274
1720,215,random,1000,8.919598,8.885,0.5672882709684542,8.86,8.882,8.885,8.86,8.897,18.826,435
1872,234,random,1000,8.926559,8.885,0.6769712745941482,8.86,8.882,8.885,8.873,8.897,22.209,475
2048,256,random,1000,8.925332,8.885,0.6574056905884053,8.86,8.882,8.885,8.872,8.894,20.121,159
2232,279,random,1000,8.931537,8.885,0.6686404285216784,8.86,8.882,8.885,8.873,8.897,19.324,358
2432,304,random,1000,8.922882,8.885,0.6190022680765265,8.86,8.882,8.885,8.863,8.897,19.934,463
2656,332,random,1000,8.918201,8.885,0.5441962827814917,8.86,8.876,8.894,8.86,8.897,18.319,8
2896,362,random,1000,8.921996,8.885,0.5997142579388748,8.86,8.882,8.885,8.872,8.897,19.952,322
3152,394,random,1000,8.922058999999999,8.885,0.5860217888918944,8.86,8.876,8.894,8.873,8.907,19.673,5
3440,430,random,1000,8.918362,8.885,0.5505809971206692,8.86,8.873,8.894,8.863,8.897,18.644,6
3752,469,random,1000,8.949486,8.909,0.5975709018909695,8.894,8.906,8.919,8.9,8.928,19.836,8
4096,512,random,1000,8.951205,8.906,0.6864309086626034,8.891,8.903,8.912,8.897,8.928,22.537,52
4464,558,random,1000,8.944396000000001,8.906,0.5918512744897279,8.882,8.9,8.912,8.891,8.925,18.431,27
4864,608,random,1000,8.946863,8.903,0.6464352812183163,8.885,8.9,8.909,8.891,8.936,21.612,74
5312,664,random,1000,8.943813,8.903,0.6361232937692786,8.885,8.894,8.909,8.888,8.925,19.897,30
5792,724,random,1000,8.942867,8.9,0.6234531812254872,8.882,8.897,8.909,8.891,8.922,19.454,33
6312,789,random,1000,8.942629,8.9,0.6470095832055038,8.885,8.894,8.906,8.891,8.922,19.566,45
6888,861,random,1000,8.937325,8.897,0.6041215608097722,8.869,8.891,8.903,8.888,8.921,19.679,51
7512,939,random,1000,8.935397,8.894,0.5933697338355167,8.872,8.891,8.9,8.888,8.91805,18.808,69
