size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2493944,311743,sequential,1000,10.149515,9.183,19.79569841039539,8.894,8.95125,9.62525,8.911900000000001,10.73615,632.498,61
2530216,316277,sequential,1000,9.536881,9.173,3.9439968625863653,8.891,8.946,9.46425,8.909,10.49365,121.33,74
2567024,320878,sequential,1000,9.440198,9.167,1.9015057298985025,8.894,8.943,9.53475,8.912,10.45115,38.865,52
2604360,325545,sequential,1000,9.419542,9.17,1.9668864452541546,8.894,8.94575,9.48,8.909,10.25415,40.532,44
2642240,330280,sequential,1000,9.447798,9.173,2.168116195463941,8.891,8.94,9.4725,8.909,10.245099999999999,47.059,43
2680672,335084,sequential,1000,9.456672,9.173,2.141500074476997,8.894,8.946,9.52575,8.909,10.32,52.512,45
2719664,339958,sequential,1000,9.394043,9.0715,1.9098603382610633,8.897,8.931,9.42875,8.909,10.4579,39.051,76
2759224,344903,sequential,1000,9.446413,9.123000000000001,2.036247795705748,8.894,8.933,9.47175,8.909,10.4819,38.431,69
2799360,349920,sequential,1000,9.381089,9.07,1.863684191015968,8.891,8.933,9.42875,8.911850000000001,10.28415,39.472,69
2840080,355010,sequential,1000,9.423748,9.158,2.0016546609937182,8.894,8.943,9.45,8.909,10.31115,46.764,60
2881384,360173,sequential,1000,9.448213,9.1565,2.265775640456019,8.891,8.937,9.4535,8.909,10.296299999999999,46.631,59
2923296,365412,sequential,1000,9.40625,9.121500000000001,1.8628930812400726,8.891,8.936,9.44,8.909,10.39375,39.403,82
2965816,370727,sequential,1000,9.421215,9.127500000000001,1.8883272408519514,8.897,8.94,9.453,8.909,10.448,39.782,72
3008960,376120,sequential,1000,9.457537,9.146,2.081279100775849,8.891,8.937,9.452,8.909,10.545599999999999,39.864,79
3052720,381590,sequential,1000,9.384675,9.096,1.8000319920900147,8.894,8.94,9.437,8.912,10.2263,37.943,58
3097128,387141,sequential,1000,9.526773,9.164,3.2371210487337594,8.891,8.93975,9.47775,8.909,10.527,91.235,77
3142176,392772,sequential,1000,9.43318,9.167,2.0565429649211238,8.888,8.94,9.5175,8.909,10.30815,49.14,41
3187880,398485,sequential,1000,9.434938,9.161,1.90074807731309,8.885,8.943,9.52575,8.909,10.372449999999999,41.269,47
3234248,404281,sequential,1000,9.391274,9.14,1.8911640220462853,8.885,8.94,9.44975,8.909,10.2113,48.008,50
