size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
79806336,9975792,random,1000,219.141257,200.0735,59.786622691969,184.63,195.21925,209.06324999999998,189.9142,329.6542499999999,615.099,162
80967144,10120893,random,1000,172.133956,171.5405,4.728189558865906,164.214,169.779,173.372,167.2901,178.85234999999997,253.577,55
82144840,10268105,random,1000,141.59068,141.058,3.3768943141307823,132.892,139.48000000000002,142.95175,137.15475,148.80535,156.173,60
83339664,10417458,random,1000,218.76376199999999,200.743,55.9852366941058,184.575,195.84275,210.28625,190.05525,309.70155,651.886,163
84551864,10568983,random,1000,180.552618,179.913,3.364149098841375,171.621,178.44075,181.75975,176.46025,188.3516,197.09,77
85781696,10722712,random,1000,185.876448,185.2745,3.2725567535187223,178.118,183.8795,186.918,181.84975,193.78055,198.755,77
87029424,10878678,random,1000,181.688441,181.1875,3.2144366936956117,173.691,179.6825,182.9085,177.5281,188.61915,209.68,69
88295296,11036912,random,1000,145.29413,144.89049999999997,3.3336034495811075,136.497,143.2015,146.88175,140.47185000000002,151.89195,159.447,47
89579576,11197447,random,1000,146.215986,145.82850000000002,3.393088590943359,137.732,144.02975,147.64675,141.71020000000001,153.18280000000001,162.494,52
90882544,11360318,random,1000,187.197587,186.4885,4.689407096141723,180.737,185.04825,188.1575,183.19695000000002,194.42465,263.199,74
92204464,11525558,random,1000,184.030497,183.474,3.2110405792503762,176.741,182.093,185.14375,179.9988,191.37375,208.827,73
93545608,11693201,random,1000,173.829057,173.2705,3.8978593144168237,165.397,171.17200000000003,175.7525,168.60975,182.23514999999998,189.0,49
94906256,11863282,random,1000,150.207666,149.7225,4.509662655866148,141.847,148.083,151.48874999999998,145.71715,156.83075,223.389,57
96286704,12035838,random,1000,304.732349,302.329,10.398099816167663,286.698,298.45625,306.7695,293.40470000000005,327.06374999999997,416.101,122
97687224,12210903,random,1000,257.044719,255.625,14.16685904084325,221.402,247.471,265.16775,234.1959,283.75759999999997,300.566,18
99108120,12388515,random,1000,151.246463,150.847,3.914126975535108,141.887,149.19375,152.7395,146.56235,158.37165000000002,218.828,58
100549680,12568710,random,1000,151.680469,151.413,3.288177068753213,144.202,149.463,153.32225,147.1094,158.06879999999998,165.003,42
102012208,12751526,random,1000,168.07987,162.5845,20.868183275415145,144.123,152.9545,177.5675,149.05905,206.00154999999998,354.043,23
103496008,12937001,random,1000,221.750701,202.5255,60.83907472156834,185.695,196.89975,210.71474999999998,191.3572,335.4295499999999,621.28,162
105001392,13125174,random,1000,225.090083,203.178,65.31275307334802,186.533,197.8435,214.1105,191.84885,351.2684499999999,642.925,172
106528672,13316084,random,1000,154.613141,154.08800000000002,4.201932124475323,147.363,152.38150000000002,155.84275000000002,150.13545,162.19675,219.335,58
108078168,13509771,random,1000,221.577844,203.152,56.62755712291828,184.393,198.07975,212.34125,191.97924999999998,323.5195499999997,646.596,167
109650200,13706275,random,1000,224.844143,203.192,65.15783319406114,184.806,198.04649999999998,212.61849999999998,192.00895,360.6272499999998,636.043,169
111245104,13905638,random,1000,177.935099,172.946,20.155244510163193,151.011,162.4905,188.08075,157.00789999999998,210.22675,299.37,23
112863200,14107900,random,1000,189.405225,188.86,3.232610042684249,182.937,187.50074999999998,190.30849999999998,185.50685000000001,196.8992,215.13,84
114504832,14313104,random,1000,184.379483,183.835,3.0936182511089814,177.468,182.52024999999998,185.44525,180.4661,191.80294999999998,196.798,77
116170344,14521293,random,1000,157.54432,157.1575,3.436577997067712,149.212,155.4245,158.864,152.81705,164.93875,171.998,62
117860080,14732510,random,1000,190.094229,189.437,3.7293921663576075,182.776,188.20025,191.02625,186.3254,197.119,258.092,82
119574392,14946799,random,1000,187.672053,187.0775,4.115091254908842,179.596,185.66725,188.5435,183.8509,194.75215,255.598,83
121313648,15164206,random,1000,159.335538,158.846,3.4411447967308884,151.293,157.1935,160.73,154.9785,167.11635,179.754,60
123078192,15384774,random,1000,304.446496,302.25149999999996,9.861237466685322,284.037,298.02225,307.764,292.38960000000003,326.47484999999995,339.856,88
124868408,15608551,random,1000,179.795725,179.37,3.050846783677029,173.063,177.8135,181.06725,175.98015,186.51844999999997,192.365,59
126684656,15835582,random,1000,165.295068,164.666,8.325155209161727,156.448,162.62025,166.791,159.6928,172.9965,399.371,50
128527328,16065916,random,1000,223.084132,203.986,57.84093490111316,186.46,198.983,213.89325,192.58960000000002,340.30759999999987,631.697,166
130396800,16299600,random,1000,161.858571,161.52499999999998,3.3585863593619703,153.848,159.805,163.27175,157.33724999999998,169.1209,182.776,58
132293464,16536683,random,1000,222.150113,204.0885,56.41787255971635,186.906,199.077,214.032,192.9762,317.9833499999998,646.53,165
134217720,16777215,random,1000,162.843035,162.284,4.332349866197113,154.0,160.6745,164.13525,158.16289999999998,170.0962,239.342,60
136169960,17021245,random,1000,223.466729,204.115,60.948904338434296,186.25,199.20425,213.004,192.87724999999998,331.82329999999985,632.174,159
138150600,17268825,random,1000,225.165028,204.8075,62.042111437884564,188.028,199.07475,215.576,193.52749999999997,342.41129999999987,641.317,164
140160048,17520006,random,1000,189.187786,188.7005,3.0346508303041824,183.089,187.3085,190.19799999999998,185.42095,196.3156,202.051,78
142198720,17774840,random,1000,164.844304,164.24849999999998,4.267918736330851,155.845,162.6645,166.014,160.30855,172.6583,233.958,71
144267048,18033381,random,1000,191.565397,190.9555,3.209601998126462,185.689,189.65499999999997,192.417,187.96785,198.88645,219.754,82
146365464,18295683,random,1000,186.480604,186.0275,3.1499359240323463,178.913,184.62025,187.48225,182.36,193.74355,200.706,81
148494400,18561800,random,1000,172.460542,170.1525,8.169820959160656,159.757,167.1435,174.6995,163.92475,186.2996,250.885,56
150654296,18831787,random,1000,235.943391,234.94799999999998,11.181687268578536,208.769,228.563,241.52775,220.01424999999998,259.61155,278.535,40
152845616,19105702,random,1000,167.441709,167.0255,3.4389641159089623,159.644,165.18574999999998,168.85925,162.9908,174.86895,181.896,59
155068808,19383601,random,1000,225.111857,205.4635,61.00344283451726,187.631,199.9925,215.74075,193.74099999999999,339.84304999999983,643.404,159
157324336,19665542,random,1000,167.70332,167.279,3.249751835539537,159.802,165.75424999999998,168.96375,163.47385,175.2261,181.283,69
159612672,19951584,random,1000,224.471832,205.1115,60.5313600449442,187.264,199.86525,213.92275,193.87,340.77219999999994,616.44,159
161934288,20241786,random,1000,186.144688,185.7285,3.387220121398491,176.255,184.141,187.41674999999998,181.67055,194.0336,199.199,73
164289680,20536210,random,1000,190.395137,185.537,31.79939485634059,164.915,175.51875,193.89675,170.12155,223.2164999999998,578.585,52
166679328,20834916,random,1000,192.750294,192.17849999999999,3.078876498994407,185.774,190.86450000000002,193.73624999999998,189.10760000000002,200.37,207.831,76
169103728,21137966,random,1000,174.772978,174.2115,3.2815561836577625,164.809,172.7425,176.0075,170.73695,182.17989999999998,189.943,69
171563400,21445425,random,1000,192.969818,192.406,3.1103612330203507,186.782,191.08925,193.9655,189.33275,200.54375000000002,206.618,81
174058848,21757356,random,1000,187.886204,187.3415,3.695700364960824,182.066,185.87475,188.88875,183.99165,195.35115,250.6,75
176590592,22073824,random,1000,170.490047,170.019,3.1829285982020163,161.686,168.54775,171.77975,166.24550000000002,178.02849999999998,183.665,70
179159160,22394895,random,1000,178.54449,178.024,3.299287482744387,171.873,176.61225000000002,179.651,174.3244,186.79475000000002,191.154,78
181765096,22720637,random,1000,223.847589,205.5335,56.44021126223222,188.86,200.361,213.9695,194.87845000000002,323.51494999999994,632.295,171
184408928,23051116,random,1000,225.128687,206.3255,60.37250266111715,185.956,200.63174999999998,215.124,193.7309,334.0716499999998,630.071,162
187091216,23386402,random,1000,172.378151,171.893,3.2454773691327063,165.321,170.31,173.527,168.3365,180.01154999999997,187.601,61
189812520,23726565,random,1000,222.053683,204.744,55.2628341087049,187.322,200.76925,213.11875,194.69695000000002,309.78514999999965,623.568,156
192573408,24071676,random,1000,193.814486,193.266,3.0982392222167223,186.26,191.90825,194.8245,190.04655,201.3217,207.998,80
195374456,24421807,random,1000,187.294898,186.69650000000001,3.094108451995293,180.303,185.465,188.2125,183.6704,194.93175,200.352,81
198216240,24777030,random,1000,173.609939,173.2005,3.106515652749842,167.209,171.63975,174.92075,169.53650000000002,180.55635,186.293,61
201099360,25137420,random,1000,191.319795,190.8295,2.9875249860909143,183.99,189.46699999999998,192.26274999999998,187.71525,198.8321,202.433,86
