stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
68,761000,51748000,4096,random,1000,200.961906,198.331,11.575514484926998,186.757,194.91625,202.65875,190.34085000000002,230.48125,312.186,77
69,749971,51748000,4096,random,1000,203.854349,201.9495,11.967900999571082,185.454,195.96550000000002,208.46075,189.90040000000002,231.01905,280.743,58
70,739257,51748000,4096,random,1000,202.819254,199.8495,11.516199276378352,186.915,196.19925,204.7865,191.90995,232.22275,272.631,81
71,728845,51748000,4096,random,1000,203.805543,201.93,12.339088871725309,185.368,195.79075,207.81175,189.7468,233.4759,262.631,69
72,718722,51748000,4096,random,1000,200.0328,197.82150000000001,13.94373518089019,180.831,193.2825,201.7795,188.9163,225.82164999999998,436.022,74
73,708876,51748000,4096,random,1000,203.025,200.24900000000002,11.649795610042082,187.218,196.5205,204.2435,192.46615,231.27515,270.629,85
74,699297,51748000,4096,random,1000,202.935149,200.86399999999998,10.747334128781644,186.108,196.2325,205.91725,192.04840000000002,227.27859999999998,273.477,61
75,689973,51748000,4096,random,1000,202.837475,200.2215,11.936354436703596,184.731,195.89175,206.41199999999998,189.31755,229.8618,277.207,73
76,680894,51748000,4096,random,1000,202.932791,203.074,12.436489639277912,183.911,193.29625,207.17625,187.23045,229.02785,283.295,52
77,672051,51748000,4096,random,1000,205.463214,203.175,11.341163681909537,189.361,199.2185,208.06650000000002,194.4666,229.70385,313.791,66
78,663435,51748000,4096,random,1000,202.451972,200.8355,12.33696249507231,184.388,194.00475,206.80475,188.13195000000002,228.86229999999998,289.551,62
79,655037,51748000,4096,random,1000,204.259267,204.49,11.161564147911301,186.085,196.13,208.57775,190.7013,221.27985,254.959,43
80,646850,51748000,4096,random,1000,201.628922,199.0825,11.362829400986003,184.783,195.621,203.30975,190.49390000000002,233.60919999999996,280.083,74
81,638864,51748000,4096,random,1000,205.72328,203.683,13.88225155988653,186.475,196.47525000000002,208.89600000000002,190.25885,240.4702,292.033,99
82,631073,51748000,4096,random,1000,204.349191,202.34050000000002,9.721927450452965,189.037,199.19850000000002,206.32025000000002,194.49355,221.2468,267.092,62
83,623469,51748000,4096,random,1000,204.8001,203.399,8.330398039199057,189.691,200.48149999999998,207.1205,194.8392,217.2864,260.71,52
84,616047,51748000,4096,random,1000,198.415052,197.583,10.804264637524096,180.012,191.035,205.32274999999998,183.178,216.7141,256.146,15
85,608800,51748000,4096,random,1000,206.55746,203.71699999999998,12.863841442549697,189.172,199.63125,207.95675,194.7228,237.58825,291.477,85
86,601720,51748000,4096,random,1000,204.720934,202.719,10.576578150186903,189.039,198.90575,206.7655,194.92264999999998,226.27154999999996,276.648,64
87,594804,51748000,4096,random,1000,202.14408,200.29250000000002,10.992846165138964,183.753,194.47699999999998,206.20974999999999,189.4214,224.74955,270.183,55
88,588045,51748000,4096,random,1000,199.556594,200.1865,9.526597286808602,182.118,193.0705,203.77024999999998,186.00325,214.9402,272.22,31
89,581438,51748000,4096,random,1000,204.150979,202.8265,9.729615234487444,187.163,198.118,207.64475,192.85455,220.7702,271.091,43
90,574977,51748000,4096,random,1000,202.617448,200.719,10.864831532680547,185.325,196.28525,205.84425,190.11885,225.58245,263.969,61
91,568659,51748000,4096,random,1000,204.917563,202.737,11.883140272536034,188.204,198.28975,207.18725,192.82715000000002,232.75415,283.052,73
92,562478,51748000,4096,random,1000,204.756012,202.9475,10.721763845179943,185.095,199.42075,206.70149999999998,193.24054999999998,227.80744999999993,280.162,91
93,556430,51748000,4096,random,1000,203.985713,204.812,11.973006032826222,183.907,195.005,208.82875,189.01015,222.53934999999996,292.233,39
