footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,128,256,4096,0,random,1000,8.895396,8.312999999999999,3.857270043355971,8.26,8.278,8.93,8.272,9.00415,58.232,15
36608,143,256,4096,0,random,1000,13.626608,13.257,3.4790569779455747,12.824,13.152,13.397,13.02985,13.804599999999999,62.737,67
41216,161,256,4096,0,random,1000,29.520132,13.8555,480.9653722435597,13.449,13.78,14.467,13.69195,15.024299999999998,15223.564,9
46336,181,256,4096,0,random,1000,14.197312,13.92,2.440068495128142,13.777,13.88,14.02825,13.843,14.449,60.32,118
51968,203,256,4096,0,random,1000,14.289349,13.965,2.6157565156849647,13.901,13.919,14.004,13.907,14.508,47.332,159
58368,228,256,4096,0,random,1000,14.290608,13.98,2.687830317216872,13.901,13.925,14.0475,13.907,14.567,61.819,128
65536,256,256,4096,0,random,1000,14.275275,13.983,2.233455244616445,13.901,13.938,14.09225,13.91,14.578149999999999,47.888,122
73472,287,256,4096,0,random,1000,14.238924,13.976500000000001,2.3991825193146488,13.894,13.922,14.034,13.907,14.675049999999983,59.695,85
82432,322,256,4096,0,random,1000,14.205827,13.9795,2.0128715709234983,13.901,13.922,14.05,13.907,14.502,46.455,97
92672,362,256,4096,0,random,1000,14.259597,13.986,2.3567291131361925,13.901,13.925,14.086,13.91,14.53215,56.846,139
103936,406,256,4096,0,random,1000,14.447385,13.98,4.1497498952307925,13.901,13.922,14.08375,13.907,14.529,107.183,202
116736,456,256,4096,0,random,1000,14.188281,13.989,1.665374392112748,13.901,13.931,14.09825,13.907,14.482249999999999,46.66,94
131072,512,256,4096,0,random,1000,14.212426,13.975000000000001,2.2912347394265726,13.901,13.922,14.041,13.907,14.4591,60.422,78
146944,574,256,4096,0,random,1000,14.497804,13.995,3.4975413102350625,13.901,13.949,14.435,13.91,14.57805,58.502,14
165120,645,256,4096,0,random,1000,15.025366,14.1755,5.253668364993486,13.901,13.9695,14.534,13.916,15.212,98.939,30
185344,724,256,4096,0,random,1000,20.36203,19.621,4.426820664347529,19.345,19.524,19.89475,19.4259,20.722150000000003,76.912,86
207872,812,256,4096,0,random,1000,18.44152,17.94,3.6406899262006287,17.482,17.788,18.1845,17.673,18.59255,66.519,27
233472,912,256,4096,0,random,1000,29.165002,28.303,4.894699339450751,27.581,28.0985,28.6415,27.8508,29.6874,76.662,66
262144,1024,256,4096,0,random,1000,28.624582,28.1325,3.605968689196214,27.329,27.9525,28.321,27.59295,28.8791,73.723,57
294144,1149,256,4096,0,random,1000,33.705155,32.5885,5.577675209773398,31.968,32.396,32.9985,32.17985,34.2413,93.984,100
330240,1290,256,4096,0,random,1000,41.369227,39.7535,7.299813959911603,38.799,39.411249999999995,40.68375,39.0627,41.8015,109.104,44
370688,1448,256,4096,0,random,1000,46.294081,43.245,10.020337724375839,42.692,43.03425,44.883,42.862,73.74629999999999,113.125,74
416000,1625,256,4096,0,random,1000,44.334209,43.651,4.198307379190949,42.893,43.505,43.809,43.12,44.71045,90.645,137
466944,1824,256,4096,0,random,1000,47.266809,46.276,5.392424584119319,45.842,46.176,46.424,46.033,48.157349999999994,115.398,136
524288,2048,256,4096,0,random,1000,47.612943,46.6525,4.882448052640984,46.087,46.504,46.87625,46.312,48.66505,93.132,117
588288,2298,256,4096,0,random,1000,47.818022,46.995,4.665410385119146,46.449,46.8545,47.14925,46.69195,48.0984,102.184,106
660480,2580,256,4096,0,random,1000,48.467455,47.5215,4.912616960783568,46.932,47.344,47.7305,47.131949999999996,49.10764999999999,93.375,112
741376,2896,256,4096,0,random,1000,48.632149,47.717,4.901766809697872,46.971,47.465,48.057,47.204,49.5473,92.837,67
832000,3250,256,4096,0,random,1000,48.816903,47.984,4.710871441180106,47.244,47.793,48.218,47.517,49.148300000000006,94.274,89
934144,3649,256,4096,0,random,1000,49.353792,48.184,5.424028605478501,47.693,48.041250000000005,48.431749999999994,47.881,50.1633,95.301,152
1048576,4096,256,4096,0,random,1000,49.365233,48.388,5.348999713464719,47.73,48.197,48.64975,47.998850000000004,50.46265,118.037,105
