footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,4096,8,4096,0,sequential,1000,9.033248,8.3525,3.828768283804475,8.26,8.311,8.955,8.28495,9.08915,46.623,17
36776,4597,8,4096,0,sequential,1000,8.874852,8.284500000000001,3.7995648483916065,8.226,8.257,8.906,8.244,9.049,54.925,11
41280,5160,8,4096,0,sequential,1000,27.612051,8.591,590.9021984429752,8.238,8.281,8.918,8.251,9.046,18694.649,11
46336,5792,8,4096,0,sequential,1000,8.394045,8.263,1.548690693404864,8.226,8.254,8.278,8.245,8.58,40.227,146
52016,6502,8,4096,0,sequential,1000,8.400002,8.26,1.5781929663495002,8.226,8.253,8.275,8.244,8.577,41.166,135
58384,7298,8,4096,0,sequential,1000,8.388868,8.26,1.5612460407558366,8.226,8.254,8.272,8.245,8.565,40.752,106
65536,8192,8,4096,0,sequential,1000,8.583403,8.269,2.531898077029062,8.233,8.257,8.5035,8.245,8.598,42.409,10
73560,9195,8,4096,0,sequential,1000,8.441317,8.266,1.6181381237392864,8.229,8.254,8.372,8.244,8.5891,39.994,105
82568,10321,8,4096,0,sequential,1000,8.402572,8.26,1.5953133489999691,8.226,8.254,8.272,8.244,8.574,40.958,142
92680,11585,8,4096,0,sequential,1000,8.397329,8.257,1.5875797196125696,8.226,8.251,8.269,8.241,8.574,41.013,124
104032,13004,8,4096,0,sequential,1000,8.354246,8.263,1.1222816783898995,8.232,8.257,8.275,8.247,8.58,38.672,124
116768,14596,8,4096,0,sequential,1000,8.487941,8.266,2.114001059602147,8.226,8.257,8.2855,8.247,8.586,41.245,192
131072,16384,8,4096,0,sequential,1000,8.430582,8.2675,1.6137623698247094,8.235,8.257,8.323,8.245,8.58315,40.761,130
147120,18390,8,4096,0,sequential,1000,8.768884,8.302,3.5346215826133744,8.232,8.26,8.571,8.247,8.92405,54.835,24
165136,20642,8,4096,0,sequential,1000,8.638346,8.263,2.8729348720538486,8.226,8.254,8.30225,8.244,8.915049999999999,46.4,232
185360,23170,8,4096,0,sequential,1000,8.500568,8.26,2.216448902436759,8.229,8.254,8.284,8.244,8.589,41.491,203
208064,26008,8,4096,0,sequential,1000,8.386016,8.263,1.510131771638393,8.232,8.254,8.278,8.245,8.577,40.37,114
233544,29193,8,4096,0,sequential,1000,8.404221,8.259,1.8370754939657568,8.226,8.251,8.272,8.242,8.574,50.905,120
262144,32768,8,4096,0,sequential,1000,8.504385,8.305,1.8116881571489487,8.226,8.263,8.378,8.248,8.65015,40.653,133
294240,36780,8,4096,0,sequential,1000,8.472134,8.278,2.0431910487533234,8.232,8.26,8.351750000000001,8.247,8.6131,54.79,121
330280,41285,8,4096,0,sequential,1000,8.530346999999999,8.26,2.363734915624496,8.229,8.253,8.29075,8.242,8.586,41.885,221
370728,46341,8,4096,0,sequential,1000,8.633143,8.266,2.701916487839374,8.226,8.254,8.568,8.244,8.915,46.86,13
416128,52016,8,4096,0,sequential,1000,8.775873,8.272,3.5509379678223505,8.226,8.257,8.572,8.247,8.924,63.142,19
467088,58386,8,4096,0,sequential,1000,8.46567,8.266,1.9843211639201912,8.232,8.254,8.375,8.244,8.607099999999999,53.201,111
524288,65536,8,4096,0,sequential,1000,8.550599,8.269,2.285692568723475,8.226,8.257,8.384,8.245,8.6472,41.268,134
588488,73561,8,4096,0,sequential,1000,8.515948,8.263,2.165177294359982,8.229,8.251,8.315,8.242,8.59405,40.824,190
660560,82570,8,4096,0,sequential,1000,8.531582,8.266,2.245095069957874,8.229,8.254,8.375,8.244,8.922,46.881,193
741448,92681,8,4096,0,sequential,1000,8.444004,8.26,1.7666404797152613,8.229,8.251,8.28175,8.244,8.921,46.042,189
832248,104031,8,4096,0,sequential,1000,8.462575,8.263,1.7210824864893315,8.229,8.254,8.375,8.244,8.612449999999999,41.392,122
934168,116771,8,4096,0,sequential,1000,8.464696,8.263,1.9890030011346191,8.229,8.254,8.363,8.244,8.65915,54.214,118
1048576,131072,8,4096,0,sequential,1000,8.424666,8.263,1.6677812460657808,8.229,8.254,8.29,8.245,8.58,40.245,203
