stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,65536,524288,4096,sequential,1000,9.012556,8.275,6.71481435847133,8.226,8.26,8.909,8.248,8.9491,191.577,15
16,32768,524288,4096,sequential,1000,20.289779,8.595,351.09123397705287,8.217,8.551,8.912,8.25095,9.022,11110.321,27
24,21845,524288,4096,sequential,1000,8.668422,8.317,6.552892269755014,8.259,8.302,8.336,8.278,8.639,208.885,127
32,16384,524288,4096,sequential,1000,8.579248,8.3,2.509238644902687,8.238,8.281,8.339,8.26,8.642,52.262,172
40,13107,524288,4096,sequential,1000,8.809056,8.433,4.755058740803577,8.357,8.409,8.463249999999999,8.384,9.103,139.853,115
48,10922,524288,4096,sequential,1000,8.810726,8.57,3.1088599503861727,8.418,8.518,8.6525,8.466,8.94605,88.537,89
56,9362,524288,4096,sequential,1000,9.268219,9.076,1.962190845956365,8.775,9.00675,9.167,8.918,9.4253,44.258,54
64,8192,524288,4096,sequential,1000,12.923956,12.602,2.4357802062742193,12.275,12.535,12.699,12.447,13.1473,47.976,129
72,7281,524288,4096,sequential,1000,13.246089,12.927,2.564236311055972,12.575,12.85775,13.00975,12.751,13.42615,49.874,124
80,6553,524288,4096,sequential,1000,13.38606,13.175,2.0719449921391373,12.899,13.097,13.2585,12.99985,13.63745,58.788,74
88,5957,524288,4096,sequential,1000,13.742508,13.424,2.6545640776553836,13.13,13.349,13.506,13.264,13.9483,58.783,111
96,5461,524288,4096,sequential,1000,13.919878,13.68,2.121919592225839,13.419,13.613,13.758,13.531,14.15,58.519,74
104,5041,524288,4096,sequential,1000,14.45572,14.016,3.099714580098961,13.712,13.9455,14.117,13.862,14.567,53.342,151
112,4681,524288,4096,sequential,1000,14.76031,14.42,2.639417485082752,14.192,14.362,14.505,14.28995,14.98015,62.368,123
120,4369,524288,4096,sequential,1000,15.647404,15.312,2.6828465883461545,15.078,15.252,15.388,15.19095,15.8111,60.262,117
128,4096,524288,4096,sequential,1000,16.477655,16.301,1.5115675116637421,16.073,16.231,16.377,16.152,16.547150000000002,38.086,37
136,3855,524288,4096,sequential,1000,21.283058,20.8425,3.3471937961440092,20.443,20.75,20.95675,20.628,21.39575,65.97,87
144,3640,524288,4096,sequential,1000,23.308434,22.822,4.03978290946427,21.229,22.53625,23.00225,21.98155,23.78115,71.396,79
152,3449,524288,4096,sequential,1000,24.17229,23.706,3.379334010460383,23.308,23.599,23.854,23.472,24.737899999999996,66.726,100
160,3276,524288,4096,sequential,1000,26.2437,25.96,2.883397896480718,24.919,25.73425,26.10225,25.34385,26.6033,67.962,56
168,3120,524288,4096,sequential,1000,25.875435,25.5005,2.8623939653702437,25.004,25.392,25.632,25.26485,26.12145,69.713,85
176,2978,524288,4096,sequential,1000,28.23068,27.644,3.7352496574665,27.152,27.56125,27.7695,27.455849999999998,28.339,71.798,141
184,2849,524288,4096,sequential,1000,29.471531,28.1035,6.680985809326601,27.286,27.863500000000002,28.58725,27.5069,29.53705,97.154,42
192,2730,524288,4096,sequential,1000,27.719072,27.0465,4.386514507937292,25.808,26.734,27.50475,26.348,28.542150000000003,95.689,41
200,2621,524288,4096,sequential,1000,28.293033,27.5155,4.962545524828664,25.714,27.0575,28.242,26.49985,28.87675,100.301,27
208,2520,524288,4096,sequential,1000,28.181819,27.942,3.7727872951192483,25.708,27.0875,28.53475,26.1517,29.04015,94.931,19
216,2427,524288,4096,sequential,1000,29.334118,29.052,4.4363645664713625,26.188,28.2195,29.26725,27.13785,29.762150000000002,76.38,29
224,2340,524288,4096,sequential,1000,26.52746,25.9885,3.574639654434984,23.742,25.4005,26.67975,24.42195,28.363,71.81,42
232,2259,524288,4096,sequential,1000,28.847561,28.026,4.604716360106889,26.564,27.787,28.396,27.526,29.33975,72.73,56
240,2184,524288,4096,sequential,1000,27.494551,27.0435,3.5590293678811418,24.986,26.4325,27.5745,25.86885,28.8538,73.622,28
248,2114,524288,4096,sequential,1000,26.022256,25.538,3.767282689861398,22.792,25.05,26.1405,24.305400000000002,27.043,67.386,31
256,2048,524288,4096,sequential,1000,29.485181,28.961,3.5523379176142464,28.533,28.83975,29.134,28.694,29.62145,76.882,62
264,1985,524288,4096,sequential,1000,18.157531,17.8475,3.6835968607967775,13.895,16.802,18.95775,14.8202,20.8894,65.278,17
272,1927,524288,4096,sequential,1000,21.876352,21.4975,3.226845292020464,17.664,20.98825,22.11,20.35795,22.798,64.237,22
280,1872,524288,4096,sequential,1000,18.127666,18.01,2.4954273750658884,13.485,17.585,18.435000000000002,16.277350000000002,19.0993,58.263,64
288,1820,524288,4096,sequential,1000,18.414326,18.4025,2.6956287396498104,15.005,17.82575,18.79,16.0187,19.3723,51.496,100
296,1771,524288,4096,sequential,1000,18.622623,18.489,3.6356858029990886,13.646,18.05875,18.7825,16.081799999999998,19.3095,64.216,91
304,1724,524288,4096,sequential,1000,18.40669,18.532,2.9509025863240512,14.253,17.533,19.278,15.12475,19.761599999999998,55.094,56
312,1680,524288,4096,sequential,1000,18.507774,18.591,3.138781792043222,13.768,17.88275,19.0815,15.652249999999999,19.55155,62.057,79
320,1638,524288,4096,sequential,1000,17.890905,18.149,3.1715005911989005,13.585,16.85,18.62975,14.261700000000001,19.28005,59.57,57
328,1598,524288,4096,sequential,1000,18.456733,18.4265,3.540159429531034,14.017,17.839,18.911,15.465,19.5919,61.163,132
336,1560,524288,4096,sequential,1000,17.428716,17.239,3.9444896592608805,13.691,15.3805,18.65,14.2737,19.40725,61.503,17
344,1524,524288,4096,sequential,1000,17.089941,16.671,2.717100907006926,13.746,16.065,17.958,14.583549999999999,19.08175,50.03,13
352,1489,524288,4096,sequential,1000,17.575205,17.609,3.04059796338647,13.749,16.2305,18.486,15.0983,19.1322,61.132,12
360,1456,524288,4096,sequential,1000,16.350343,16.0745,2.76662570094332,14.317,15.767,16.371,15.453750000000001,16.99645,59.93,41
368,1424,524288,4096,sequential,1000,17.509971,17.5165,2.577594801189302,13.706,16.86375,17.949,15.340950000000001,18.577,65.121,57
376,1394,524288,4096,sequential,1000,17.115273,16.759,3.3747949290711405,14.326,16.26425,17.29225,15.6309,17.952150000000003,62.353,18
384,1365,524288,4096,sequential,1000,18.337928,18.412,2.910018551966428,14.593,17.13075,19.075,15.56685,19.783250000000002,54.687,14
392,1337,524288,4096,sequential,1000,16.535575,16.3315,1.9035928162254094,13.81,15.7265,17.11975,15.05055,17.99275,47.778,10
400,1310,524288,4096,sequential,1000,17.377867,17.451500000000003,2.486404765513646,14.074,16.75225,17.7955,15.22955,18.498450000000002,58.784,55
408,1285,524288,4096,sequential,1000,16.067595999999998,15.858,2.555691118636577,13.919,15.58125,16.09875,14.8619,16.5184,49.432,63
416,1260,524288,4096,sequential,1000,17.064168,16.8415,2.977849138433186,14.274,16.304,17.29825,15.555,17.882,56.343,32
424,1236,524288,4096,sequential,1000,15.84475,15.7595,1.8666469254372249,14.034,15.41425,16.01075,14.6714,16.504350000000002,46.944,48
432,1213,524288,4096,sequential,1000,15.04852,14.7705,2.621797900646011,13.81,14.605,14.9825,14.24625,15.5984,59.463,87
440,1191,524288,4096,sequential,1000,16.0146,15.7275,2.651064345912065,13.846,15.37225,16.1145,14.957,16.729599999999998,58.684,31
448,1170,524288,4096,sequential,1000,14.720888,14.538499999999999,2.169950508344525,13.971,14.37775,14.69675,14.19295,15.024149999999999,60.029,21
456,1149,524288,4096,sequential,1000,15.050409,14.8995,2.578255259259816,13.883,14.625499999999999,15.099,14.153,15.46805,60.813,12
464,1129,524288,4096,sequential,1000,15.460782,15.3195,2.3013169734498304,13.971,14.93575,15.603,14.4617,15.9223,58.828,11
472,1110,524288,4096,sequential,1000,16.748798999999998,16.323,3.4482757018421415,14.322,16.12725,16.53575,15.8239,17.14845,59.369,63
480,1092,524288,4096,sequential,1000,15.745843,15.819,1.3745085966385344,13.943,15.68425,15.952,14.25285,16.11315,45.134,152
488,1074,524288,4096,sequential,1000,16.635782,16.347,4.262510899416404,13.943,15.428999999999998,16.773,14.2129,17.4366,59.581,23
496,1057,524288,4096,sequential,1000,14.304111,14.119,1.7630733343401408,13.913,14.068,14.177,14.004,14.64615,45.929,75
504,1040,524288,4096,sequential,1000,16.435354,16.1535,3.7769580411660293,14.174,15.7145,16.415,15.0929,16.98745,98.257,38
512,1024,524288,4096,sequential,1000,32.636765,32.299,2.5784771599219645,31.999,32.227,32.393,32.135,32.86845,75.884,70
520,1008,524288,4096,sequential,1000,14.359722,14.128,2.14993935541167,13.913,14.086,14.181,14.025,14.67,47.686,122
528,992,524288,4096,sequential,1000,15.206601,14.818999999999999,2.722360878456703,14.074,14.49,15.4,14.21095,16.05815,54.715,15
