stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,6468500,51748000,4096,random,1000,108.816047,108.404,3.200776568495907,101.024,106.765,110.407,104.49875,114.6874,122.477,40
16,3234250,51748000,4096,random,1000,191.65316,185.301,25.640549402617488,170.25,182.32850000000002,189.543,176.03779999999998,224.96799999999988,445.232,137
24,2156166,51748000,4096,random,1000,193.019011,186.1395,26.267599440513138,171.646,183.39875,191.00674999999998,178.18079999999998,231.10174999999995,465.229,126
32,1617125,51748000,4096,random,1000,192.705097,186.85250000000002,24.302324534277794,174.468,183.79975,190.9495,178.2513,225.86634999999998,437.056,131
40,1293700,51748000,4096,random,1000,195.091343,186.99849999999998,29.070126412228998,174.37,183.98225000000002,192.4665,178.64255,237.12319999999994,433.946,141
48,1078083,51748000,4096,random,1000,194.797114,187.331,28.617124886294253,175.864,184.44425,191.83849999999998,179.4371,231.8983,464.327,134
56,924071,51748000,4096,random,1000,194.698587,188.044,25.15665358874696,176.877,185.46625,192.00325,180.7242,230.25189999999998,446.394,140
64,808562,51748000,4096,random,1000,195.385412,188.068,28.50494592818279,175.359,185.425,192.29575,180.23000000000002,232.55074999999997,460.54,137
72,718722,51748000,4096,random,1000,194.551243,188.8915,23.114428798363708,176.862,186.63524999999998,192.7645,181.58765,225.04374999999996,456.784,125
80,646850,51748000,4096,random,1000,197.146945,189.29250000000002,28.701531182712312,176.929,186.4525,194.18075,181.38225,239.4221,447.055,137
88,588045,51748000,4096,random,1000,196.419893,188.91,28.39635725294334,177.171,186.45024999999998,193.08775,181.5708,234.35569999999998,470.187,137
96,539041,51748000,4096,random,1000,196.280531,188.7875,28.419468084769992,178.036,186.45325,192.6825,181.2962,235.61629999999994,457.843,141
104,497576,51748000,4096,random,1000,194.881566,188.6645,25.68360389876921,177.354,185.97775,192.3335,181.1227,228.50669999999997,469.116,127
112,462035,51748000,4096,random,1000,196.264019,188.8675,27.91482891453872,176.938,186.5245,192.92149999999998,181.75889999999998,233.45905,459.451,134
120,431233,51748000,4096,random,1000,195.413995,188.9315,25.103232163967515,177.963,186.581,192.787,181.6961,231.22834999999998,419.708,132
128,404281,51748000,4096,random,1000,194.185154,187.472,25.8997033737673,175.114,185.19575,191.558,180.39069999999998,230.99389999999985,453.81,134
136,380500,51748000,4096,random,1000,195.054856,188.815,25.24275476772548,177.329,186.33125,192.37025,181.48569999999998,229.36059999999995,446.354,136
144,359361,51748000,4096,random,1000,195.910593,189.297,24.76452419611592,177.83,186.71725,193.62475,182.1361,233.45945,418.164,133
152,340447,51748000,4096,random,1000,195.627333,188.975,25.254065275100363,177.651,186.63375,192.8885,181.14305000000002,233.67464999999996,437.576,139
160,323425,51748000,4096,random,1000,196.963521,189.16199999999998,28.517377436387946,176.319,186.26075,193.87225,181.26905,238.8869,439.97,144
168,308023,51748000,4096,random,1000,195.584575,188.9645,25.308762195932562,177.308,186.48025,193.06525,181.7015,231.39724999999999,462.871,139
176,294022,51748000,4096,random,1000,196.968287,189.385,28.595306547389384,177.623,186.42525,194.1205,181.3859,235.78564999999998,451.655,139
184,281239,51748000,4096,random,1000,194.561972,188.77800000000002,23.484038615854107,177.915,186.25824999999998,192.65775000000002,181.27685,225.47894999999997,461.311,128
192,269520,51748000,4096,random,1000,194.065646,187.75900000000001,25.532664120686345,177.096,185.33024999999998,191.285,180.3351,228.92069999999993,449.789,131
200,258740,51748000,4096,random,1000,194.91001,188.76749999999998,24.47950515215523,178.725,186.29,192.99375,181.28255,229.87675,457.281,128
208,248788,51748000,4096,random,1000,196.391768,188.8295,28.391405872509967,177.59,186.354,193.19975,181.6881,233.7188,454.754,141
216,239574,51748000,4096,random,1000,196.190205,188.6765,28.437766593384136,177.244,186.37275,193.20275,181.41085,233.6246999999999,448.433,130
224,231017,51748000,4096,random,1000,195.198439,189.218,24.615601848027598,176.582,186.454,193.10825,180.88455,225.54029999999986,434.884,135
232,223051,51748000,4096,random,1000,194.62249,189.14800000000002,23.045217761122537,177.803,186.639,192.7765,181.5212,227.62804999999997,447.483,122
240,215616,51748000,4096,random,1000,194.750949,189.1365,23.10637192477272,177.068,186.62475,192.80725,181.25744999999998,228.00169999999994,452.223,135
248,208661,51748000,4096,random,1000,196.260261,188.954,28.371583869712932,176.965,186.6675,193.17575,181.54080000000002,236.95444999999998,440.049,136
256,202140,51748000,4096,random,1000,195.625178,187.578,29.465829496252404,177.274,185.0595,192.47775,180.5285,233.73149999999998,463.772,144
264,196015,51748000,4096,random,1000,197.046999,189.165,28.620394634841308,178.033,186.454,193.9625,182.23555,237.38015,464.846,141
272,190250,51748000,4096,random,1000,194.772376,188.997,23.491985784831787,177.623,186.27499999999998,193.07575,181.486,227.7694,456.738,127
280,184814,51748000,4096,random,1000,195.504753,188.9985,25.24148138082013,176.352,186.575,193.058,182.1346,229.06674999999993,445.602,126
288,179680,51748000,4096,random,1000,194.396717,188.8265,22.99697135364462,176.998,186.14475,192.45825,181.36165,227.71264999999997,436.486,127
296,174824,51748000,4096,random,1000,196.558416,188.824,28.32462705072225,178.458,186.51624999999999,193.64225,181.89555,236.22754999999992,451.522,135
304,170223,51748000,4096,random,1000,195.012953,189.2865,22.71864256087057,177.884,186.6465,193.005,181.47585,230.22834999999998,445.356,133
312,165858,51748000,4096,random,1000,195.58034,189.094,25.34026045743118,178.786,186.36,193.37075,181.53015000000002,230.75539999999998,437.645,133
320,161712,51748000,4096,random,1000,195.570125,187.90449999999998,28.60247089411374,176.662,185.31225,192.23125,180.3261,236.37379999999996,459.057,140
328,157768,51748000,4096,random,1000,195.149706,189.22750000000002,25.015369748801103,177.005,186.6885,192.47050000000002,181.41199999999998,229.59489999999997,445.198,136
336,154011,51748000,4096,random,1000,194.598061,188.99650000000003,23.21464087226221,177.541,186.4405,192.54625,181.15365,226.71384999999995,462.422,130
344,150430,51748000,4096,random,1000,196.757115,189.23149999999998,28.852675397497688,176.416,186.42,193.51274999999998,181.1875,235.54499999999996,469.926,141
352,147011,51748000,4096,random,1000,195.635194,189.118,25.77365269541024,177.338,186.2585,192.91625,181.46155,233.7826,455.312,135
360,143744,51748000,4096,random,1000,197.060892,189.32850000000002,28.23032699889962,178.321,186.797,194.132,181.67925,236.12749999999997,449.732,139
368,140619,51748000,4096,random,1000,195.780555,189.288,25.12460483811131,177.866,186.47875,193.38049999999998,181.77055,231.23284999999998,432.253,137
