stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,6468500,51748000,4096,sequential,1000,9.031547,8.9275,0.6734938795540735,8.891,8.915,8.943,8.903,9.434449999999998,20.632,152
16,3234250,51748000,4096,sequential,1000,9.149403,8.961,0.8191852788668215,8.866,8.919,9.16475,8.897,9.45515,21.976,43
24,2156166,51748000,4096,sequential,1000,9.717451,9.531,1.0441527208715704,9.049,9.3905,9.717,9.12195,10.196299999999999,23.502,49
32,1617125,51748000,4096,sequential,1000,10.267044,10.0395,1.307896166538631,9.367,9.899,10.293,9.5519,10.746999999999998,25.699,42
40,1293700,51748000,4096,sequential,1000,11.784722,11.644,1.4152095607424424,10.229,11.15125,12.02,10.74485,12.5421,27.28,26
48,1078083,51748000,4096,sequential,1000,12.70992,12.4945,1.5818833536467045,11.455,12.12825,12.826,11.907,13.1611,29.893,27
56,924071,51748000,4096,sequential,1000,14.314984,14.054,1.9474066679752522,12.812,13.701,14.344,13.38185,14.923499999999999,33.503,26
64,808562,51748000,4096,sequential,1000,17.712631,17.333,2.498795875149602,16.21,17.07125,17.539,16.704849999999997,18.2863,42.532,57
72,718722,51748000,4096,sequential,1000,19.405983,18.8545,2.8900101067519,18.004,18.65525,19.15975,18.391849999999998,20.17005,45.202,64
80,646850,51748000,4096,sequential,1000,21.406683,20.8635,3.2073198080113343,19.439,20.544,21.193,20.2669,22.114749999999997,47.818,51
88,588045,51748000,4096,sequential,1000,23.290111,22.7995,3.2101238829713448,21.141,22.382,23.247,21.911849999999998,23.89035,51.984,27
96,539041,51748000,4096,sequential,1000,25.455279,24.807,3.739542068762303,23.086,24.4055,25.29875,23.850849999999998,26.481299999999997,58.505,43
104,497576,51748000,4096,sequential,1000,27.951782,27.0755,5.176311883106271,24.995,26.6835,27.5965,26.1895,29.120949999999997,121.552,60
112,462035,51748000,4096,sequential,1000,30.573158,29.6545,4.563711044482718,28.102,29.21,30.193,28.77555,32.48595,67.514,78
120,431233,51748000,4096,sequential,1000,36.336659,35.2135,5.189852957496912,33.324,34.839,35.78125,34.358850000000004,38.267849999999996,73.926,82
128,404281,51748000,4096,sequential,1000,40.414464,39.3845,4.773569219546083,37.913,38.911,39.977,38.3587,42.349799999999995,78.718,82
136,380500,51748000,4096,sequential,1000,56.341431,55.3065,3.980939494201776,53.328,54.76,56.077749999999995,54.14085,63.87614999999995,78.705,85
144,359361,51748000,4096,sequential,1000,63.692642,62.747,3.798286001393837,60.844,62.20625,63.421,61.59985,71.03069999999998,91.122,84
152,340447,51748000,4096,sequential,1000,66.354247,65.4375,3.5501861330880344,63.09,64.853,66.3105,64.1487,72.80074999999998,90.285,82
160,323425,51748000,4096,sequential,1000,77.525333,76.742,2.988278725931511,74.16,76.159,77.61375,75.38,83.8423,95.116,83
168,308023,51748000,4096,sequential,1000,70.989498,70.1705,3.00878082286431,67.347,69.52374999999999,71.32974999999999,68.78,76.29125,93.134,75
176,294022,51748000,4096,sequential,1000,80.940849,80.2365,2.644364305609153,77.222,79.637,81.07225,78.93570000000001,86.35805,102.377,99
184,281239,51748000,4096,sequential,1000,82.389373,81.721,2.76485386680305,79.185,80.966,82.65025,80.038,88.191,98.317,90
192,269520,51748000,4096,sequential,1000,84.660283,83.83500000000001,3.0472653568512973,81.261,83.32775,84.574,82.46770000000001,90.91324999999999,102.99,115
200,258740,51748000,4096,sequential,1000,85.35747,84.428,3.8956232252893006,81.524,83.7355,85.44874999999999,82.98084999999999,91.89434999999997,160.385,98
208,248788,51748000,4096,sequential,1000,85.994937,85.20349999999999,2.855374715479003,82.896,84.541,86.26249999999999,83.69655,91.11615,107.266,92
216,239574,51748000,4096,sequential,1000,86.179779,85.16749999999999,3.225667064681532,82.699,84.6155,86.231,83.8299,93.0275,108.553,107
224,231017,51748000,4096,sequential,1000,86.887421,86.0445,3.266946647277111,83.106,85.20824999999999,87.12975,84.21284999999999,93.9595,106.328,92
232,223051,51748000,4096,sequential,1000,87.618921,86.83949999999999,2.9895477176849536,84.386,86.09325,87.839,85.2137,93.97049999999999,108.177,88
240,215616,51748000,4096,sequential,1000,88.018327,87.502,2.59150003482568,83.827,86.5835,88.4385,85.5788,93.74709999999999,102.745,73
248,208661,51748000,4096,sequential,1000,85.433855,84.87899999999999,2.486008853160622,82.138,83.79925,86.04525000000001,83.11055,92.224,96.964,68
256,202140,51748000,4096,sequential,1000,81.765234,81.256,2.007785296549669,79.139,80.67725,82.0695,79.93765,85.40684999999999,94.394,70
264,196015,51748000,4096,sequential,1000,84.655129,84.046,2.7999410723026594,79.998,83.55025,84.76225,82.1361,89.83184999999999,125.297,130
272,190250,51748000,4096,sequential,1000,85.39759,84.8305,2.926129780681881,80.696,83.8315,85.93,82.4464,92.0504,106.067,72
280,184814,51748000,4096,sequential,1000,85.91585,85.406,2.861892178671716,79.346,84.54175000000001,86.395,82.97585,92.03664999999998,107.536,84
288,179680,51748000,4096,sequential,1000,85.502795,84.944,3.002212307901744,78.199,83.9745,86.05425000000001,82.36155,91.80705,103.391,91
296,174824,51748000,4096,sequential,1000,83.302368,84.16550000000001,4.725910965838548,71.884,79.74,86.0385,75.9746,90.37805,104.24,18
304,170223,51748000,4096,sequential,1000,77.059597,76.906,3.980767212006649,64.437,74.50649999999999,79.36250000000001,71.1938,83.76919999999998,94.628,35
312,165858,51748000,4096,sequential,1000,75.315384,75.155,4.362085859952048,62.42,72.44725,77.622,68.82395,82.2655,95.774,31
320,161712,51748000,4096,sequential,1000,72.568499,72.509,6.045267691795332,51.164,68.837,76.59075,63.17435,81.86705,95.198,20
328,157768,51748000,4096,sequential,1000,65.657584,65.3735,5.443199864758937,51.067,62.02625,68.86775,57.381949999999996,74.8771,90.467,16
336,154011,51748000,4096,sequential,1000,62.083015,61.834,5.57877444149197,47.987,58.02875,65.79775000000001,53.355,71.10364999999999,83.424,8
344,150430,51748000,4096,sequential,1000,31.806745,31.551000000000002,1.7626838992013014,29.893,31.09025,32.12375,30.50285,33.4031,69.872,41
352,147011,51748000,4096,sequential,1000,30.92291,30.6865,1.188179946592891,29.532,30.35025,31.1625,29.90155,32.3601,39.813,50
360,143744,51748000,4096,sequential,1000,30.235686,29.966,1.1492167482849085,29.065,29.6825,30.399,29.358800000000002,31.67445,39.8,64
368,140619,51748000,4096,sequential,1000,29.882617,29.6875,1.0400202500102735,29.116,29.528,29.902,29.324849999999998,30.65405,39.585,61
376,137627,51748000,4096,sequential,1000,30.016128,29.82,0.9851360985918387,29.228,29.656,30.06825,29.456,30.797499999999996,38.338,60
384,134760,51748000,4096,sequential,1000,34.863972,34.423,2.8579077245036757,29.717,32.8255,36.517,31.03275,40.35699999999999,53.215,13
392,132010,51748000,4096,sequential,1000,29.947083,29.768,1.0472343213602364,29.179,29.629,29.926,29.452849999999998,30.620249999999995,40.395,65
400,129370,51748000,4096,sequential,1000,29.78922,29.616,1.0823556454989012,29.119,29.498,29.74475,29.319,30.08715,40.046,49
408,126833,51748000,4096,sequential,1000,29.689426,29.527,0.9936671026228224,29.061,29.404,29.656,29.243949999999998,30.068699999999996,39.224,51
416,124394,51748000,4096,sequential,1000,29.761832,29.586,1.0424021508132166,28.995,29.429,29.762,29.21885,30.1543,39.676,47
424,122047,51748000,4096,sequential,1000,29.809993,29.638,1.0857353416846958,28.94,29.471,29.793,29.2708,30.425949999999997,39.755,53
432,119787,51748000,4096,sequential,1000,29.845886,29.68,1.033659763902761,28.934,29.507,29.859750000000002,29.271,30.469150000000003,39.348,54
440,117609,51748000,4096,sequential,1000,29.86433,29.680500000000002,1.0761729225636831,29.228,29.58,29.793,29.447,30.1325,39.233,55
448,115508,51748000,4096,sequential,1000,29.45813,29.2965,0.9829854462236394,28.842,29.1815,29.42575,29.037,29.88035,38.368,53
456,113482,51748000,4096,sequential,1000,30.019171,29.847,1.0167960857709077,29.407,29.73125,29.981,29.574,30.281,39.473,45
464,111525,51748000,4096,sequential,1000,30.009097,29.847,0.9820133705051326,29.373,29.738,29.95925,29.595,30.37005,38.62,55
472,109635,51748000,4096,sequential,1000,29.985274,29.802,1.067506613231643,29.234,29.695,29.917,29.54095,30.2975,39.415,54
480,107808,51748000,4096,sequential,1000,30.031372,29.853,1.0275275989396015,29.386,29.738,29.981,29.5887,30.437649999999998,39.488,53
488,106040,51748000,4096,sequential,1000,29.872655,29.69,1.078309941670439,29.219,29.565,29.80275,29.404,30.1236,39.138,49
496,104330,51748000,4096,sequential,1000,29.833336,29.635,1.0970240648695466,29.222,29.523,29.766,29.37095,30.15745,41.63,53
504,102674,51748000,4096,sequential,1000,29.816119,29.583,2.0714332106986664,28.803,29.413,29.756,29.1519,30.3034,85.7,57
512,101070,51748000,4096,sequential,1000,87.68115,86.92750000000001,3.1537126865345884,84.264,86.21825,87.76,85.44184999999999,94.2497,110.033,80
520,99515,51748000,4096,sequential,1000,29.861576,29.686,1.0897629400422322,28.837,29.465,29.89375,29.234,30.47274999999999,41.023,50
528,98007,51748000,4096,sequential,1000,29.929442,29.729,1.0978532563181693,29.28,29.625,29.848,29.47385,30.16375,41.885,50
536,96544,51748000,4096,sequential,1000,30.038362,29.85,1.0769646530039043,29.386,29.735,29.9755,29.55885,30.465249999999997,39.667,55
544,95125,51748000,4096,sequential,1000,30.163949,29.966,1.056998082943553,29.483,29.865,30.099,29.713849999999997,30.47685,38.963,54
552,93746,51748000,4096,sequential,1000,30.251182,30.09,1.081070577932112,29.398,29.92225,30.2395,29.701800000000002,30.61545,39.918,48
560,92407,51748000,4096,sequential,1000,30.319427,30.114,1.1817663061169386,29.498,29.9645,30.3035,29.74985,30.999449999999996,42.44,60
568,91105,51748000,4096,sequential,1000,30.287562,30.099,1.1120316553761223,29.692,29.999,30.223,29.85,30.5943,41.566,51
576,89840,51748000,4096,sequential,1000,29.893449,29.696,1.2964561511871315,29.143,29.556,29.817,29.36675,30.3947,50.591,54
584,88609,51748000,4096,sequential,1000,30.398721,30.196,1.1159014684309032,29.611,30.084,30.32025,29.932,30.76329999999999,40.155,55
592,87412,51748000,4096,sequential,1000,30.374298,30.187,1.1276577908609018,29.577,30.073500000000003,30.293,29.9469,30.746899999999997,41.463,55
600,86246,51748000,4096,sequential,1000,30.318563,30.139,1.0623593193239067,29.671,30.0285,30.248,29.884,30.786949999999997,39.188,53
