num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,9.021855,8.888,3.1467883998146755,8.867,8.888,8.891,8.888,8.894,106.243,36
3,32768,sequential,1000,12.028928,8.888,98.0946329026064,8.879,8.888,8.891,8.888,8.891,3110.894,32
4,32768,sequential,1000,25.363417,8.888,497.22306657353084,8.869,8.888,8.891,8.888,8.891,15715.535,25
5,32768,sequential,1000,8.961018,8.888,1.4364255734649478,8.872,8.888,8.891,8.888,8.894,51.131,39
6,32768,sequential,1000,8.932143,8.888,0.6799008410825101,8.851,8.888,8.891,8.888,8.894,22.042,32
7,32768,sequential,1000,8.937737,8.888,0.7113800020652382,8.866,8.888,8.891,8.888,8.894,22.207,50
8,32768,sequential,1000,12.757864,12.672,0.9018365420921092,11.479,12.48325,13.057,12.119399999999999,13.33,28.308,13
9,32768,sequential,1000,18.137894,18.022,0.8316702328087378,17.333,17.75925,18.41675,17.557949999999998,18.659,30.351,8
10,32768,sequential,1000,20.517162,20.434,0.956476674773298,20.313,20.419,20.444,20.37,20.462,36.332,94
11,32768,sequential,1000,20.712619,20.589,1.6364029413397623,20.519,20.571,20.592,20.552,20.641,63.791,109
12,32768,sequential,1000,20.695437,20.613,0.8444787104026503,20.555,20.607,20.626,20.586,20.647,32.53,58
13,32768,sequential,1000,20.964425,20.889,0.9183761632099082,20.777,20.85,20.905,20.8069,20.938,35.488,10
14,32768,sequential,1000,21.052667,20.9805,0.8223367873948624,20.895,20.944,21.011,20.92295,21.029,32.854,9
15,32768,sequential,1000,21.108052,21.032,0.8185949676225825,20.947,21.017,21.053,20.987,21.069,32.332,16
16,32768,sequential,1000,21.111411,21.029,0.8923986247100477,20.956,21.016,21.056,20.974,21.078,31.89,11
17,32768,sequential,1000,21.33274,21.257,0.8775153067118052,21.144,21.187,21.299,21.173849999999998,21.323150000000002,36.593,9
18,32768,sequential,1000,21.401479,21.293,0.9029100032855064,21.202,21.242,21.405,21.229,21.418,33.264,11
19,32768,sequential,1000,21.458645,21.375,0.9436245907898667,21.262,21.314,21.415,21.293,21.43015,35.106,10
20,32768,sequential,1000,21.422525,21.342,0.8206395790441098,21.277,21.308,21.363,21.299,21.396,32.117,13
21,32768,sequential,1000,21.551123,21.463,0.9397645563077448,21.362,21.439,21.487,21.408,21.5,38.186,16
22,32768,sequential,1000,21.567047000000002,21.475,0.9186994903364998,21.39,21.469,21.481,21.438,21.527,33.583,236
23,32768,sequential,1000,21.658969,21.527,1.3666043990938352,21.414,21.514,21.554,21.489849999999997,21.651,54.535,225
24,32768,sequential,1000,21.584546,21.517,0.8244027375971998,21.36,21.469,21.539,21.405,21.58745,34.657,14
25,32768,sequential,1000,21.687371,21.597,0.9553908545951464,21.487,21.584,21.615,21.542,21.636,34.845,43
26,32768,sequential,1000,21.718668,21.624,0.9718084448230678,21.536,21.608,21.642,21.572,21.673,37.212,19
27,32768,sequential,1000,21.742176999999998,21.63,0.8870030022480178,21.536,21.627,21.69,21.612,21.703,32.867,10
28,32768,sequential,1000,21.768285,21.675,0.9574629188725879,21.541,21.66,21.688499999999998,21.65085,21.706,33.564,41
29,32768,sequential,1000,21.795444,21.724,0.8600360997986984,21.617,21.687,21.742,21.654,21.758,33.686,10
30,32768,sequential,1000,21.781238000000002,21.706,0.7910643008530241,21.627,21.696,21.709,21.69,21.721,33.692,62
31,32768,sequential,1000,21.783921,21.69,0.8819615382282346,21.611,21.663,21.727,21.654,21.773,33.798,10
32,32768,sequential,1000,21.778817,21.702,0.9282095110520079,21.566,21.66,21.721,21.566,21.745,33.094,80
33,32768,sequential,1000,21.884581,21.791,0.8749252251413195,21.699,21.764,21.827,21.751,21.852,34.189,10
34,32768,sequential,1000,21.861833,21.766,0.9347116426823654,21.708,21.742,21.80525,21.721,21.827,36.599,10
35,32768,sequential,1000,21.862707,21.772,0.8798514145369447,21.699,21.757,21.818,21.736,21.818,38.201,10
36,32768,sequential,1000,21.888702,21.788,0.8468531936100422,21.714,21.775,21.839,21.763,21.852,33.167,13
37,32768,sequential,1000,21.892496,21.797,0.9713469106373915,21.708,21.77,21.818,21.757,21.857,38.338,13
38,32768,sequential,1000,21.917535,21.827,0.8735543566309935,21.76,21.821,21.854,21.797,21.873,35.464,15
39,32768,sequential,1000,21.930426,21.836,0.9456516502219872,21.763,21.827,21.851,21.8,21.864,35.665,61
40,32768,sequential,1000,21.918419,21.83,0.8250999256613264,21.742,21.824,21.86,21.789849999999998,21.873150000000003,33.561,35
