num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,8.929819,8.885,0.7190160459359118,8.86,8.876,8.894,8.873,8.91,24.419,12
3,32768,random,1000,8.927751,8.885,0.6919085665486904,8.86,8.882,8.885,8.873,8.897,21.603,461
4,32768,random,1000,13.126275999999999,8.885,133.00589249597354,8.86,8.882,8.885,8.863,8.897,4214.897,368
5,32768,random,1000,32.050662,8.885,731.3010790722121,8.86,8.882,8.891,8.873,8.897,23134.687,46
6,32768,random,1000,8.928303999999999,8.885,0.7035472011515987,8.86,8.876,8.888,8.869,8.897,22.525,28
7,32768,random,1000,8.9279,8.885,0.7165294805494722,8.86,8.876,8.894,8.86285,8.897,24.673,6
8,32768,random,1000,8.93357,8.885,0.7886010986505109,8.86,8.882,8.885,8.873,8.897,24.843,401
9,32768,random,1000,18.626293,18.553,0.8626651832370246,18.161,18.495,18.617,18.341,18.762,32.248,54
10,32768,random,1000,22.125226,22.052,0.7921021365447253,22.039,22.042,22.055,22.039,22.058,32.487,9
11,32768,random,1000,22.142492,22.052,0.958734571147778,22.039,22.042,22.055,22.039,22.058,36.805,10
12,32768,random,1000,22.139462,22.052,0.9046910690873909,22.039,22.042,22.055,22.039,22.058,33.935,10
13,32768,random,1000,22.082347,21.997,0.8911025768077396,21.978,21.994,21.997,21.984,22.0,34.283,87
14,32768,random,1000,22.146158,22.052,0.9332093563283314,22.039,22.042,22.055,22.039,22.058,35.321,11
15,32768,random,1000,22.1301,22.052,0.8160426101261755,22.039,22.042,22.055,22.039,22.058,33.504,10
16,32768,random,1000,22.134399000000002,22.052,0.8686127779148525,22.039,22.042,22.055,22.039,22.058,35.543,10
17,32768,random,1000,22.139851,22.052,0.9114286384363626,22.039,22.042,22.055,22.039,22.058,33.68,10
18,32768,random,1000,22.07959,21.997,0.8414833403651626,21.978,21.994,21.997,21.991,22.0,32.821,70
19,32768,random,1000,22.135647,22.052,0.8671397405958976,22.039,22.042,22.055,22.039,22.058,32.936,10
20,32768,random,1000,22.14333,22.052,0.9484147877957775,22.039,22.042,22.055,22.039,22.058,34.526,10
21,32768,random,1000,22.140375,22.052,0.8751040701016698,22.039,22.042,22.055,22.039,22.058,32.852,11
22,32768,random,1000,22.133731,22.052,0.854213051044981,22.039,22.042,22.055,22.039,22.058,33.91,11
23,32768,random,1000,22.134953,22.052,0.8700763769306075,22.039,22.042,22.055,22.039,22.058,35.37,10
24,32768,random,1000,22.122853,22.052,0.7726020860536,22.039,22.042,22.055,22.039,22.058,31.495,10
25,32768,random,1000,22.139045,22.052,0.9060758303725938,22.039,22.042,22.055,22.039,22.058,35.361,11
26,32768,random,1000,22.144914,22.052,0.9571338233286709,22.039,22.042,22.055,22.039,22.058,34.132,10
27,32768,random,1000,22.138304,22.052,0.8915881352883668,22.039,22.042,22.055,22.039,22.058,33.246,11
28,32768,random,1000,22.135609,22.052,0.9036229648374268,22.039,22.042,22.055,22.039,22.058,38.857,10
29,32768,random,1000,22.136891000000002,22.052,0.8919822450275814,22.039,22.042,22.055,22.039,22.058,35.522,10
30,32768,random,1000,22.12817,22.052,0.8548017987903482,22.039,22.042,22.055,22.039,22.058,37.297,10
31,32768,random,1000,22.134372,22.052,0.852936791788692,22.039,22.042,22.055,22.039,22.058,32.626,10
32,32768,random,1000,22.081093,21.997,0.8649050948943324,21.981,21.997,21.997,21.994,22.0,34.475,406
33,32768,random,1000,22.134177,22.052,0.8711928573316391,22.039,22.042,22.055,22.039,22.058,35.764,10
34,32768,random,1000,22.075714,21.994,0.834487757862284,21.978,21.994,21.997,21.984,22.0,35.3,90
35,32768,random,1000,22.138568,22.052,0.8680489746543097,22.039,22.042,22.055,22.039,22.058,34.49,12
36,32768,random,1000,22.131411,22.052,0.8264643533791437,22.039,22.042,22.055,22.039,22.058,33.586,10
37,32768,random,1000,22.137204,22.052,0.8858994447510452,22.039,22.042,22.055,22.039,22.058,34.884,12
38,32768,random,1000,22.135874,22.052,0.8699242048858316,22.039,22.042,22.055,22.039,22.058,33.54,10
39,32768,random,1000,22.133115,22.052,0.8471658348438791,22.039,22.042,22.055,22.039,22.058,34.296,10
40,32768,random,1000,22.137633,22.052,0.8534441734924835,22.039,22.042,22.055,22.039,22.058,34.79,12
