num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,8.923201,8.882,0.6444314847503476,8.86,8.882,8.885,8.869,8.897,23.017,386
3,32768,sequential,1000,9.052529,8.885,4.469671866228074,8.86,8.882,8.885,8.873,8.897,149.345,367
4,32768,sequential,1000,13.171872,8.8835,134.61248438753591,8.86,8.882,8.885,8.872,8.897,4265.697,307
5,32768,sequential,1000,11.715477,8.885,88.16547733061056,8.86,8.882,8.885,8.872,8.897,2796.879,328
6,32768,sequential,1000,8.929813,8.882,0.7350832479470693,8.86,8.882,8.885,8.869,8.897,23.702,336
7,32768,sequential,1000,8.931236,8.885,0.7658151782193868,8.86,8.882,8.885,8.872,8.897,25.259,324
8,32768,sequential,1000,8.927337,8.885,0.6730491145091431,8.86,8.876,8.897,8.863,8.91,20.607,12
9,32768,sequential,1000,18.898924,18.826,0.9395580277510864,18.428,18.768,18.868,18.677,18.896,31.279,30
10,32768,sequential,1000,22.139566000000002,22.055,0.9199520440802376,22.039,22.042,22.058,22.039,22.061,37.885,10
11,32768,sequential,1000,22.140778,22.055,0.9248244898644569,22.039,22.042,22.058,22.039,22.058,36.945,10
12,32768,sequential,1000,22.146546,22.052,0.981110968553821,22.039,22.042,22.058,22.039,22.061,36.759,10
13,32768,sequential,1000,22.132921,22.052,0.9055788280281141,21.963,22.042,22.058,21.982,22.058,36.35,104
14,32768,sequential,1000,22.148332,22.052,1.0116505674622274,22.039,22.042,22.058,22.039,22.058,37.691,10
15,32768,sequential,1000,22.140884,22.052,0.9372129526754646,22.039,22.042,22.058,22.039,22.058,38.067,10
16,32768,sequential,1000,22.130007,22.052,0.8068590449821266,22.039,22.042,22.058,22.039,22.058,32.63,10
17,32768,sequential,1000,22.14319,22.052,0.9409059463622811,22.039,22.045,22.058,22.039,22.058,36.38,10
18,32768,sequential,1000,22.107722,21.997,0.9243539013012553,21.978,21.994,22.051,21.994,22.058,36.957,10
19,32768,sequential,1000,22.145321,22.052,0.9727331400341619,22.039,22.042,22.055,22.039,22.058,36.611,10
20,32768,sequential,1000,22.08615,21.994,0.9434621286984911,21.978,21.994,21.997,21.984,22.0,38.068,81
21,32768,sequential,1000,22.121154,22.052,0.7541939517132186,22.039,22.042,22.055,22.039,22.058,32.272,10
22,32768,sequential,1000,22.133326,22.052,0.8677937079995702,22.039,22.042,22.055,22.039,22.058,37.534,10
23,32768,sequential,1000,22.143725,22.052,0.9756229484347487,21.966,22.042,22.058,22.039,22.058,36.766,23
24,32768,sequential,1000,22.141279,22.052,0.9369903820931862,22.039,22.042,22.058,22.039,22.058,37.367,10
25,32768,sequential,1000,22.143013,22.052,0.9824305189455159,21.981,22.042,22.055,22.039,22.058,36.963,41
26,32768,sequential,1000,32.708855,32.589,1.0603228680734746,32.387,32.569,32.618,32.512,32.627,47.208,17
27,32768,sequential,1000,32.304193999999995,32.175,1.1177667022973823,32.056,32.157,32.19,32.141,32.217,45.782,22
28,32768,sequential,1000,31.935874000000002,31.819,1.048669680224532,31.544,31.792,31.847,31.726,31.88,46.24,21
29,32768,sequential,1000,31.24131,31.416,1.093112908958508,30.496,30.624,31.468,30.545,31.513,45.478,14
30,32768,sequential,1000,31.393121999999998,31.271,1.0571677154996244,31.212,31.249,31.288,31.228,31.3071,47.183,15
31,32768,sequential,1000,30.966846,30.846,1.022295806016536,30.579,30.818,30.876,30.785,30.9401,46.449,22
32,32768,sequential,1000,30.068234,29.983,1.0359376854483728,29.407,29.789749999999998,30.093,29.60785,30.36315,44.488,14
33,32768,sequential,1000,29.81146,29.562,0.9759829963729947,29.14,29.483,30.01775,29.22785,30.36015,40.76,13
34,32768,sequential,1000,30.342256,30.226,1.000703337475015,30.056,30.199,30.263,30.169,30.293,41.226,14
35,32768,sequential,1000,29.934667,29.814,1.0579281081401481,29.753,29.787,29.847,29.759,29.88415,45.912,14
36,32768,sequential,1000,29.819747,29.726,0.972958025976101,29.586,29.686,29.744,29.6099,29.778,45.171,20
37,32768,sequential,1000,29.672013,29.553,1.0334242393564657,29.516,29.54675,29.568,29.534,29.593,45.001,41
38,32768,sequential,1000,29.431066,29.316,0.9958256887861683,29.231,29.292,29.35,29.258,29.404,44.634,13
39,32768,sequential,1000,28.61088,28.503,1.078769364109373,28.129,28.257,28.69175,28.17485,29.0092,45.123,13
40,32768,sequential,1000,29.065803,28.952,1.0756515832366538,28.912,28.928,28.961,28.918,28.982,45.429,16
