num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,33554432,sequential,1000,8.927351999999999,8.885,0.6767779506533074,8.86,8.882,8.885,8.872,8.89715,21.108,468
3,33554432,sequential,1000,8.938682,8.885,0.9225881506781733,8.86,8.882,8.885,8.869,8.897,31.316,386
4,33554432,sequential,1000,24.773307,8.885,500.60832473787093,8.86,8.882,8.888,8.869,8.897,15839.539,115
5,33554432,sequential,1000,8.925341,8.885,0.6321924295552636,8.86,8.876,8.897,8.86,8.91,19.272,8
6,33554432,sequential,1000,14.829761,14.778,0.7128641140667161,14.726,14.769,14.778,14.75885,14.784,25.626,14
7,33554432,sequential,1000,14.986065,14.921,0.7919619564824535,14.902,14.911,14.927,14.905,14.933,25.802,10
8,33554432,sequential,1000,15.103261999999999,15.033,0.8733654988895833,15.002,15.02625,15.036,15.014,15.039,30.372,74
9,33554432,sequential,1000,21.327983,21.2325,0.9559537186617474,21.011,21.211,21.275,21.156,21.287,35.41,41
10,33554432,sequential,1000,46.862637,47.165,1.4816943197867394,45.268,45.982,47.222,45.647,47.38,58.508,22
11,33554432,sequential,1000,46.830193,46.834,1.4418178832846953,45.629,46.08175,47.0115,45.799,47.22505,63.958,21
12,33554432,sequential,1000,47.374081,46.9555,1.4967611721465268,46.482,46.713,47.742,46.57585,47.86015,64.222,22
13,33554432,sequential,1000,47.332834,47.1045,1.3596143363423274,46.337,46.78,47.542500000000004,46.473,48.0183,61.779,21
14,33554432,sequential,1000,49.010469,48.84,1.5145980114126572,48.218,48.755,48.937,48.297,49.171,66.822,208
15,33554432,sequential,1000,49.267688,48.995,1.38862465233809,48.658,48.901,49.31,48.7849,49.480199999999996,65.693,22
16,33554432,sequential,1000,49.04197,48.9005,1.2721530845659146,48.327,48.858,48.928749999999994,48.4389,49.062,62.447,193
17,33554432,sequential,1000,49.178864,48.992,1.445707080451108,48.415,48.94975,49.06125,48.54295,49.31935,66.443,210
18,33554432,sequential,1000,48.990106,48.7535,1.340337006149593,48.491,48.609,48.983,48.542,49.146,63.324,22
19,33554432,sequential,1000,48.871226,48.728,1.3203114440287314,48.182,48.445,48.895,48.263,49.13415,59.798,22
20,33554432,sequential,1000,49.625533,49.544,1.422932367835673,48.991,49.171,49.626,49.037,49.9271,65.101,22
21,33554432,sequential,1000,49.052348,48.879,1.321958939730858,48.53,48.661,49.01975,48.585,49.2986,64.452,23
22,33554432,sequential,1000,49.457412,49.3485,1.2368082903194833,48.828,49.0575,49.474,48.93985,49.669149999999995,59.697,24
23,33554432,sequential,1000,49.334004,49.198,1.3322687281280559,48.661,48.907,49.283,48.788,49.462300000000006,60.422,23
24,33554432,sequential,1000,49.225011,48.9625,1.2266142969623794,48.606,48.834,49.271,48.7089,49.547,59.518,22
25,33554432,sequential,1000,48.831519,48.719,1.303293576207903,48.178,48.4135,48.79725,48.27595,49.004,59.795,23
26,33554432,sequential,1000,48.69737,48.4445,1.2712326197330974,48.127,48.342,48.749,48.20295,48.89815,59.889,23
27,33554432,sequential,1000,48.372232,48.255,1.4110255877854891,47.699,47.932249999999996,48.3495,47.772,48.551050000000004,64.371,22
28,33554432,sequential,1000,48.943777,48.688,1.3477286595642355,48.34,48.56625,48.95825,48.437,49.1403,60.568,22
29,33554432,sequential,1000,49.041506,48.8625,1.3959895052122213,48.224,48.628,49.034,48.491,49.271,65.059,22
30,33554432,sequential,1000,49.485883,49.3425,1.2932846935650364,48.791,49.098,49.48,48.92485,49.699149999999996,62.016,23
31,33554432,sequential,1000,49.085886,48.788,1.4387653396946656,48.448,48.649,49.11,48.534,49.401050000000005,64.407,23
32,33554432,sequential,1000,49.557482,49.411,1.3498918770611799,48.673,49.338,49.478,48.88895,49.632149999999996,60.004,194
33,33554432,sequential,1000,49.688689000000004,49.435,1.8428229423022917,48.891,49.401,49.523,49.365,49.69505,92.864,58
34,33554432,sequential,1000,49.603656,49.407,1.3397026793034836,48.955,49.201,49.581500000000005,49.09785,49.91115,61.078,25
35,33554432,sequential,1000,49.573506,49.307,1.3796175530039316,49.007,49.216,49.629,49.101,49.73215,63.494,21
36,33554432,sequential,1000,50.241337,50.126,1.3138954656766746,49.62,49.8675,50.166,49.696,50.297,60.319,24
37,33554432,sequential,1000,49.851419,49.859,1.3465465818664186,49.156,49.38675,49.884,49.243,49.999300000000005,62.635,23
38,33554432,sequential,1000,49.83921,49.789,1.3212476729641995,49.14,49.4035,49.826,49.316,49.887,61.673,22
39,33554432,sequential,1000,49.589352,49.323,1.296265215766282,49.052,49.249,49.623,49.131,49.8325,59.127,23
40,33554432,sequential,1000,50.217411,50.105,1.3275983253199715,49.65,49.82225,50.187,49.74085,50.35115,59.883,23
