num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,33554432,random,1000,8.928904,8.885,0.7252662282816468,8.86,8.882,8.885,8.872,8.897,24.764,278
3,33554432,random,1000,12.249483999999999,8.885,104.94866002616246,8.86,8.882,8.885,8.873,8.897,3327.62,288
4,33554432,random,1000,8.925639,8.885,0.6576731046588354,8.86,8.882,8.885,8.873,8.897,21.778,339
5,33554432,random,1000,8.922489,8.885,0.6156625555133765,8.86,8.882,8.885,8.873,8.897,20.255,348
6,33554432,random,1000,14.845689,14.778,0.8481921351776242,14.739,14.772,14.781,14.762,14.784,26.71,37
7,33554432,random,1000,14.987833,14.921,0.809546573561871,14.899,14.914,14.927,14.905,14.936,25.86,9
8,33554432,random,1000,15.102936,15.033,0.8924873554194388,15.002,15.03,15.036,15.017,15.039,32.609,170
9,33554432,random,1000,21.354473,21.271,0.9940774301875123,21.111,21.227,21.278,21.211,21.287,34.638,16
10,33554432,random,1000,50.215450000000004,49.978,1.4256192134092613,49.629,49.936,50.05025,49.911,50.21515,64.149,47
11,33554432,random,1000,50.844163,50.597,1.5317219318490896,50.43,50.527,50.685,50.472,50.867149999999995,67.851,41
12,33554432,random,1000,50.676099,50.475,1.297175514537071,50.293,50.424,50.527,50.369,50.67315,64.373,49
13,33554432,random,1000,51.134418,50.882,1.409373662090858,50.767,50.84275,50.9775,50.8179,51.1801,64.717,51
14,33554432,random,1000,50.118281,49.875,1.3967271060044792,49.765,49.841,49.978,49.811,50.12305,65.694,35
15,33554432,random,1000,51.199327,50.937,1.357269180265543,50.861,50.9,51.049,50.876,51.356,64.541,74
16,33554432,random,1000,51.303099,51.071,1.3570500432994426,50.976,51.031,51.137,51.0,51.33715,64.774,66
17,33554432,random,1000,50.868641000000004,50.645,1.3903222281244791,50.402,50.555,50.7465,50.479,50.99105,64.798,44
18,33554432,random,1000,50.865545000000004,50.621,1.3889371491825606,50.515,50.578,50.7105,50.536,50.94945,65.001,60
19,33554432,random,1000,50.750001,50.533,1.3266997947329093,50.421,50.491,50.594750000000005,50.445,50.773450000000004,65.448,63
20,33554432,random,1000,51.27273,51.028,1.3770969548739564,50.9,50.976,51.134,50.94,51.38615,67.266,56
21,33554432,random,1000,51.673585,51.442,1.305025267849142,51.349,51.407,51.523,51.376850000000005,51.72,64.033,55
22,33554432,random,1000,51.336419,51.107,1.3165466313319372,50.988,51.067,51.197,51.022,51.398,62.622,52
23,33554432,random,1000,51.364271,51.122,1.4613724607464134,50.994,51.068,51.182,51.016,51.40115,65.852,69
24,33554432,random,1000,51.624542,51.392,1.6822998308734853,51.325,51.371,51.40725,51.346,51.5443,85.736,107
25,33554432,random,1000,50.834413,50.624,1.4342162740506577,50.412,50.536,50.688,50.487,50.834450000000004,66.85,37
26,33554432,random,1000,51.049619,50.837,1.3049830790763823,50.743,50.807,50.87675,50.77,51.0403,61.576,90
27,33554432,random,1000,50.96403,50.706,1.4042065999258353,50.536,50.639,50.837,50.588,51.13115,62.152,49
28,33554432,random,1000,51.196234,50.964,1.3369452733406513,50.864,50.916,51.049,50.888,51.255050000000004,61.621,52
29,33554432,random,1000,51.277347999999996,51.046,1.342488930093438,50.964,51.019,51.09125,50.992,51.32215,62.647,95
30,33554432,random,1000,50.790107,50.567,1.462908970581289,50.299,50.47,50.655,50.363,50.861149999999995,63.612,36
31,33554432,random,1000,50.920212,50.685,1.3829697995699408,50.552,50.636,50.767,50.6,50.9553,61.473,48
32,33554432,random,1000,49.49996,47.9705,8.153383825762786,46.191,46.464,50.078,46.32385,50.399,119.803,41
33,33554432,random,1000,50.495599,50.266,1.3659483280981148,50.136,50.232749999999996,50.327749999999995,50.193,50.524,61.564,71
34,33554432,random,1000,49.793718999999996,49.594,1.352218112533205,49.304,49.508,49.668,49.40985,49.86,60.811,36
35,33554432,random,1000,49.792586,49.599,1.2388549722409992,49.483,49.568,49.623,49.528850000000006,49.7813,60.917,83
36,33554432,random,1000,50.077633,49.866,1.2927929121962358,49.777,49.832,49.911,49.802,50.096349999999994,61.318,81
37,33554432,random,1000,50.178792,50.002,1.3444455022218058,49.395,49.987,50.018,49.603899999999996,50.151,63.527,196
38,33554432,random,1000,49.846251,49.644,1.3140197082969467,49.365,49.570499999999996,49.714,49.477,49.899300000000004,60.638,42
39,33554432,random,1000,50.241574,50.014,1.4013860715182824,49.899,49.975,50.063,49.935,50.248149999999995,60.586,64
40,33554432,random,1000,49.904332,49.69,1.3752871192723493,49.592,49.651,49.726,49.62,49.857,61.594,57
