stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,2048,65536,4096,random,1000,13.618739,13.428,4.125442542206598,13.285,13.403,13.449,13.3419,13.507,139.908,80
33,1985,65536,4096,random,1000,14.763157,14.66,1.315349072122124,14.468,14.587,14.738,14.514,14.823,42.832,9
34,1927,65536,4096,random,1000,30.264113,14.3925,499.44325378219173,14.192,14.305,14.466,14.247,14.53215,15808.22,12
35,1872,65536,4096,random,1000,14.809824,14.750499999999999,0.8245651124372463,14.559,14.699,14.79,14.62,14.84215,26.816,11
36,1820,65536,4096,random,1000,14.379485,14.314,0.8398337004546909,14.125,14.247,14.362,14.183,14.447149999999999,27.317,10
37,1771,65536,4096,random,1000,14.740442,14.687,0.8296013313664613,14.423,14.565750000000001,14.77875,14.483,14.845,27.131,9
38,1724,65536,4096,random,1000,14.615968,14.563,0.7695004586950757,14.426,14.535,14.587,14.4709,14.617,27.917,39
39,1680,65536,4096,random,1000,14.857319,14.811,0.65278404717889,14.693,14.775,14.854,14.73,14.884,25.129,8
40,1638,65536,4096,random,1000,13.576905,13.513,0.8118605332817334,13.404,13.485,13.534,13.446,13.55515,24.464,15
41,1598,65536,4096,random,1000,14.816406,14.808499999999999,0.7741454995144119,14.417,14.632,14.869,14.5009,14.951,25.796,8
42,1560,65536,4096,random,1000,14.647795,14.582,0.7433581009454604,14.377,14.523,14.65625,14.426,14.78415,24.482,7
43,1524,65536,4096,random,1000,14.992212,14.941500000000001,0.8065990658989812,14.741,14.872,14.975,14.799,15.018,26.977,9
44,1489,65536,4096,random,1000,14.366373,14.326,0.7812968556494052,14.116,14.22,14.371,14.159,14.414,25.632,10
45,1456,65536,4096,random,1000,15.14961,15.083,0.8025730542495227,14.963,15.048,15.121,14.999,15.166,28.603,9
46,1424,65536,4096,random,1000,14.80149,14.722000000000001,0.8499556662170883,14.611,14.687,14.766,14.645,14.848,25.963,14
47,1394,65536,4096,random,1000,15.032147,14.957,0.8143239545131249,14.814,14.9,15.01725,14.86,15.121,28.506,8
48,1365,65536,4096,random,1000,13.911034,13.846,0.7573342115288019,13.755,13.813,13.886,13.786,13.938,25.565,9
49,1337,65536,4096,random,1000,15.148531,15.09,0.8416372843198887,14.872,15.036,15.139,14.9229,15.2,26.801,15
50,1310,65536,4096,random,1000,14.964052,14.887,0.8540835790811436,14.744,14.851,14.942,14.8079,14.99,29.052,9
51,1285,65536,4096,random,1000,15.194317,15.1465,0.8804628324411601,14.896,15.048,15.196,14.951,15.245149999999999,28.821,10
52,1260,65536,4096,random,1000,14.875827,14.811,0.8320875270809699,14.693,14.781,14.839,14.735,14.872,29.201,10
53,1236,65536,4096,random,1000,15.338815,15.257,0.7872619997378453,15.081,15.212,15.333,15.13885,15.433,27.107,12
54,1213,65536,4096,random,1000,15.368360000000001,15.3,0.8487756549951893,15.181,15.272,15.324,15.23,15.3641,27.393,17
55,1191,65536,4096,random,1000,15.417861,15.349,0.8365579961723874,15.233,15.315,15.382,15.273,15.427,29.699,9
56,1170,65536,4096,random,1000,14.454773,14.396,0.7576047679730212,14.313,14.377,14.414,14.35,14.438,25.629,13
57,1149,65536,4096,random,1000,15.584028,15.521,0.7971793801774982,15.418,15.5,15.542,15.4629,15.579,30.609,25
58,1129,65536,4096,random,1000,15.610055,15.524,1.1631412336876827,15.415,15.488,15.564,15.449,15.606,44.543,11
59,1110,65536,4096,random,1000,15.720508,15.664,0.7788430820662674,15.494,15.631,15.685,15.579,15.716,28.475,25
60,1092,65536,4096,random,1000,15.370977,15.303,0.8580135241816872,15.205,15.282,15.318,15.254,15.343,27.116,18
61,1074,65536,4096,random,1000,15.893038,15.831,0.7452367989051819,15.74,15.81,15.852,15.779,15.882,26.71,13
62,1057,65536,4096,random,1000,17.996351,15.755,67.27502512431546,15.645,15.737,15.771,15.706,15.801,2142.864,28
63,1040,65536,4096,random,1000,16.26746,16.195,0.9208208389352499,16.104,16.171,16.213,16.14,16.247,32.017,13
64,1024,65536,4096,random,1000,15.120947,15.051,0.7953694303414746,15.017,15.045,15.063,15.033,15.082,26.288,27
65,1008,65536,4096,random,1000,16.332764,16.253,0.8954002612976678,16.195,16.24,16.265,16.22,16.28,29.893,22
66,992,65536,4096,random,1000,16.127286,16.062,0.7665078685287688,16.022,16.052,16.074,16.037,16.092,28.002,16
67,978,65536,4096,random,1000,16.393029,16.316,0.8272991514833343,16.274,16.304,16.332,16.28885,16.359150000000003,27.781,25
68,963,65536,4096,random,1000,15.826415,15.764,0.7532798253439889,15.706,15.75125,15.776,15.728,15.801,27.611,32
69,949,65536,4096,random,1000,16.385743,16.32,0.7798618104474628,16.249,16.301,16.341,16.277,16.365,28.515,13
70,936,65536,4096,random,1000,16.257902,16.183,0.9653395230647043,16.104,16.161,16.201,16.135,16.229,35.163,11
