stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,2048,65536,4096,sequential,1000,9.000537,8.951,0.8217491748321609,8.9,8.9385,8.964,8.918,8.988,29.21,35
33,1985,65536,4096,sequential,1000,21.308623,9.728,276.99102113477284,9.671,9.71,9.747,9.686,9.777,8042.026,20
34,1927,65536,4096,sequential,1000,9.678307,9.628,0.7132500658306365,9.531,9.601,9.653,9.57695,9.686,21.946,7
35,1872,65536,4096,sequential,1000,9.861013,9.817,0.7751407033183981,9.68,9.774,9.85,9.725,9.908,28.327,4
36,1820,65536,4096,sequential,1000,9.48803,9.434,0.7322517160619535,9.364,9.41825,9.456,9.395,9.489,22.564,12
37,1771,65536,4096,sequential,1000,9.864245,9.825,0.6099638225664207,9.716,9.801,9.85,9.771,9.886,20.522,10
38,1724,65536,4096,sequential,1000,9.790299,9.74,0.7024843427798593,9.628,9.714,9.765,9.686,9.804,21.815,16
39,1680,65536,4096,sequential,1000,10.061768,9.959,1.9432569716416388,9.795,9.913,10.002500000000001,9.85585,10.053,67.657,11
40,1638,65536,4096,sequential,1000,9.110905,9.07,0.6014754980460548,9.003,9.055,9.091249999999999,9.027,9.122,19.496,15
41,1598,65536,4096,sequential,1000,9.959353,9.908,0.6919394544319608,9.789,9.88,9.944,9.8369,9.993,21.284,7
42,1560,65536,4096,sequential,1000,9.880851,9.841,0.6520942245386603,9.677,9.798,9.875,9.756,9.935,21.584,12
43,1524,65536,4096,sequential,1000,10.047883,9.998,0.7071355612702652,9.844,9.959,10.035,9.916,10.093,23.171,8
44,1489,65536,4096,sequential,1000,9.658435,9.607,0.6954956678506337,9.477,9.577,9.644,9.534,9.689,20.41,7
45,1456,65536,4096,sequential,1000,10.118451,10.081,0.5882605630918064,9.877,10.035,10.126,9.971,10.199,19.873,8
46,1424,65536,4096,sequential,1000,9.974009,9.924,0.7031053278286412,9.759,9.88,9.968,9.831,10.032,23.715,9
47,1394,65536,4096,sequential,1000,10.161127,10.111,0.6815665968171393,9.926,10.065750000000001,10.16,10.004,10.238,21.821,14
48,1365,65536,4096,sequential,1000,9.19287,9.149,0.6483198359681043,9.055,9.12175,9.182,9.0879,9.234,22.483,10
49,1337,65536,4096,sequential,1000,10.30389,10.247,0.753230699312227,10.014,10.193,10.305,10.126,10.393,23.138,10
50,1310,65536,4096,sequential,1000,10.201734,10.153,0.6962543338043515,9.92,10.09,10.211,10.026,10.302,21.344,9
51,1285,65536,4096,sequential,1000,10.409145,10.366,0.6482696611199142,10.108,10.305,10.432,10.219850000000001,10.53315,23.032,9
52,1260,65536,4096,sequential,1000,9.982389,9.9275,0.6459847133864152,9.686,9.868,10.005,9.792,10.1443,21.763,22
53,1236,65536,4096,sequential,1000,10.461183,10.4085,0.6697841968734267,10.15,10.338,10.487,10.25085,10.60215,23.023,12
54,1213,65536,4096,sequential,1000,10.349172,10.3005,0.6155218009977417,10.038,10.23,10.375,10.147,10.493,20.158,15
55,1191,65536,4096,sequential,1000,10.568606,10.5145,0.6797393164311613,10.256,10.43875,10.596,10.3409,10.721,20.808,16
56,1170,65536,4096,sequential,1000,9.507356,9.462,0.6057421173872399,9.237,9.413,9.525,9.346,9.62205,22.022,19
57,1149,65536,4096,sequential,1000,10.773437,10.719000000000001,0.6828205811023691,10.378,10.621,10.82175,10.4989,11.0,21.679,13
58,1129,65536,4096,sequential,1000,10.712739,10.6725,0.5492784536996683,10.262,10.566,10.794,10.4319,10.9551,20.24,6
59,1110,65536,4096,sequential,1000,11.049447,10.997,0.6882396392187767,10.545,10.872,11.1285,10.71495,11.33715,22.4,11
60,1092,65536,4096,sequential,1000,10.70733,10.639,0.8814633428139396,10.135,10.52675,10.76925,10.35995,10.97,28.442,11
61,1074,65536,4096,sequential,1000,11.534057,11.479,0.7346113691024764,10.836,11.334,11.631,11.1158,11.898,22.977,14
62,1057,65536,4096,sequential,1000,11.897871,11.856,0.6826446645928591,11.042,11.661750000000001,12.04475,11.413,12.344,21.967,14
63,1040,65536,4096,sequential,1000,13.951922,13.895,0.7490059972389407,13.531,13.807,13.971,13.661,14.135,23.884,25
64,1024,65536,4096,sequential,1000,13.084131,13.021,0.6518146133135779,12.826,12.966,13.094,12.9,13.26,25.371,39
65,1008,65536,4096,sequential,1000,14.65443,14.585,0.763282919968681,14.326,14.529,14.65325,14.4589,14.7571,27.283,17
66,992,65536,4096,sequential,1000,14.413686,14.338,0.7919965277094995,14.15,14.289,14.3995,14.229,14.517149999999999,24.655,24
67,978,65536,4096,sequential,1000,14.526657,14.456,0.7323115577188227,14.319,14.426,14.496,14.38585,14.59915,25.63,51
68,963,65536,4096,sequential,1000,14.145658,14.089,0.7045999859325688,13.892,14.043,14.138,13.989,14.21415,25.841,17
69,949,65536,4096,sequential,1000,14.736292,14.681,0.6720598359961405,14.535,14.645,14.721,14.599,14.790149999999999,26.021,14
70,936,65536,4096,sequential,1000,14.626176,14.565,0.7064890953623176,14.417,14.523,14.614,14.462,14.70215,26.33,19
71,923,65536,4096,sequential,1000,14.741762,14.684,0.6906784534659252,14.553,14.647,14.723,14.611,14.802,26.776,26
72,910,65536,4096,sequential,1000,13.235324,13.152999999999999,0.7388368581269663,12.881,13.08725,13.228,13.015,13.51015,24.385,81
73,897,65536,4096,sequential,1000,14.883795,14.817,0.7714654340220894,14.62,14.769,14.872,14.711,14.954,26.336,12
74,885,65536,4096,sequential,1000,14.754254,14.69,0.7814198913071835,14.48,14.638,14.738,14.572,14.8211,26.555,15
75,873,65536,4096,sequential,1000,14.9393,14.872,0.722972574406072,14.72,14.826,14.93,14.772,15.0121,24.804,13
76,862,65536,4096,sequential,1000,14.250145,14.198,0.6752387498835833,13.977,14.126,14.259,14.065,14.37115,24.024,11
77,851,65536,4096,sequential,1000,14.689958,14.629,0.6977944735832774,14.456,14.58975,14.675,14.532,14.742,24.634,16
78,840,65536,4096,sequential,1000,14.663271,14.614,0.626521074039186,14.414,14.563,14.668,14.486,14.754,23.299,9
79,829,65536,4096,sequential,1000,14.967004,14.89,0.6901696633061671,14.693,14.841,14.96,14.77785,15.18515,26.676,78
80,819,65536,4096,sequential,1000,13.227279,13.136,0.7339249327867027,12.911,13.06525,13.215,12.99,13.597199999999999,25.308,100
81,809,65536,4096,sequential,1000,14.90432,14.83,0.7773160694800231,14.635,14.778,14.88775,14.714,15.017,27.35,42
82,799,65536,4096,sequential,1000,14.571321,14.508,0.7545754064392789,14.32,14.469,14.544,14.42,14.608,24.337,26
83,789,65536,4096,sequential,1000,15.059407,14.99,0.8735231250522226,14.772,14.92925,15.048,14.857,15.133,30.779,8
84,780,65536,4096,sequential,1000,14.285534,14.2135,0.8780421988418022,13.971,14.147,14.289,14.04695,14.42915,32.445,13
85,771,65536,4096,sequential,1000,14.90495,14.835,0.7228981721288741,14.566,14.766,14.9155,14.675,15.115,26.5,37
86,762,65536,4096,sequential,1000,14.70264,14.623,0.7399870710122342,14.426,14.575,14.693,14.499,14.878,26.473,60
87,753,65536,4096,sequential,1000,14.982474999999999,14.911,0.7826321220173711,14.711,14.869,14.95775,14.811,15.076,26.366,41
88,744,65536,4096,sequential,1000,13.391179,13.318,0.6757808570281684,13.048,13.255,13.3955,13.169,13.67015,24.006,62
89,736,65536,4096,sequential,1000,14.385414,14.323,0.7280940760558264,14.101,14.265,14.381,14.199,14.466,25.999,15
90,728,65536,4096,sequential,1000,14.540609,14.472,0.7652661094922062,14.247,14.42,14.529,14.341,14.632,24.968,27
91,720,65536,4096,sequential,1000,14.785944,14.711,0.7896131748076585,14.529,14.657,14.781,14.599,14.881,26.318,11
92,712,65536,4096,sequential,1000,14.209766,14.156,0.6633219997251103,13.904,14.071,14.247,13.983,14.356,23.435,6
93,704,65536,4096,sequential,1000,14.963637,14.89,0.7304826898641685,14.629,14.827,14.966,14.754,15.07325,25.727,29
94,697,65536,4096,sequential,1000,15.016888,14.969,0.6710059779752178,14.635,14.875,15.057,14.75995,15.169,24.482,6
95,689,65536,4096,sequential,1000,15.292619,15.194,0.7842516423173607,14.884,15.078,15.306,14.987,15.761149999999999,26.7,80
96,682,65536,4096,sequential,1000,13.432628,13.337,0.721150350095903,13.09,13.27525,13.404,13.2,14.06515,24.479,72
97,675,65536,4096,sequential,1000,15.348525,15.23,0.8034098909198392,14.921,15.13,15.36,15.020950000000001,15.85245,27.572,105
98,668,65536,4096,sequential,1000,14.830233,14.747499999999999,0.8032741238388232,14.462,14.66,14.826,14.5619,15.203149999999999,25.902,76
99,661,65536,4096,sequential,1000,14.795098,14.720500000000001,0.7750184061852505,14.52,14.645,14.80525,14.5769,14.94815,27.055,24
100,655,65536,4096,sequential,1000,13.669831,13.578,0.8170494674566964,13.328,13.512,13.643,13.434,13.78205,24.761,34
101,648,65536,4096,sequential,1000,15.040519,14.96,0.7571451184346164,14.717,14.896,15.033,14.81985,15.245049999999999,26.758,57
102,642,65536,4096,sequential,1000,14.874115,14.799,0.7121832733150855,14.581,14.742,14.854,14.672,15.154,24.74,66
103,636,65536,4096,sequential,1000,15.228232,15.115,1.9491212065065768,14.781,15.012,15.209,14.884,15.327,71.884,8
104,630,65536,4096,sequential,1000,13.658379,13.4855,0.9588004054945829,12.73,13.255,13.622,12.93285,15.06015,26.373,143
105,624,65536,4096,sequential,1000,15.018292,14.918,0.8377940508308757,14.632,14.835,15.024,14.72885,15.4973,27.547,53
106,618,65536,4096,sequential,1000,14.749082,14.663,1.2550762437611724,14.213,14.52,14.811,14.35,14.954,46.264,10
107,612,65536,4096,sequential,1000,14.971485,14.842,0.7311575200284095,14.593,14.781,14.9185,14.705,15.558,27.547,137
108,606,65536,4096,sequential,1000,14.30808,14.153,0.7895720040310128,13.946,14.086,14.229,14.004,15.245,25.657,111
109,601,65536,4096,sequential,1000,15.143945,15.039,0.7964172036924726,14.72,14.942,15.142,14.83895,15.62705,28.288,117
110,595,65536,4096,sequential,1000,14.845979,14.745,0.7817669269591079,14.517,14.693,14.799,14.616850000000001,15.2943,25.372,90
111,590,65536,4096,sequential,1000,15.016307,14.911,0.7739343002167898,14.602,14.836,14.997,14.729,15.83475,27.969,56
112,585,65536,4096,sequential,1000,13.083623,13.003,0.7777932252033133,11.886,12.8,13.2405,12.58985,13.558,23.784,17
113,579,65536,4096,sequential,1000,15.103907,14.939,0.9454223647655046,14.432,14.787,15.057,14.5559,16.423,28.239,106
114,574,65536,4096,sequential,1000,14.991526,14.815,1.7449084562935802,14.365,14.708,14.966,14.481,15.670449999999999,62.82,97
115,569,65536,4096,sequential,1000,14.992694,14.9085,0.7720324140943905,14.702,14.869,14.954,14.81195,15.054,24.938,41
116,564,65536,4096,sequential,1000,14.386496,14.2015,0.7699576265813144,14.016,14.156,14.262,14.095,15.315,26.467,140
117,560,65536,4096,sequential,1000,15.405947,15.297,0.7208715613748395,15.051,15.233,15.382,15.133,15.83715,26.734,135
118,555,65536,4096,sequential,1000,15.013285,14.875,0.8507793011082218,14.593,14.802,14.948,14.71195,16.08015,26.203,75
119,550,65536,4096,sequential,1000,15.01691,14.93,0.7778875760551656,14.726,14.875,14.981,14.808,15.103449999999999,25.362,41
120,546,65536,4096,sequential,1000,12.845579,12.651,0.8355611540762299,11.85,12.493,12.81275,12.317,14.071299999999999,24.786,162
121,541,65536,4096,sequential,1000,14.738217,14.52,0.931879452088211,14.262,14.45,14.596,14.362,16.541,28.898,94
122,537,65536,4096,sequential,1000,15.155129,15.036,0.7474798850387464,14.796,14.97125,15.13,14.875,15.913,26.588,79
123,532,65536,4096,sequential,1000,15.160635,15.0205,0.8060104270935852,14.702,14.938,15.185500000000001,14.848,15.40615,25.22,35
124,528,65536,4096,sequential,1000,13.980503,13.609,1.1707530425660562,13.373,13.543,13.682,13.46085,16.36815,27.944,127
125,524,65536,4096,sequential,1000,14.462691,14.368,0.7747724813885151,14.131,14.311,14.435,14.232,14.5451,24.394,29
126,520,65536,4096,sequential,1000,12.347198,12.287,0.7622676240840396,12.092,12.22,12.357,12.138,12.43205,23.205,10
127,516,65536,4096,sequential,1000,12.352409,12.281,0.8004939314281235,12.068,12.223,12.357,12.153,12.451,24.024,8
128,512,65536,4096,sequential,1000,13.977607,13.974,0.8823316926002187,13.264,13.83025,14.062,13.412,14.186,27.774,126
129,508,65536,4096,sequential,1000,12.043019,11.989,0.7385117089005314,11.795,11.938,12.03125,11.841,12.123149999999999,23.805,19
