footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4194304,32768,128,4096,0,sequential,1000,32.2538,31.731,3.531425414681649,31.306,31.658,31.805,31.563,31.95805,97.827,40
4707840,36780,128,4096,0,sequential,1000,32.255355,31.753,2.598946607848158,31.446,31.673,31.856,31.57,32.61105,69.814,150
5284480,41285,128,4096,0,sequential,1000,30.378337,29.58,3.765545625176554,27.438,29.458,30.308,27.6579,32.5021,103.154,283
5931520,46340,128,4096,0,sequential,1000,18.493308,17.2965,2.7469251356447333,16.693,16.893,19.584,16.817,20.06,70.634,17
6657920,52015,128,4096,0,sequential,1000,17.061227,16.868499999999997,1.4996717583704289,16.714,16.829,16.911,16.778,17.236,36.089,82
7473280,58385,128,4096,0,sequential,1000,17.116694,16.881,1.4860297159480629,16.717,16.832,16.939,16.784,17.312,34.351,178
8388608,65536,128,4096,0,sequential,1000,17.046411,16.869,1.4747966121218634,16.717,16.829,16.908,16.7799,16.969,35.649,18
9415808,73561,128,4096,0,sequential,1000,17.051891,16.878,1.2390714657420758,16.687,16.832,16.923,16.784,17.26,33.528,130
10568960,82570,128,4096,0,sequential,1000,17.039437,16.869,1.3137687987189708,16.711,16.832,16.908,16.78,16.99,34.939,35
11863168,92681,128,4096,0,sequential,1000,17.058347,16.872,1.2358219250447944,16.711,16.832,16.929,16.781,17.28405,32.736,137
13315968,104031,128,4096,0,sequential,1000,17.061308,16.869,1.3982749149841294,16.72,16.829,16.911,16.777,17.22005,34.811,82
14946688,116771,128,4096,0,sequential,1000,17.037773,16.869999999999997,1.300697807431556,16.708,16.832,16.905,16.781,16.99015,32.493,45
16777216,131072,128,4096,0,sequential,1000,17.03887,16.872,1.404707156419193,16.705,16.832,16.908,16.78995,16.966,34.266,25
18831744,147123,128,4096,0,sequential,1000,17.10231,16.878999999999998,1.363896425451493,16.674,16.838,16.948,16.781,17.406,35.337,136
21137920,165140,128,4096,0,sequential,1000,17.068389,16.887,1.2814627323544816,16.714,16.844,16.941,16.78995,17.1083,31.483,57
23726464,185363,128,4096,0,sequential,1000,17.50821,17.2465,1.4143841990642296,16.711,17.03875,17.56775,16.8717,18.3534,33.665,50
26632064,208063,128,4096,0,sequential,1000,19.600857,19.105,2.346466895449932,17.221,18.60475,19.821,17.943550000000002,23.276599999999995,54.678,78
29893504,233543,128,4096,0,sequential,1000,26.445844,26.0525,2.515779362238164,21.703,25.140249999999998,27.17175,23.8648,29.559499999999996,47.939,43
33554432,262144,128,4096,0,sequential,1000,35.659482,35.3015,3.7382227926279787,31.237,34.062749999999994,36.0785,32.81755,37.597500000000004,64.686,39
37663488,294246,128,4096,0,sequential,1000,38.33409,37.5315,4.393181493580197,33.498,36.981,38.26875,35.83675,40.619099999999996,73.859,79
42275840,330280,128,4096,0,sequential,1000,39.053031,38.2635,4.6306704212877845,35.121,37.657250000000005,38.8185,36.73475,40.2273,74.921,55
47453056,370727,128,4096,0,sequential,1000,39.624103,38.671,5.511899262674607,36.065,38.21,39.12,37.49085,40.6889,123.709,64
53264256,416127,128,4096,0,sequential,1000,39.857677,38.914500000000004,4.896308793619278,36.569,38.483,39.342,37.8947,41.202899999999985,73.586,60
59787136,467087,128,4096,0,sequential,1000,40.055094,39.096,5.140744047170849,37.576,38.661249999999995,39.512,38.233250000000005,40.87285,79.519,52
67108864,524288,128,4096,0,sequential,1000,43.484695,42.6725,7.36346219719396,36.423,40.598749999999995,44.38225,37.247099999999996,50.46229999999999,92.233,52
75327104,588493,128,4096,0,sequential,1000,44.592449,43.102,6.964737613537528,39.552,42.109,44.385000000000005,40.7279,48.86504999999999,92.5,62
84551808,660561,128,4096,0,sequential,1000,44.436718,42.801,6.770743214607548,38.884,41.636,44.847,40.469199999999994,49.56069999999999,93.468,49
94906240,741455,128,4096,0,sequential,1000,44.082295,42.662,6.7241134896874835,39.188,41.69775,43.8715,40.3565,50.78859999999999,91.954,60
106528640,832255,128,4096,0,sequential,1000,43.968467,42.498,6.771719073626956,38.444,41.48025,43.850249999999996,40.273450000000004,48.48459999999999,108.886,58
119574400,934175,128,4096,0,sequential,1000,43.260593,41.873,7.151880480947984,38.847,40.79575,43.00425,39.5997,46.82005,116.952,51
134217728,1048576,128,4096,0,sequential,1000,43.247701,42.001999999999995,6.748157662461395,38.228,41.03075,42.9935,39.78485,45.4758,91.711,48
