footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4194304,524288,8,4096,0,random,1000,43.424866,43.226,1.479087482816965,41.67,42.991249999999994,43.457,42.69485,43.86425,55.358,26
4707944,588493,8,4096,0,random,1000,44.676003,44.358,1.6415740233889136,42.883,43.927,44.956,43.484,46.085300000000004,56.502,24
5284488,660561,8,4096,0,random,1000,46.111145,45.897,1.7901646319219873,43.867,45.0885,46.688,44.4005,47.96315,58.693,22
5931640,741455,8,4096,0,random,1000,50.873206,50.5955,3.5428234431754446,45.502,47.690749999999994,53.44775,46.302699999999994,56.388799999999996,67.302,10
6658040,832255,8,4096,0,random,1000,53.259046,47.864000000000004,10.766134866787331,43.132,44.625,60.71325,43.84185,73.86895,86.953,2
7473400,934175,8,4096,0,random,1000,57.095897,59.5045,7.269195719389993,45.305,48.585750000000004,63.156000000000006,46.65995,66.25604999999999,76.269,0
8388608,1048576,8,4096,0,random,1000,86.578667,85.794,10.608290435695993,67.797,76.687,94.97025,72.14569999999999,103.8787,116.315,0
9415888,1176986,8,4096,0,random,1000,103.743248,104.544,13.631047464941478,77.898,90.67825,115.41475,83.9385,124.08,136.315,0
10568984,1321123,8,4096,0,random,1000,120.793545,121.68,7.409399251845472,101.977,115.314,125.81375,108.85284999999999,132.26475000000002,155.009,3
11863280,1482910,8,4096,0,random,1000,118.035139,120.381,9.496573658479669,93.483,111.79,124.809,99.69585,130.05085,141.343,0
13316080,1664510,8,4096,0,random,1000,138.737412,141.325,9.958442968788777,110.698,132.81650000000002,145.95125,119.25829999999999,151.1966,163.437,1
14946800,1868350,8,4096,0,random,1000,148.824397,148.5805,5.572536905481556,134.319,145.582,151.93225,140.5163,157.185,222.164,22
16777216,2097152,8,4096,0,random,1000,153.372509,155.0935,7.480895589081145,131.872,148.8605,158.42475,139.30075,162.94435000000001,172.007,5
18831784,2353973,8,4096,0,random,1000,167.516634,167.89800000000002,5.883085386913376,148.848,164.32,171.04649999999998,157.289,176.008,209.965,34
21137968,2642246,8,4096,0,random,1000,97.43964,97.98750000000001,9.853432404423778,77.962,89.1085,104.004,82.39685,114.1287,125.421,0
23726560,2965820,8,4096,0,random,1000,113.853673,111.9285,8.132587458419358,96.315,107.84825000000001,118.861,103.35065,129.77195,140.557,9
26632168,3329021,8,4096,0,random,1000,120.645289,119.75450000000001,6.557500366338803,105.324,115.46575,125.01650000000001,111.5708,131.9039,144.417,5
29893600,3736700,8,4096,0,random,1000,135.991216,135.1205,7.412233672339085,120.071,130.595,140.61575,125.17835000000001,149.7822,160.393,3
33554432,4194304,8,4096,0,random,1000,143.306651,142.721,5.426563847444291,129.779,139.28674999999998,146.976,135.0276,152.66625,165.279,8
37663576,4707947,8,4096,0,random,1000,150.589856,150.68,5.413917098147109,135.044,146.96,154.18125,141.809,159.36620000000002,170.905,6
42275928,5284491,8,4096,0,random,1000,108.47431,108.06549999999999,3.622174757224156,100.314,106.298,110.13624999999999,103.78475,114.4379,160.03,38
47453128,5931641,8,4096,0,random,1000,119.092342,118.873,3.2761359614451098,108.476,116.94075,120.6865,114.60965,125.1396,134.631,36
53264336,6658042,8,4096,0,random,1000,127.372234,126.937,3.7000469654844643,118.457,125.15925,128.95925,122.64184999999999,134.3268,168.11,48
59787200,7473400,8,4096,0,random,1000,135.653762,135.42,3.8419376721170835,126.635,133.0885,137.7915,129.9782,142.83474999999999,149.181,32
67108864,8388608,8,4096,0,random,1000,139.326304,138.8865,3.260664553571084,131.078,137.2625,140.76775,134.90595000000002,145.56555,154.47,47
75327152,9415894,8,4096,0,random,1000,183.380039,182.879,4.0435859675486014,173.539,180.71450000000002,185.13774999999998,178.15795,192.19565,199.733,58
84551864,10568983,8,4096,0,random,1000,185.451547,185.0865,3.6541739894723593,175.581,183.23399999999998,187.061,180.2902,193.30554999999998,198.316,64
94906264,11863283,8,4096,0,random,1000,173.404115,173.08249999999998,3.7750768881290733,164.481,170.84699999999998,175.39525,168.19035,180.8755,187.006,31
106528680,13316085,8,4096,0,random,1000,158.734549,158.3315,3.313531958747439,150.27,156.61525,160.06674999999998,154.31805,165.82065,174.564,59
119574400,14946800,8,4096,0,random,1000,162.392848,161.9155,3.3303958637833886,155.281,160.34125,163.73875,158.07725,169.3518,179.019,60
134217728,16777216,8,4096,0,random,1000,189.23365,188.5675,3.9923845804403837,181.735,187.02925,190.3305,184.65295,198.10675,243.748,87
