num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,9.097464,9.022,1.0888784509691543,9.008,9.02,9.024,9.018,9.098,33.24,250
3,32768,sequential,1000,12.864364,9.022,120.05505804997509,9.008,9.02,9.028,9.018,9.11,3805.474,132
4,32768,sequential,1000,19.79675,6.766,395.5967892909178,6.756,6.766,6.8165,6.7619,9.056,12517.042,215
5,32768,sequential,1000,6.83928,6.766,0.8264561787629248,6.756,6.766,6.774,6.764,6.944,24.392,149
6,32768,sequential,1000,6.925252,6.768,0.9298718008747562,6.756,6.766,6.942,6.764,7.276299999999999,29.486,80
7,32768,sequential,1000,6.821972,6.766,1.0868657158546773,6.756,6.766,6.768,6.764,6.836,39.248,241
8,32768,sequential,1000,7.097268,6.784,5.6326770810401765,6.756,6.766,6.946,6.764,7.2761,183.25,70
9,32768,sequential,1000,18.094092,17.916,2.9319946439460165,17.78,17.912,17.947000000000003,17.862,18.0682,106.358,283
10,32768,sequential,1000,21.424338,21.144,1.8147756810494593,21.12,21.132,21.3725,21.128,21.7501,51.554,55
11,32768,sequential,1000,21.30766,21.13,2.196433595841436,21.1,21.128,21.132,21.106,21.1541,74.742,227
12,32768,sequential,1000,21.293082,21.134,1.387576131531815,21.122,21.13,21.226,21.128,21.25,45.72,11
13,32768,sequential,1000,21.257008,21.13,1.2728225851505266,21.1,21.128,21.134,21.106,21.1561,39.606,202
14,32768,sequential,1000,21.381874,21.226,1.804315118034865,21.22,21.224,21.228,21.224,21.362,64.576,150
15,32768,sequential,1000,21.422504,21.132,1.7752896753531282,21.126,21.13,21.274,21.128,21.962,55.716,171
16,32768,sequential,1000,21.492738,21.232,1.487397373368093,21.22,21.226,21.4985,21.224,21.8741,43.724,45
17,32768,sequential,1000,21.390648,21.134,1.4278870969574793,21.12,21.13,21.27,21.128,21.731199999999998,38.756,108
18,32768,sequential,1000,21.271278,21.13,1.1294563197814667,21.114,21.128,21.138,21.128,21.4973,44.85,206
19,32768,sequential,1000,21.31458,21.226,1.012283358154819,21.222,21.224,21.228,21.224,21.258,35.826,106
20,32768,sequential,1000,21.310512,21.226,0.9887329076240048,21.22,21.224,21.228,21.224,21.258,38.866,97
21,32768,sequential,1000,21.262898,21.13,1.3184148935094095,21.124,21.13,21.134,21.128,21.2861,42.484,188
22,32768,sequential,1000,21.462362,21.228,2.13274641160458,21.126,21.226,21.274,21.134,21.7102,70.812,310
23,32768,sequential,1000,21.247332,21.13,1.069644964521465,21.124,21.128,21.138,21.126,21.276,36.568,198
24,32768,sequential,1000,21.393094,21.227,1.423880591588741,21.22,21.226,21.234,21.224,21.516199999999998,49.154,216
25,32768,sequential,1000,21.495388,21.27,1.723364117456708,21.128,21.154,21.418,21.15,21.966,46.718,85
26,32768,sequential,1000,21.235476,21.13,1.1029997488077095,21.124,21.128,21.134,21.128,21.166,37.966,189
27,32768,sequential,1000,21.380646,21.154,3.8783279632432426,21.124,21.152,21.224,21.15,21.25,139.86,14
28,32768,sequential,1000,21.233414,21.13,1.08196409686778,21.124,21.128,21.134,21.128,21.1621,35.242,222
29,32768,sequential,1000,21.380446,21.226,1.6827727051093564,21.22,21.224,21.23,21.224,21.3781,64.21,205
30,32768,sequential,1000,21.520398,21.228,2.1259562704015478,21.124,21.224,21.41,21.13,21.9241,66.19,109
31,32768,sequential,1000,21.431282,21.226,1.7219845874442068,21.124,21.132,21.398,21.128,21.8261,47.748,59
32,32768,sequential,1000,21.395646,21.228,1.4543880511360394,21.22,21.226,21.358,21.224,21.5384,52.236,50
33,32768,sequential,1000,21.47009,21.228,1.853945588777121,21.222,21.226,21.3605,21.224,21.782,56.784,101
34,32768,sequential,1000,21.311728,21.226,0.9855139551380141,21.222,21.224,21.228,21.224,21.258,39.076,105
35,32768,sequential,1000,21.248484,21.154,1.1106381097165516,21.146,21.152,21.154,21.152,21.184,39.944,149
36,32768,sequential,1000,21.312152,21.226,0.9698172045835783,21.22,21.224,21.228,21.224,21.264,36.646,107
37,32768,sequential,1000,21.338514,21.226,1.021176786768008,21.22,21.226,21.23,21.224,21.380599999999998,37.11,205
38,32768,sequential,1000,21.376572,21.226,1.3655966516622071,21.22,21.224,21.23,21.224,21.3721,46.994,187
39,32768,sequential,1000,21.487118,21.228,1.6675615237560237,21.22,21.224,21.372,21.224,21.9242,48.404,132
40,32768,sequential,1000,21.535112,21.296,1.7694958646662815,21.134,21.156,21.5195,21.152,22.008999999999997,49.18,45
