num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,1048576,sequential,1000,9.33438,9.022,8.385263998940756,9.008,9.02,9.032,9.02,9.2401,273.498,113
3,1048576,sequential,1000,9.148158,9.022,1.1499170893365958,9.008,9.02,9.04,9.018,9.452,34.848,202
4,1048576,sequential,1000,11.89016,6.768,152.03020542881973,6.756,6.766,6.94,6.764,9.022,4814.458,115
5,1048576,sequential,1000,10.587292,6.826,4.398972147978967,6.756,6.766,14.7345,6.764,14.8021,66.46,2
6,1048576,sequential,1000,12.183648,14.788,7.915826545471672,6.756,6.768,14.802,6.764,14.8161,228.644,3
7,1048576,sequential,1000,14.41159,14.796,1.2636236324889563,11.754,13.779499999999999,14.804,12.32,14.82,29.77,31
8,1048576,sequential,1000,14.397916,14.782,1.04909183326276,12.774,13.794,14.802,12.91,14.818,28.794,5
9,1048576,sequential,1000,14.21255,14.792,1.4083535526384094,12.096,13.032,14.81,12.138,14.934,29.95,5
10,1048576,sequential,1000,15.015768,14.798,1.839928390633358,14.762,14.796,14.938,14.774,15.360199999999999,55.314,94
11,1048576,sequential,1000,14.212358,14.789,2.1143695557906743,12.57,12.924,14.9245,12.608,15.3421,59.1,6
12,1048576,sequential,1000,13.694254,13.462,1.2063143793662852,12.756,12.814,14.782,12.788,14.812,27.404,4
13,1048576,sequential,1000,14.630404,14.796,1.547761289667691,12.918,14.1545,14.8385,13.534,15.232099999999999,42.404,56
14,1048576,sequential,1000,14.156433999999999,14.27,1.1145692658118167,12.45,13.401499999999999,14.796,12.88,14.816,27.636,5
15,1048576,sequential,1000,14.528106,14.796,1.1240266280763211,13.158,14.77,14.808,13.188,14.828,29.08,253
16,1048576,sequential,1000,14.390346,14.782,0.9904554297101119,13.26,13.8,14.804,13.286,14.822,26.76,5
17,1048576,sequential,1000,13.873396,13.844,0.9277980321020154,13.356,13.832,13.856,13.394,13.98,29.822,197
18,1048576,sequential,1000,14.056294,13.902,1.5470703048317138,13.424,13.882,14.056,13.4559,14.5001,41.644,301
19,1048576,sequential,1000,41.48126,46.481,14.345549321993555,13.496,43.156499999999994,49.5865,13.5539,54.2203,117.298,205
20,1048576,sequential,1000,43.527776,44.52,8.946843049387553,13.57,42.554,46.4955,17.3959,51.131299999999996,188.814,86
21,1048576,sequential,1000,51.54128,51.962,3.0646386664263954,41.024,50.747,52.934,44.6336,54.533199999999994,67.616,107
22,1048576,sequential,1000,53.15124,52.416,4.28933721081802,41.552,51.022,54.2755,47.598400000000005,61.71759999999999,80.726,134
23,1048576,sequential,1000,62.233132,61.056,6.334307747909097,50.662,59.575500000000005,64.2995,53.8718,71.2506,154.218,58
24,1048576,sequential,1000,58.633972,59.364,3.9289198539082513,49.616,57.6845,60.345,52.0043,61.966100000000004,115.25,161
25,1048576,sequential,1000,66.882596,65.863,5.02925953200113,58.41,64.609,67.5715,60.8249,77.1788,130.286,137
26,1048576,sequential,1000,73.478512,70.972,6.645406543921146,67.546,70.57849999999999,74.45750000000001,70.0778,82.8957,170.028,109
27,1048576,sequential,1000,67.481082,67.02,4.619649131197235,62.05,66.643,67.40700000000001,65.8953,70.4101,198.606,128
28,1048576,sequential,1000,69.931804,67.372,15.963768508550183,60.434,66.035,71.34049999999999,64.85170000000001,78.37049999999999,535.856,36
29,1048576,sequential,1000,70.37154,67.956,5.450071982737202,63.262,67.363,71.631,66.6639,81.4329,123.186,107
30,1048576,sequential,1000,67.403866,67.233,2.9291076281935324,63.416,66.758,67.6345,64.64070000000001,69.10549999999999,118.876,170
31,1048576,sequential,1000,69.473668,67.768,4.118754295502795,64.464,67.43,70.317,65.8544,78.97189999999999,104.69,107
32,1048576,sequential,1000,67.52724,67.016,4.3937008552706,64.33,66.7375,67.293,65.6758,67.9363,145.464,106
33,1048576,sequential,1000,69.644312,67.75,4.580068241385902,65.034,67.297,70.352,65.73949999999999,78.9511,110.154,126
34,1048576,sequential,1000,69.722976,67.42699999999999,5.429709916118649,63.882,66.738,71.0215,65.6076,78.3,153.76,79
35,1048576,sequential,1000,67.678474,67.332,2.6756973834519875,64.956,66.918,67.7185,66.0675,68.50500000000001,106.548,59
36,1048576,sequential,1000,70.378388,67.83699999999999,5.124060376322297,64.846,67.1585,72.28450000000001,65.8493,79.39150000000001,120.25,39
37,1048576,sequential,1000,71.529008,70.683,5.19210062429734,66.572,67.7575,72.3445,67.1959,82.1977,106.964,98
38,1048576,sequential,1000,67.737086,67.557,2.4456169550636697,64.332,67.1535,67.87100000000001,65.75850000000001,68.3975,112.302,128
39,1048576,sequential,1000,70.653594,68.108,5.533879821702405,65.496,67.574,72.296,66.33789999999999,80.61,150.194,77
40,1048576,sequential,1000,67.478674,67.321,2.977106903562457,64.448,66.81,67.608,65.5778,68.0962,124.33,83
