size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
155864,19483,sequential,1000,10.111702,8.794,40.24332354034354,8.734,8.784,8.808,8.77,8.8681,1281.264,84
158136,19767,sequential,1000,7.888778,8.742,1.572183281614134,6.8,6.838,8.794,6.824,8.828,39.584,4
160432,20054,sequential,1000,7.021958,6.842,4.636144916838335,6.806,6.834,6.854,6.824,6.9860999999999995,152.526,89
162768,20346,sequential,1000,7.21957,6.846,9.975925872023316,6.802,6.836,6.87,6.824,7.1084,322.028,216
165136,20642,sequential,1000,6.949604,6.842,2.2400147010778846,6.806,6.834,6.852,6.822,6.898199999999999,72.928,81
167536,20942,sequential,1000,6.872846,6.842,0.4797913546824578,6.806,6.834,6.852,6.822,6.91,17.836,84
169976,21247,sequential,1000,6.879996,6.838,0.6722138643790854,6.804,6.83,6.85,6.82,6.9881,26.142,90
172448,21556,sequential,1000,6.885652,6.848,0.6477930740311776,6.816,6.838,6.856,6.828,6.89,21.782,64
174952,21869,sequential,1000,6.965178,6.842,2.2072665978875663,6.804,6.832,6.8605,6.82,7.090199999999999,75.812,197
177504,22188,sequential,1000,6.894792,6.848,0.5422458956482267,6.814,6.838,6.858,6.83,7.012,19.792,127
180080,22510,sequential,1000,6.870332,6.842,0.4661131957875546,6.806,6.834,6.852,6.822,6.882099999999999,17.092,59
182704,22838,sequential,1000,6.860622,6.842,0.3644573696473845,6.804,6.834,6.852,6.822,6.88,15.65,56
185360,23170,sequential,1000,6.868198,6.842,0.49427909182628454,6.808,6.834,6.852,6.8239,6.8861,18.586,63
188056,23507,sequential,1000,6.867718,6.838,0.479386983924633,6.806,6.828,6.848,6.82,6.884,16.806,63
190792,23849,sequential,1000,6.858384,6.838,0.3534208692972938,6.802,6.832,6.85,6.82,6.882,14.786,63
193568,24196,sequential,1000,6.866934,6.8469999999999995,0.3992103863585923,6.812,6.838,6.856,6.828,6.888,17.604,54
196384,24548,sequential,1000,6.8834,6.848,0.5336988687288764,6.81,6.84,6.856,6.828,6.9,20.084,78
199240,24905,sequential,1000,6.8716099999999996,6.84,0.6800490089357932,6.798,6.83,6.85,6.82,6.886,26.5,63
202136,25267,sequential,1000,6.954326,6.844,1.0035626077289008,6.804,6.834,6.98,6.8219,7.1761,29.282,31
205080,25635,sequential,1000,6.8600579999999995,6.838,0.3999828532811362,6.804,6.83,6.85,6.818,6.884,17.27,58
208056,26007,sequential,1000,6.884488,6.84,0.40737898754783053,6.808,6.832,6.854,6.82,7.0141,16.406,151
211088,26386,sequential,1000,6.903852,6.842,1.2394225665181322,6.806,6.834,6.852,6.822,6.8900999999999994,43.55,69
214160,26770,sequential,1000,6.865776,6.844,0.3487377120642616,6.804,6.834,6.854,6.824,6.894,14.798,70
