size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1246968,155871,random,1000,32.678454,31.972,3.27698649224472,28.61,30.7825,33.6615,29.625700000000002,37.2557,67.422,40
1265112,158139,random,1000,30.076294,29.902,1.5557953415242987,27.92,29.491500000000002,30.406,28.8319,31.1281,46.296,15
1283512,160439,random,1000,31.162706,31.052,1.4550366914058688,28.86,30.522,31.5405,29.8379,32.3446,50.342,18
1302176,162772,random,1000,32.768192,31.413,3.6612481846230263,28.646,30.6095,33.628,29.7792,40.064899999999994,61.094,76
1321120,165140,random,1000,32.02594,31.922,1.407286869381198,29.666,31.45,32.378,30.7799,33.1041,50.114,17
1340336,167542,random,1000,31.770734,31.627000000000002,1.5027827298638938,29.796,31.1075,32.113,30.523500000000002,32.868900000000004,51.836,16
1359832,169979,random,1000,35.582626,33.342,5.267896689538972,30.766,32.588,35.831,31.779500000000002,47.008399999999995,81.744,155
1379608,172451,random,1000,36.806286,34.806,5.802798770574056,31.006,33.3645,38.5895,32.2936,47.5079,119.664,66
1399680,174960,random,1000,34.13458,33.979,1.6003285171998163,31.946,33.463,34.527,32.837,35.2147,51.354,17
1420040,177505,random,1000,36.766042,34.698,5.754641645724494,32.052,34.0015,35.844,32.9694,51.1249,80.504,156
1440688,180086,random,1000,36.831956,35.268,4.8308002323578805,32.75,34.508,36.605000000000004,33.67,50.1489,72.124,107
1461648,182706,random,1000,35.474292,35.321,1.608133223087938,32.756,34.758,35.8985,33.9078,36.9214,51.85,22
1482904,185363,random,1000,36.467342,36.204,1.9773921864149497,33.798,35.605000000000004,36.866,34.8159,38.188900000000004,60.052,34
1504480,188060,random,1000,38.773056,36.665,6.664542300934472,33.994,35.958,37.8945,35.109899999999996,57.5228,89.566,140
1526360,190795,random,1000,37.321566,37.112,1.6329262248184084,34.472,36.582,37.7685,35.8119,38.8205,54.322,21
1548560,193570,random,1000,37.767164,37.423,2.016322746616355,34.602,36.839,38.057,36.0513,40.48469999999999,57.28,62
1571088,196386,random,1000,43.76118,38.778999999999996,11.820103635821539,35.706,37.8495,42.19,36.9024,73.3723,103.222,149
1593936,199242,random,1000,38.356512,38.172,2.1804403633289384,35.748,37.5585,38.748,36.7479,39.7547,84.104,26
1617120,202140,random,1000,44.837,39.314,13.213178234742125,36.09,38.44,42.9505,37.5355,80.8474,112.754,159
1640640,205080,random,1000,49.110898,40.875,15.691965640264806,36.952,39.113,50.103,38.1479,83.3805,121.536,178
1664504,208063,random,1000,39.632256,39.488,1.6783650579453002,37.194,38.9,40.042,38.1297,40.9801,59.54,21
1688720,211090,random,1000,46.882792,40.884,14.25749872490356,37.79,39.97,45.207,39.1297,85.9323,123.918,157
1713280,214160,random,1000,40.508356,40.312,1.706034617286349,38.122,39.7355,40.938500000000005,39.0087,41.9304,59.796,23
1738200,217275,random,1000,48.208064,41.754,15.25777020863939,38.646,40.844,46.691,39.925200000000004,91.5941,120.2,144
1763488,220436,random,1000,54.128194,42.642,21.59056387904167,38.928,41.482,54.320499999999996,40.4518,103.88159999999998,132.65,172
1789136,223642,random,1000,42.233618,41.936,1.7979474344521458,39.156,41.327,42.6985,40.585699999999996,44.2207,59.174,41
1815160,226895,random,1000,55.187722,44.015,21.493080845028405,40.092,42.4645,54.676500000000004,41.3795,107.2045,149.814,166
1841560,230195,random,1000,42.67445,42.513000000000005,1.6109643222453895,40.048,41.931,43.1265,41.1554,43.9243,58.82,19
1868344,233543,random,1000,59.332806,45.509,25.145359361356835,40.72,43.767,63.7465,42.2565,116.4366,146.2,151
1895520,236940,random,1000,43.588216,43.400000000000006,1.7140677015303185,40.422,42.814,44.042,41.9518,45.1821,62.488,25
1923096,240387,random,1000,54.27273,45.43,21.244500326654645,41.772,44.3805,50.5955,43.259699999999995,114.50469999999994,145.926,182
1951064,243883,random,1000,43.744924,43.56,1.57760755316898,41.092,43.036,44.112,42.3679,45.048700000000004,60.808,22
1979448,247431,random,1000,57.248708,46.302,22.907642974461197,41.86,44.4895,56.096500000000006,43.2507,117.32039999999999,153.64,149
2008240,251030,random,1000,44.588066,44.388999999999996,1.6470719685896285,41.806,43.8035,44.988,42.9131,46.4146,58.864,44
2037448,254681,random,1000,48.098254,44.900999999999996,12.012335850785893,41.848,44.248,45.710499999999996,43.3957,69.903,123.788,123
2067080,258385,random,1000,61.07866,46.619,27.410644655769133,43.286,45.311,61.5995,44.332100000000004,126.81809999999997,162.11,161
2097152,262144,random,1000,39.63867,39.531,1.5197148206937496,36.874,38.917,40.1045,38.1515,40.9386,54.916,21
2127656,265957,random,1000,55.352358,40.885000000000005,29.575056625376565,37.558,39.8215,52.826,38.8663,128.57479999999998,177.43,162
2158600,269825,random,1000,50.444508,41.05,22.852820346813647,38.382,40.2855,45.09,39.2799,114.6921,154.02,191
2190000,273750,random,1000,40.83171,40.665,1.6026480539047507,37.942,40.104,41.263,39.2859,42.2543,54.514,23
2221848,277731,random,1000,53.119966,42.425,24.15120099258478,38.522,41.229,53.2375,40.159099999999995,120.11389999999999,166.184,122
2254168,281771,random,1000,41.312524,41.117000000000004,1.6505888867604488,38.56,40.549499999999995,41.7665,39.741,42.7982,59.32,25
2286960,285870,random,1000,59.431204,42.528999999999996,33.72580215279146,39.116,41.491,61.8735,40.5158,143.40279999999998,196.304,133
2320224,290028,random,1000,54.881204,43.221000000000004,25.49688564448513,39.438,42.218,54.842,41.1659,118.5585999999999,176.332,135
2353968,294246,random,1000,42.377098,42.201,1.6624531237856859,40.01,41.637,42.787,40.833400000000005,43.804300000000005,57.514,25
2388208,298526,random,1000,61.373288,43.775999999999996,34.773280424552134,40.236,42.714,64.34299999999999,41.5839,147.557,197.026,134
2422944,302868,random,1000,55.32395,44.071,26.483075017374322,40.798,43.094,51.522999999999996,42.096,126.89869999999998,190.88,157
2458192,307274,random,1000,43.539864,43.346000000000004,1.7587186109939976,40.856,42.719,44.0285,41.8878,45.0003,59.962,18
2493944,311743,random,1000,63.827732,44.962,37.48827537263605,41.112,43.555499999999995,67.03999999999999,42.5778,158.8424,224.284,134
2530216,316277,random,1000,72.022144,54.024,36.488823512585284,42.792,46.75,80.9365,44.5239,156.9178,201.832,110
2567024,320878,random,1000,45.472272,44.882999999999996,2.5944112148168736,41.838,44.207499999999996,45.762,43.2938,50.19679999999999,76.728,85
2604360,325545,random,1000,46.737462,45.239000000000004,5.462202881519037,42.304,44.5255,46.1625,43.5856,58.282199999999996,88.596,109
2642240,330280,random,1000,82.04446,61.041,43.394307725176894,44.238,48.6705,101.747,46.2038,171.57999999999998,230.738,26
2680672,335084,random,1000,62.358892,48.831,30.977738401775312,43.806,46.715,57.9955,45.2723,143.39809999999989,208.074,174
2719664,339958,random,1000,46.604392,46.259,4.311646406312683,42.898,45.567499999999995,46.908500000000004,44.6732,48.2222,144.576,29
2759224,344903,random,1000,47.415776,46.736999999999995,2.682716942209151,43.488,46.11,47.5875,45.2358,52.814599999999984,65.21,91
2799360,349920,random,1000,78.990518,57.377,42.924473820752475,44.87,48.961,93.706,46.4837,174.98149999999998,235.744,97
2840080,355010,random,1000,81.9376,64.85900000000001,38.98983618428882,47.26,53.508,95.608,49.6178,170.66629999999998,208.682,87
2881384,360173,random,1000,51.196598,49.884,5.071051042641266,45.156,48.0085,51.9825,46.7339,62.4818,86.67,103
2923296,365412,random,1000,48.500714,48.268,2.048929966644105,45.664,47.5,49.0765,46.6059,50.2725,76.954,17
2965816,370727,random,1000,49.050196,48.864999999999995,1.816544952691551,45.956,48.0545,49.6165,47.2558,51.1581,63.748,21
3008960,376120,random,1000,59.995822,51.149,23.948439040087198,47.094,49.9405,54.8795,48.6737,118.338,198.136,176
3052720,381590,random,1000,75.141666,51.507000000000005,44.1311596490327,46.514,49.5815,79.6605,48.2637,181.63509999999994,249.308,138
3097128,387141,random,1000,79.084286,58.792,44.17650269181892,47.188,50.4705,82.84,48.8038,184.13459999999998,261.31,141
3142176,392772,random,1000,95.336244,76.78399999999999,48.22568214035304,47.722,53.6445,126.16300000000001,50.1464,193.9076,278.238,3
3187880,398485,random,1000,99.56381,79.727,48.14864346362509,48.23,63.615500000000004,130.3685,51.4278,195.3143,260.032,10
3234248,404281,random,1000,102.917924,85.86,46.73325087484879,49.23,69.1845,132.2375,52.2441,201.0057,253.948,6
3281288,410161,random,1000,104.524738,94.842,49.368834372898604,48.982,57.9645,135.60950000000003,51.2125,201.05169999999998,265.386,3
