size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,235.232232,232.659,18.264352970297075,207.416,222.9445,240.2185,215.8553,267.628,344.422,56
68084984,8510623,random,1000,231.661892,228.90499999999997,13.464709572813526,208.912,223.838,235.5335,218.3127,252.30849999999998,362.798,50
69075304,8634413,random,1000,238.155816,234.5,20.22699052533164,210.076,223.773,243.773,217.0893,276.3216,337.306,62
70080024,8760003,random,1000,270.74739,264.595,26.24382013700146,240.474,258.501,272.639,250.6186,317.5353,484.322,85
71099360,8887420,random,1000,236.076038,231.921,16.5105997362363,214.278,227.84650000000002,238.0305,221.95999999999998,265.9358,373.806,86
72133528,9016691,random,1000,274.320154,266.012,31.35943440833547,236.31,253.824,283.8605,244.33780000000002,340.6077999999999,471.514,60
73182728,9147841,random,1000,244.933886,239.534,20.024465420839437,219.298,234.248,248.80700000000002,227.2185,279.73729999999995,380.282,71
74247200,9280900,random,1000,242.21356,237.548,17.466105838553812,217.79,232.0435,245.7185,225.7311,275.06669999999997,348.676,88
75327152,9415894,random,1000,244.438198,239.106,19.462698360100337,217.024,232.7715,248.182,226.8514,283.5749,346.336,80
76422808,9552851,random,1000,246.637664,241.981,17.787225002804803,224.198,237.67149999999998,248.561,232.96699999999998,279.4081,376.188,82
77534400,9691800,random,1000,244.938262,239.599,19.30891334337222,220.252,233.459,248.90800000000002,227.1842,282.2761,373.816,88
78662168,9832771,random,1000,272.344788,263.22900000000004,28.30837028016581,239.024,257.0705,274.404,249.8559,336.6182,434.422,119
79806336,9975792,random,1000,259.490924,254.736,17.973171606698354,230.708,249.736,261.88349999999997,243.643,300.0447,362.608,87
80967144,10120893,random,1000,245.282482,239.94099999999997,18.536834204415758,220.894,234.05349999999999,249.32999999999998,227.7562,282.0376,346.778,79
82144840,10268105,random,1000,245.204104,239.722,19.2906064671657,220.198,233.839,247.409,226.712,283.2648,350.212,120
83339664,10417458,random,1000,242.888934,238.297,17.38620366985541,220.412,232.6745,244.98,227.64759999999998,278.7964,353.918,108
84551864,10568983,random,1000,245.276406,239.683,19.12979149247868,220.276,233.80599999999998,248.1245,227.4539,285.8410999999999,344.818,96
85781704,10722713,random,1000,272.548942,266.378,27.044011488720347,233.058,258.863,275.801,249.2504,320.3026999999999,482.488,84
87029424,10878678,random,1000,244.541788,238.30700000000002,18.949698886973454,221.464,233.18099999999998,246.4485,228.4114,282.3723,357.418,116
88295296,11036912,random,1000,246.149564,240.447,18.60399847369143,221.546,235.32600000000002,249.20999999999998,230.0408,283.99449999999996,364.794,99
89579584,11197448,random,1000,245.253558,239.031,19.912038192651742,220.55,234.228,248.9835,228.817,285.77090000000004,385.412,74
90882544,11360318,random,1000,245.564868,239.368,19.059324632263706,220.176,234.2425,248.12400000000002,228.6878,286.3392,346.868,102
92204464,11525558,random,1000,246.421104,241.18200000000002,18.87131038823094,220.448,235.7405,249.4715,228.4487,285.49429999999995,351.004,102
93545608,11693201,random,1000,246.707762,241.353,18.565795966972257,220.676,235.8795,251.1175,229.37959999999998,285.4406,377.49,77
94906264,11863283,random,1000,245.530652,239.844,19.06808424639779,220.754,233.598,247.78900000000002,228.6559,285.042,341.248,107
96286704,12035838,random,1000,246.82977400000001,240.736,19.01344522479396,223.188,235.6165,249.7335,230.1733,285.3568,375.124,99
97687224,12210903,random,1000,240.162482,237.75400000000002,12.97217360521049,220.828,233.3855,242.846,228.7265,258.9413,363.376,56
99108120,12388515,random,1000,247.420688,241.777,18.665780521830452,224.778,236.474,249.7945,231.237,288.6837,348.16,107
100549680,12568710,random,1000,242.232316,239.013,14.305884781848887,220.008,234.8535,244.22699999999998,228.7759,269.83879999999994,335.33,85
102012208,12751526,random,1000,247.429718,240.93099999999998,19.37269873602521,225.196,235.984,249.8005,231.2211,287.84749999999997,360.016,112
103496016,12937002,random,1000,243.858128,239.829,16.616663450158455,224.876,235.34550000000002,245.66299999999998,230.7938,270.7088999999999,369.796,75
105001400,13125175,random,1000,248.908718,242.46699999999998,19.012211041569184,227.638,238.062,250.6665,232.69389999999999,288.5144,352.792,120
106528680,13316085,random,1000,248.76222,243.365,18.284745362201807,224.146,238.36950000000002,251.68099999999998,233.1194,285.3755,382.942,95
108078176,13509772,random,1000,268.775398,264.36699999999996,21.154156980961712,238.708,257.14300000000003,273.0245,247.7463,308.46779999999984,436.482,74
109650208,13706276,random,1000,268.63078,261.403,25.274455817771518,237.41,254.433,272.027,247.26760000000002,316.181,448.572,103
111245104,13905638,random,1000,266.081356,261.416,20.879664691342313,240.672,255.2765,269.726,247.3066,299.72479999999996,451.17,68
112863200,14107900,random,1000,269.167688,261.58299999999997,26.362143959108803,233.756,254.03199999999998,272.9395,244.8859,327.8857999999999,460.796,94
114504832,14313104,random,1000,246.523676,241.798,18.20476482653411,220.822,236.072,250.49349999999998,229.61589999999998,281.452,373.27,73
116170344,14521293,random,1000,246.967814,243.2,15.557128256107584,229.242,238.77949999999998,248.954,233.8484,276.4095,363.604,82
117860080,14732510,random,1000,250.738872,245.887,19.49061610179739,224.942,239.7575,254.6615,232.3667,287.6546999999999,380.618,76
119574400,14946800,random,1000,252.208362,246.49200000000002,18.59370416855296,231.34,241.7775,254.3945,236.7551,289.62760000000003,365.052,107
121313648,15164206,random,1000,244.070074,242.079,12.632589167530131,224.578,237.87,246.7,232.6072,259.23269999999997,401.408,49
123078192,15384774,random,1000,253.362156,246.904,19.28994649083515,232.034,243.005,254.333,237.8074,295.45259999999996,368.268,129
124868408,15608551,random,1000,250.856822,245.939,17.561611346610693,227.286,241.9855,251.975,237.1651,284.00669999999997,389.596,110
126684664,15835583,random,1000,252.585396,247.20600000000002,18.16754841255436,230.822,243.3555,253.36,238.3458,288.1615999999999,368.996,114
128527336,16065917,random,1000,261.50164,257.469,19.664333174699966,234.356,250.5825,265.4955,243.181,298.6962,426.366,70
130396808,16299601,random,1000,260.931856,254.775,21.757342621037,233.31,248.411,264.8745,241.88219999999998,304.5363999999998,388.466,85
132293472,16536684,random,1000,251.41476,247.168,16.473632897306995,227.03,242.2695,254.481,235.9926,283.31,360.0,78
134217728,16777216,random,1000,251.425078,245.43,18.32273617030717,229.342,241.0115,253.17,236.2054,289.5229,356.99,117
136169968,17021246,random,1000,242.545054,238.49599999999998,14.956699386884582,222.606,233.7515,245.534,228.4202,271.8256999999999,335.826,79
138150608,17268826,random,1000,251.818556,245.96699999999998,18.636583483213624,229.398,240.99,254.73950000000002,236.4032,288.53159999999997,373.18,88
140160048,17520006,random,1000,254.392824,248.247,18.9686953551503,233.804,243.363,256.8405,238.963,291.06579999999997,365.006,107
142198728,17774841,random,1000,251.931536,247.24,17.624109524547254,232.356,242.267,254.0125,237.7906,284.9235,408.718,89
144267056,18033382,random,1000,255.094344,249.29000000000002,18.73070954581683,233.842,244.7825,256.25199999999995,239.9364,294.9158,366.858,131
146365464,18295683,random,1000,255.812252,251.414,18.921709520116295,228.61,246.0445,259.35400000000004,238.9927,284.11580000000004,401.472,68
148494400,18561800,random,1000,264.57087,258.802,21.01914434119372,236.524,252.702,267.9235,245.4394,308.9226,405.894,88
150654304,18831788,random,1000,248.075924,242.00099999999998,18.841129434739326,224.56,236.86700000000002,249.9215,231.6564,286.8717,356.504,115
152845616,19105702,random,1000,247.740356,244.24099999999999,14.104147631589713,229.26,240.0235,250.0855,235.5559,273.7974,358.132,80
155068808,19383601,random,1000,252.021494,246.349,18.325648933579426,228.784,241.918,252.812,237.3323,291.0146,360.358,127
157324336,19665542,random,1000,251.925742,246.749,17.88575008215863,232.276,242.888,252.486,238.0677,285.9669,385.474,117
159612672,19951584,random,1000,251.843838,246.93599999999998,16.51774824220144,230.434,243.3125,254.038,237.9053,283.34649999999993,381.606,93
161934296,20241787,random,1000,261.455092,255.124,22.960361410823907,235.834,247.828,266.794,242.023,304.4008,399.8,63
164289680,20536210,random,1000,269.891264,262.12,24.33486677685644,239.324,256.045,273.20050000000003,249.3836,325.06179999999995,410.324,97
166679328,20834916,random,1000,249.736068,244.439,18.676918711605936,226.302,238.982,252.874,232.91150000000002,287.85619999999994,386.404,80
169103736,21137967,random,1000,253.219696,247.27499999999998,18.75044381007177,230.872,242.534,255.8975,237.4927,288.9165,369.108,100
171563408,21445426,random,1000,253.74163,247.378,18.763464257595025,231.28,243.0665,255.381,238.56470000000002,292.41519999999997,363.95,126
174058856,21757357,random,1000,256.943392,250.872,19.193970034467075,234.702,246.798,258.35749999999996,241.747,295.53799999999995,381.256,109
