size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,6.944588,6.766,4.795760446531553,6.756,6.766,6.77,6.764,6.8361,157.65,244
1112,139,sequential,1000,6.802652,6.766,0.5598675080074951,6.754,6.766,6.768,6.764,6.84,21.782,252
1216,152,sequential,1000,10.991536,6.766,132.246329725458,6.756,6.766,6.776,6.76,6.936,4188.774,135
1328,166,sequential,1000,25.656043999999998,6.766,596.0244097202634,6.756,6.766,6.768,6.764,6.9201,18854.744,237
1448,181,sequential,1000,6.95045,6.766,4.686898068339336,6.756,6.766,6.768,6.764,6.93,154.164,246
1576,197,sequential,1000,6.87006,6.836,0.5513632249305405,6.814,6.83,6.842,6.8239,6.9801,21.708,91
1720,215,sequential,1000,6.887812,6.832,1.337060333339895,6.806,6.824,6.84,6.812,6.88,47.936,67
1872,234,sequential,1000,6.843474,6.824,0.35181173775589525,6.806,6.818,6.832,6.812,6.868,15.04,65
2048,256,sequential,1000,6.8653319999999995,6.822,0.5645137922120217,6.792,6.816,6.83,6.808,6.976,18.022,100
2232,279,sequential,1000,6.865138,6.818,0.5523645386332648,6.794,6.81,6.826,6.8,6.9881,21.704,145
2432,304,sequential,1000,6.84078,6.812,0.43583284624941926,6.788,6.808,6.822,6.802,6.868,17.578,88
2656,332,sequential,1000,6.835252,6.81,0.4004475680419981,6.786,6.806,6.816,6.798,6.862,16.094,89
2896,362,sequential,1000,6.849422,6.808,0.624440802824601,6.776,6.802,6.816,6.792,6.866099999999999,22.16,85
3152,394,sequential,1000,6.834148,6.806,0.4593828846732655,6.78,6.798,6.814,6.788,6.862,17.166,80
3440,430,sequential,1000,6.849894,6.804,0.5729331943684266,6.778,6.796,6.812,6.7879000000000005,6.9721,19.756,136
3752,469,sequential,1000,6.84112,6.8,0.6091275580549463,6.776,6.794,6.808,6.786,6.9641,24.21,107
4096,512,sequential,1000,6.8368839999999995,6.796,0.5417088323103133,6.772,6.792,6.804,6.786,6.9441999999999995,18.25,100
4464,558,sequential,1000,6.82751,6.796,0.4592675152354569,6.77,6.79,6.804,6.78,6.948,17.106,98
4864,608,sequential,1000,6.81851,6.796,0.3863412733315966,6.768,6.788,6.802,6.78,6.9481,18.932,100
5312,664,sequential,1000,6.824744,6.792,0.5463492875514784,6.768,6.784,6.8,6.778,6.850099999999999,21.328,85
5792,724,sequential,1000,6.849744,6.808,0.5955521882025729,6.78,6.8,6.816,6.79,6.9402,19.056,89
